#{"t_start": 1785375049.8673224, "env_id": "None"}
r,l,t
6.879105,3,3.858796
6.622821,3,5.007376
3.559189,1,6.169807
5.973559,19,13.150173
-12.115442,60,23.166205
7.77929,1,24.300999
7.131219,5,27.60717
3.078304,9,31.269693
5.752578,7,32.590411
0.948043,2,33.750845
-0.122361,6,34.998363
-0.560771,5,37.37183
5.907865,8,40.891699
5.795112,8,42.189098
1.25846,14,46.692047
5.239433,4,49.490204
3.222658,10,50.957939
-15.794755,60,60.967957
-15.435583,60,74.028161
7.372096,5,75.355192
-20.173459,60,85.070472
2.311092,11,89.629556
2.829043,6,90.923412
7.219944,7,94.494055
6.158015,2,96.866554
-18.442702,60,104.703272
-0.469285,23,109.866665
8.947964,2,111.08504
-28.524432,60,122.367188
3.555698,30,129.136878
5.224017,4,130.537519
5.818408,7,131.953591
7.763757,8,134.043719
-17.754615,60,151.644105
6.051624,5,154.061872
3.724965,2,156.345655
8.808451,2,157.523007
-18.771668,60,170.291203
8.225037,12,171.884526
1.734995,8,173.161448
1.55652,6,174.544789
6.510997,12,176.158593
-23.813204,60,192.090463
7.24992,1,193.166792
7.393767,3,194.368029
4.832953,6,195.694134
6.467612,27,205.459145
-16.859371,60,218.528835
6.943042,25,223.082985
2.32238,8,226.805109
-18.081077,60,235.722949
3.037567,8,237.14964
2.452031,8,238.51421
-0.60653,23,244.290648
4.972416,10,253.749078
7.842258,1,255.594769
0.195926,11,257.000315
2.743127,17,263.140388
8.185826,1,264.331498
6.925205,5,265.692286
9.286426,4,266.999942
-6.675196,25,271.258276
9.905041,1,272.418773
4.481282,1,273.549397
1.70472,8,275.974926
6.121834,10,278.216604
1.669133,6,282.359432
-21.570656,60,293.636756
9.515329,1,294.828749
3.442478,30,304.748096
4.399914,3,306.029857
7.864339,11,307.5882
8.404616,1,308.628471
6.590837,4,309.956721
7.560512,1,311.084885
2.965587,1,312.211547
5.623692,5,315.794449
4.586886,4,318.177923
2.487713,5,321.548852
7.176612,7,322.940879
4.417904,2,324.611167
7.645034,9,330.755454
-6.145018,11,336.725431
7.262388,3,337.870677
-30.776848,60,353.251835
7.881867,3,354.48221
5.328707,3,355.681587
-31.982926,60,375.684051
2.269641,14,378.33322
3.572407,2,379.427902
-25.848239,60,393.889739
3.994907,5,395.216479
-3.354081,11,396.789284
9.331227,3,398.080087
-22.070575,60,412.444674
3.978473,14,415.078744
8.46878,7,418.508751
5.768672,1,420.411687
-1.894457,5,423.496367
4.396599,23,428.766946
6.309881,1,429.919012
-25.982052,60,443.235091
-1.481982,12,445.857915
0.598269,1,447.039945
2.220394,6,450.315488
2.098259,2,452.626922
4.485204,2,454.950788
7.821398,2,456.083007
9.114322,2,457.28025
5.891806,5,459.532896
-21.571501,60,468.316456
6.047537,8,476.01462
6.4875,5,479.478148
2.830545,4,482.191108
-31.935551,60,491.045404
-2.714525,6,492.230856
4.674661,2,493.389839
0.45514,19,498.755451
6.08562,1,500.210912
1.245339,41,519.18967
6.700704,3,521.171667
3.269935,15,522.849341
6.180284,8,524.262668
7.47843,5,525.459061
1.514273,10,534.35311
9.136359,2,536.302651
4.345182,6,540.884653
-25.267429,60,555.171276
4.971113,2,556.323607
5.860607,5,557.604806
3.728225,10,562.711911
6.836799,4,567.127835
8.54235,1,568.221995
-18.672186,60,588.77307
-0.751472,5,590.008466
5.410865,2,591.279317
8.562811,3,592.466913
5.713706,8,595.920294
8.249635,1,597.084477
4.798289,6,602.315749
7.440351,6,605.523861
7.238762,5,608.991302
-16.62636,35,618.893373
8.444933,1,620.681866
5.273065,3,622.651446
9.853351,1,623.725696
8.022879,2,625.604183
3.729156,2,626.798757
7.366896,3,628.762423
6.939001,3,629.959839
6.673368,1,631.092608
4.821898,1,632.939442
6.66682,5,635.252284
3.318854,4,638.780279
5.380796,4,640.067561
-31.240409,60,658.705484
4.162216,5,661.095059
5.034899,7,664.763162
1.948246,4,666.064858
-0.0532,19,667.909315
-24.569038,60,694.342652
-26.011475,60,735.10972
-34.030485,60,747.003471
-7.322131,21,756.408612
5.35237,13,764.51094
5.789034,1,765.713413
9.428859,2,767.053128
7.510716,4,768.302902
9.637248,2,769.507255
-47.644708,60,790.03494
-31.557672,60,802.347498
4.610326,3,804.335404
-29.559003,60,829.317538
2.269581,1,830.470146
10.22016,2,831.672412
-52.71554,60,855.813751
0.229185,1,856.987723
3.309217,1,858.232826
6.545274,2,859.380808
8.917754,1,860.46262
8.70505,2,861.79415
2.393013,5,866.209004
5.88769,1,867.482332
6.411668,2,868.634627
9.127337,1,869.780084
6.701163,8,873.910765
8.770189,1,875.100257
-36.12946,60,896.548973
6.355124,4,898.884624
4.974973,3,901.228256
0.068816,4,903.502815
-6.103701,11,905.061256
7.737047,1,906.28564
-0.459277,8,910.067484
2.669096,1,911.135702
1.315947,1,912.249034
6.531861,2,913.416111
5.054951,1,914.498009
1.793985,2,915.695113
7.673215,1,916.77164
5.900884,7,918.151654
4.531037,5,919.339532
-28.571348,60,935.907692
8.368117,3,938.331698
7.20692,2,939.552797
-0.722396,13,941.105492
1.921583,4,943.169812
-48.289408,60,958.688195
6.6166,5,962.977128
5.328338,6,964.385497
4.263817,9,970.971948
-17.086384,60,988.111019
8.090027,1,989.150366
8.322816,11,990.593144
4.790557,1,991.700632
4.783443,5,992.931762
7.740957,4,994.221438
2.451692,4,995.45137
8.131493,1,997.055648
-23.526607,60,1028.455483
5.891531,1,1029.602707
7.97161,2,1030.849717
7.825191,1,1032.075124
8.268362,1,1033.262969
9.13062,1,1034.416882
1.616214,1,1035.473448
-23.397561,60,1054.245546
-26.263908,60,1074.502183
-26.150329,60,1098.832379
4.495758,7,1100.219724
-30.316715,60,1111.241764
5.560806,2,1112.474481
4.583645,6,1115.502153
7.080252,5,1116.845389
8.857955,3,1119.288635
4.104815,6,1122.973538
5.936132,2,1124.168108
-32.818365,60,1158.957324
4.511172,11,1160.490431
6.877842,3,1161.729693
6.545775,1,1162.862085
5.153334,2,1164.142037
-18.181282,60,1179.758016
-0.685299,17,1187.272776
-32.643929,60,1197.497967
6.632372,9,1200.794676
7.626662,1,1202.028906
-2.425753,40,1214.017887
