#{"t_start": 1785380018.6595793, "env_id": "None"}
r,l,t
1.10532,2,2.774086
4.754024,8,8.26965
6.029755,5,9.560611
7.006343,4,10.848183
-16.357111,60,31.460071
3.066262,6,32.828414
7.165674,3,37.05274
3.26532,3,38.233576
5.010784,4,43.292499
4.634528,15,53.195663
8.425706,6,56.433596
4.321842,3,58.343735
-29.012499,60,71.414767
-20.232587,60,84.444683
3.614297,1,85.512072
8.280322,6,87.965467
5.853976,26,93.154878
8.116533,3,97.440882
5.549517,6,99.863685
3.755418,7,104.265925
3.338417,7,106.384357
-17.274183,60,117.239753
8.570771,3,118.427523
-33.262313,60,133.011982
-6.367802,49,154.405919
2.72314,4,155.563735
-21.454412,60,174.454662
7.420161,2,176.733222
3.609242,6,179.331566
8.618772,1,180.522984
3.158728,5,184.092721
8.521854,3,186.400578
5.34838,9,192.191469
7.229932,4,194.63045
7.928069,1,195.778014
8.64469,5,197.568495
9.804508,1,199.462911
3.664791,4,201.765105
0.311034,4,203.066787
5.17909,9,204.542011
7.346368,2,205.756596
6.282799,1,206.887841
6.926373,7,208.343323
-41.145089,60,236.667753
9.15703,2,237.864398
3.465586,6,242.28696
-35.826381,60,257.1946
-22.777304,60,295.48126
2.296512,23,298.596887
7.086426,6,299.967087
-4.151031,39,308.478329
-25.283961,58,319.762974
7.267368,16,323.680649
7.563887,3,326.690459
2.844922,8,329.361234
3.862386,2,330.501755
2.827631,3,332.730722
7.739804,1,333.942253
5.386975,3,335.084235
3.935459,13,341.623464
6.283493,4,344.621934
-0.626145,8,348.189395
6.261958,1,350.08511
7.625442,3,352.021814
7.702638,3,353.185289
3.140089,5,354.404449
6.239729,1,355.513806
-39.338511,60,371.641596
6.71135,2,373.897976
9.457423,5,375.223782
6.308561,2,376.407068
6.341339,1,377.50516
4.92866,3,378.861665
-14.176354,43,388.323175
-32.438584,60,395.770675
8.686983,1,397.600103
7.901365,3,398.813866
-0.088396,5,402.070214
0.444306,3,403.368067
9.763787,7,405.866598
8.112017,2,407.813127
-41.241832,60,431.703848
-36.036719,60,441.741376
9.206987,2,442.981766
5.477865,11,448.371407
4.800225,8,451.892414
7.22366,1,452.986126
4.320323,2,455.315489
5.363104,11,457.811957
2.87236,1,458.935444
6.437092,2,460.031762
-9.371265,23,468.402565
-31.864373,60,480.217959
5.800697,4,483.725067
-5.017523,25,492.294663
3.65907,2,493.426024
8.031373,1,494.536186
5.498662,9,499.67299
7.828189,3,501.896326
5.033293,6,504.97531
-16.053935,40,515.577355
7.022591,2,516.715091
-2.390342,6,518.059609
7.726019,11,523.698251
4.829156,2,524.831052
7.994308,2,526.765374
3.416246,18,533.941403
6.980793,2,535.103357
5.464852,2,538.139958
5.776878,3,539.453157
6.050647,4,540.727352
5.476055,10,544.261952
5.393884,1,546.092567
7.67066,4,547.404861
3.789283,7,550.850136
2.523507,3,551.948493
3.876906,8,554.50423
3.421176,9,557.040583
1.73565,14,558.701005
-6.823417,17,560.389376
-20.587727,60,582.109122
-1.760094,33,589.10473
-24.886732,60,604.730223
6.07514,18,607.492486
5.658767,11,609.049107
6.165965,7,612.589304
-15.727023,53,628.225977
6.550064,4,629.491022
4.70729,16,631.252849
3.123035,6,632.591121
4.072687,20,637.689405
6.357121,9,639.221423
5.466619,1,640.342985
7.159987,14,646.502309
-31.57313,60,669.685818
2.26186,5,672.075111
6.952752,3,673.332736
5.688405,4,674.595726
9.273545,2,675.795624
0.002118,2,676.891292
-13.841322,60,691.91206
-27.758457,60,702.778917
2.156432,3,704.023867
1.38295,4,705.184251
4.663786,9,710.019214
2.798302,8,711.431745
1.023024,2,712.649143
-28.500256,60,728.939666
7.409335,1,730.865559
-20.845654,60,739.845686
9.807576,2,740.961474
5.541083,5,743.246778
3.056646,11,747.012646
4.328427,2,748.860897
9.006887,2,750.055366
-15.386939,60,765.376128
0.035131,24,778.480562
2.568114,5,780.72419
0.921686,1,781.787151
7.595444,2,784.10283
