#{"t_start": 1784975267.762023, "env_id": "None"}
r,l,t
-14.565284,60,6.852833
-12.229014,60,8.84736
-10.274564,60,10.911792
-8.621403,60,12.853514
-12.674297,60,15.037537
-6.032323,60,17.276295
-14.130785,60,19.515733
-8.02531,60,21.684851
-8.055358,60,23.531541
-8.040865,60,25.184696
-8.0032,60,27.213163
-7.997771,60,29.240525
-8.011865,60,31.263896
-8.007123,60,33.263421
-5.848415,60,35.374149
-8.014851,60,37.344816
-5.995477,60,39.356791
-6.468597,60,41.382013
-5.088929,60,43.418474
-6.148239,60,45.547997
-7.903483,60,47.699778
-10.114886,60,49.83216
-6.221688,60,52.057039
-6.015024,60,53.918647
-7.652728,60,55.642463
-6.35302,60,57.64953
-5.36595,60,59.70387
-5.307109,60,61.848521
-5.999321,60,63.911622
-8.016419,60,65.921492
-5.809583,60,67.964869
-9.984501,60,70.026083
-7.690221,60,72.114836
