r,l,t,worker,cum_timesteps
-10.050704,60,9.766147,monitor_2.monitor.csv,60
-18.49463,60,9.774137,monitor_1.monitor.csv,120
-22.016481,60,9.780135,monitor_3.monitor.csv,180
-19.857406,60,9.81614,monitor.csv,240
-12.878425,60,12.454816,monitor_2.monitor.csv,300
-18.591085,60,12.474803,monitor_1.monitor.csv,360
-16.934151,60,12.478797,monitor_3.monitor.csv,420
-16.510299,60,12.504799,monitor.csv,480
-8.782018,60,15.911372,monitor_2.monitor.csv,540
-12.834752,60,15.929364,monitor_1.monitor.csv,600
-18.541665,60,15.933353,monitor_3.monitor.csv,660
-9.352234,60,15.963353,monitor.csv,720
-14.501709,60,18.581142,monitor_2.monitor.csv,780
-10.09537,60,18.595126,monitor_1.monitor.csv,840
-8.456641,60,18.596123,monitor_3.monitor.csv,900
-12.572769,60,18.626124,monitor.csv,960
-10.54302,60,21.99901,monitor_2.monitor.csv,1020
-6.95028,60,22.015005,monitor_1.monitor.csv,1080
-9.390293,60,22.027989,monitor_3.monitor.csv,1140
-9.373161,60,22.05799,monitor.csv,1200
-12.828625,60,24.819085,monitor_2.monitor.csv,1260
-8.087551,60,24.830075,monitor_1.monitor.csv,1320
-9.09727,60,24.831071,monitor_3.monitor.csv,1380
-10.041274,60,24.866079,monitor.csv,1440
-6.297709,60,28.236072,monitor_2.monitor.csv,1500
-10.040315,60,28.251067,monitor_1.monitor.csv,1560
-6.005063,60,28.25705,monitor_3.monitor.csv,1620
-12.731953,60,28.28805,monitor.csv,1680
-8.061745,60,31.01469,monitor_2.monitor.csv,1740
-10.603666,60,31.032687,monitor_1.monitor.csv,1800
-13.840197,60,31.033683,monitor_3.monitor.csv,1860
-10.743786,60,31.062679,monitor.csv,1920
-5.437448,60,34.532687,monitor_2.monitor.csv,1980
-10.671684,60,34.537689,monitor_1.monitor.csv,2040
-7.896382,60,34.542666,monitor_3.monitor.csv,2100
-7.277355,60,34.580675,monitor.csv,2160
-9.126101,60,37.215335,monitor_2.monitor.csv,2220
-6.934187,60,37.239332,monitor_3.monitor.csv,2280
-6.106908,60,37.239338,monitor_1.monitor.csv,2340
-10.22524,60,37.262321,monitor.csv,2400
-6.597895,60,40.937039,monitor_2.monitor.csv,2460
-6.446274,60,40.951041,monitor_3.monitor.csv,2520
-8.007224,60,40.95403,monitor_1.monitor.csv,2580
-6.624612,60,40.982042,monitor.csv,2640
-6.603689,60,43.820783,monitor_2.monitor.csv,2700
-7.093838,60,43.834762,monitor_1.monitor.csv,2760
-7.985472,60,43.838771,monitor_3.monitor.csv,2820
-6.026428,60,43.867762,monitor.csv,2880
-5.928295,60,47.277737,monitor_2.monitor.csv,2940
-5.992699,60,47.292716,monitor_1.monitor.csv,3000
-9.60023,60,47.296724,monitor_3.monitor.csv,3060
