r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
7.353198,1,12.107819,True,True,0.0009495575571629,4.620249619896472,1
0.503407,2,14.238147,True,True,0.0003940674062865,16.860295096019225,3
8.101537,3,16.701384,True,True,0.0061616178620077,2.876438911031132,6
5.29533,3,18.742894,True,True,0.005089114353985,6.804036010993014,9
9.06778,1,21.266485,True,True,0.0060762424452414,1.5267833346522015,10
4.986338,6,21.271811,True,True,0.000110913045015,6.752419731086923,16
8.664094,8,23.429493,True,True,0.0025893913978539,0.5485169570300241,24
3.908728,15,25.950081,True,True,0.0022935414700068,6.29457394383093,39
-0.441445,22,25.955633,True,True,0.0027594052940178,15.658422441329929,61
7.611945,19,28.263446,True,True,0.0016425160764863,2.1942690390919006,80
6.88428,4,28.270809,True,True,0.002084556525386,5.039956929643706,84
8.555943,1,30.165075,True,True,2.6909886978579033e-09,2.446309313115119,85
9.878965,2,31.993925,True,True,4.389180338626453e-11,0.0025629613666011,87
7.337852,2,33.838593,True,True,0.0004132372512109,3.211826113017348,89
6.861989,9,36.546528,True,True,0.0026049389174936,3.762281109981268,98
-0.4001,35,40.41362,True,True,0.0028095825754588,13.816407919262131,133
-20.758771,60,43.467016,False,True,0.016296475555581,20.830029385079023,193
-0.351574,17,45.751768,True,True,0.0119573751502015,11.698709847252314,210
9.106772,3,47.922363,True,True,0.0021334160230769,0.9654371737954616,213
-10.525629,60,50.596414,False,True,0.0339638114455391,11.111576915260695,273
-1.008196,21,52.77124,True,True,0.0119844096172479,7.40134987235759,294
7.793274,3,54.881896,True,True,0.0069325459692583,2.246621070750417,297
5.560433,4,56.940603,True,True,0.0021108263590995,6.59017655876457,301
-18.798428,60,58.90674,False,True,0.0144017103117108,20.646426670427097,361
5.158221,3,60.958531,True,True,0.0020031284863596,8.31357184577916,364
2.702276,9,63.016672,True,True,0.0060186678278035,9.436459552200697,373
2.070542,7,65.180207,True,True,0.0030035196289814,13.632302060655425,380
8.705534,8,67.392177,True,True,0.0042666969714785,0.8608101537210866,388
5.107799,5,69.164748,True,True,0.0021292413454086,6.302166316578708,393
6.848828,24,71.170013,True,True,0.0021741065367836,1.295676665735764,417
9.830157,8,74.730319,True,True,0.0015267304458468,0.5001632660921812,425
2.041795,12,77.121866,True,True,0.005103871300325,11.696868126124487,437
-9.496968,60,92.36912,False,True,0.003677333972145,18.341530171944832,497
7.650054,8,92.369784,True,True,0.0005928564753171,2.14158152185683,505
8.31937,1,92.37512,True,True,0.0009278471945489,2.874301672456141,506
8.434624,6,111.450802,True,True,0.0006392915609794,3.180540933854967,512
6.344016,4,113.892125,True,True,0.0024112508392313,5.999631515321733,516
6.00255,14,3421.915532,True,True,0.0005494168728421,4.591087985250884,530
9.537584,6,3425.952674,True,True,0.0058352688575451,1.660070066359851,536
-11.02717,60,3429.515301,False,True,0.0124305142929361,32.71502109820499,596
8.682812,4,3429.515963,True,True,0.0072017357077104,2.0507354923045216,600
8.578752,2,3435.88645,True,True,0.0013366325116721,2.488905497178464,602
8.182885,7,3440.975402,True,True,0.005533895217129,2.324020999090263,609
8.286261,4,3444.442362,True,True,0.0041328559238553,1.8551712858150256,613
6.954002,10,3447.794156,True,True,0.0028520864521636,3.297071799876391,623
9.342751,5,3450.930945,True,True,0.0010144082973548,0.5287876850897508,628
6.887342,3,3453.51366,True,True,0.0026293137535109,4.963709185138761,631
4.609873,3,3456.835343,True,True,0.0050572799709953,9.315501913802898,634
6.502604,9,3456.856879,True,True,0.0054859000023828,3.168757249015091,643
-1.305565,32,3456.861875,True,True,0.007176517137109,13.542622330291332,675
9.306341,3,3461.036585,True,True,0.0004541797050228,0.7081110241597924,678
6.00993,3,3463.834231,True,True,0.0024365532693624,6.4238218199954975,681
8.272386,3,3466.416985,True,True,3.963227444468635e-11,2.9946856554749792,684
7.784459,9,3468.622941,True,True,0.0055692183525578,3.176159097007011,693
1.96654,10,3470.929942,True,True,0.0083755160523826,11.854861312712542,703
6.244648,17,3472.753949,True,True,0.0005733364327633,3.120637584208069,720
0.102717,20,3474.584138,True,True,0.0058434808885582,12.418214758775168,740
5.705731,21,3477.562752,True,True,0.007319979043313,4.746051441455794,761
-7.839604,35,3480.192817,True,True,0.0004183591120766,10.359302938148597,796
6.842886,9,3482.093756,True,True,0.0105957013039561,3.0907221678289187,805
6.62006,26,3484.17664,True,True,0.0016795015960427,1.2873594353381637,831
6.682694,18,3487.720558,True,True,0.0087953534338457,2.943883370095389,849
1.581339,4,3489.859421,True,True,0.0010097660673735,14.8795129803544,853
9.900193,3,3491.891782,True,True,0.0052373983985971,1.109208980170424,856
-1.773906,29,3491.892131,True,True,0.0012780961472464,13.979257830736625,885
-15.433308,60,3493.854627,False,True,0.0178565193395183,5.90032977543341,945
3.545839,41,3496.229765,True,True,0.0001745583872578,5.114495689879528,986
5.885955,7,3499.819877,True,True,0.0037634791655368,6.086760103068864,993
0.768468,24,3501.300584,True,True,0.0024719770812395,9.678351173319738,1017
-2.495946,26,3502.893331,True,True,0.0047768867308677,17.711176070932463,1043
3.152696,9,3502.896325,True,True,0.0056864783171753,7.748309610252742,1052
-3.302693,31,3504.364497,True,True,0.0056088370992298,17.04855214421128,1083
8.212113,1,3504.441972,True,True,0.000302110651426,3.065345854116728,1084
6.237995,1,3505.716431,True,True,0.0047263724500615,6.637086306509675,1085
8.316467,2,3507.220775,True,True,0.0041665029044303,2.58216223579968,1087
9.868516,3,3507.223116,True,True,0.0007107330632626,0.7047960359431709,1090
8.098276,6,3508.897847,True,True,0.0001483007663812,3.30720661476243,1096
4.897077,6,3510.475595,True,True,0.0085267196806057,7.338858643480158,1102
7.788518,5,3511.996121,True,True,0.001912129614146,3.434153441220517,1107
6.67746,7,3513.3764,True,True,7.705998397311217e-05,3.3770284433600795,1114
-0.459671,24,3514.527414,True,True,0.0051774732334178,13.275594776101144,1138
