#{"t_start": 1785332048.9880643, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
8.101537,3,16.701384,True,True,0.006161617862007762,2.876438911031132
5.29533,3,18.742894,True,True,0.005089114353985023,6.804036010993014
9.06778,1,21.266485,True,True,0.0060762424452414565,1.5267833346522017
7.611945,19,28.263446,True,True,0.001642516076486352,2.1942690390919006
8.555943,1,30.165075,True,True,2.6909886978579033e-09,2.446309313115119
7.337852,2,33.838593,True,True,0.00041323725121097943,3.2118261130173478
-10.525629,60,50.596414,False,True,0.03396381144553911,11.111576915260695
7.793274,3,54.881896,True,True,0.00693254596925836,2.246621070750417
2.702276,9,63.016672,True,True,0.006018667827803541,9.436459552200697
2.070542,7,65.180207,True,True,0.0030035196289814534,13.632302060655425
8.705534,8,67.392177,True,True,0.004266696971478527,0.8608101537210866
5.107799,5,69.164748,True,True,0.0021292413454086167,6.302166316578708
9.830157,8,74.730319,True,True,0.0015267304458468438,0.5001632660921812
7.650054,8,92.369784,True,True,0.0005928564753171772,2.14158152185683
6.00255,14,3421.915532,True,True,0.0005494168728421706,4.591087985250884
8.682812,4,3429.515963,True,True,0.007201735707710481,2.0507354923045216
6.954002,10,3447.794156,True,True,0.0028520864521636158,3.297071799876391
6.887342,3,3453.51366,True,True,0.0026293137535109696,4.963709185138761
9.306341,3,3461.036585,True,True,0.0004541797050228868,0.7081110241597924
0.102717,20,3474.584138,True,True,0.005843480888558281,12.418214758775168
6.62006,26,3484.17664,True,True,0.0016795015960427368,1.2873594353381637
6.682694,18,3487.720558,True,True,0.008795353433845793,2.943883370095389
1.581339,4,3489.859421,True,True,0.0010097660673735534,14.879512980354399
9.900193,3,3491.891782,True,True,0.0052373983985971595,1.109208980170424
-3.302693,31,3504.364497,True,True,0.005608837099229855,17.04855214421128
8.316467,2,3507.220775,True,True,0.004166502904430391,2.58216223579968
5.433863,15,3514.532061,True,True,0.0009006429608571023,5.227661512762021
5.596714,6,3518.102243,True,True,0.011740736594935098,7.158773192455012
-18.01984,60,3531.285712,False,True,0.016918448615286887,41.663096247503105
9.47194,5,3535.043917,True,True,0.00011854232377310481,0.09122481894086418
1.777952,6,3541.194915,True,True,0.006113582329111897,10.280334807224538
8.411128,7,3548.200562,True,True,0.004221040481434649,0.8459666313301002
3.744461,2,3549.237006,True,True,0.0002168861290745873,11.036715381022535
9.311804,3,3551.710088,True,True,0.005268569980222987,1.7789466548207975
-0.24291,28,3561.445071,True,True,0.008980228652827923,11.105835031591177
6.483066,2,3562.650156,True,True,0.007882973797687914,6.086327299292591
3.281084,9,3565.187444,True,True,0.0006654855238534098,10.886123349032472
7.522477,5,3566.457003,True,True,1.7503998420389315e-09,4.241835541268447
