rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/clip_range
13.9,7,3.1926973999999997,64,1,512,,,,,,,,,,
14.716417910447761,0,3.8157850149253725,3489,2,1024,10,0.0003,12.88187596797943,0.003832519054412842,-2.4799349278211595,-0.022599423327483235,0.009246954,0.0716796875,5.271993637084961,0.2
14.34,0,3.6956576,3545,3,1536,20,0.0003,14.561689507961272,0.0870140790939331,-2.46814349591732,-0.017760752397589386,0.009576345,0.04765625,6.985007286071777,0.2
12.68,0,3.58111051,3593,4,2048,30,0.0003,10.271528828144074,0.28884124755859375,-2.449331197142601,-0.022469684085808694,0.012082141,0.0970703125,4.287436008453369,0.2
9.46,0,4.23647792,3694,5,2560,40,0.0003,12.364979535341263,0.5068422853946686,-2.4243525832891466,-0.015197707945480943,0.010670921,0.0560546875,4.6114349365234375,0.2
6.54,0,5.5425977699999995,3810,6,3072,50,0.0003,14.223308050632477,0.1910475492477417,-2.3970458567142487,-0.018510627350769936,0.0138468165,0.087109375,7.199528694152832,0.2
5.91,0,5.54781897,3939,7,3584,60,0.0003,9.222472822666168,0.07225042581558228,-2.359692370891571,-0.027961299964226784,0.014086123,0.1626953125,3.323636293411255,0.2
6.25,1,4.621378310000001,4076,8,4096,70,0.0003,18.21358984708786,0.3791264295578003,-2.336916410923004,-0.010808279865887015,0.009104209,0.03125,6.3754377365112305,0.2
5.38,1,4.554033980000001,4223,9,4608,80,0.0003,16.275954139232635,0.40025848150253296,-2.261687618494034,-0.01840727647067979,0.01302447,0.1037109375,6.664732456207275,0.2
5.14,1,5.503639739999999,4322,10,5120,90,0.0003,29.835049510002136,0.489584743976593,-2.2746731728315353,-0.007702068524667993,0.008120144,0.03046875,12.876924514770508,0.2
6.44,1,4.180085589999999,4398,11,5632,100,0.0003,27.117010235786438,0.5919989943504333,-2.2888841360807417,-0.009234474139520898,0.00781532,0.0251953125,10.21081829071045,0.2
4.69,1,5.57243647,4507,12,6144,110,0.0003,42.64480361938477,0.4477319121360779,-2.309762480854988,-0.0038047467998694627,0.0042845504,0.000390625,24.388517379760742,0.2
6.16,1,4.1253655799999995,4592,13,6656,120,0.0003,24.128472316265107,0.44957756996154785,-2.2859410852193833,-0.01272360360599123,0.009151008,0.02421875,7.086944103240967,0.2
3.29,1,6.69088251,4715,14,7168,130,0.0003,27.465602946281432,0.5549988150596619,-2.222761195898056,-0.02099089133553207,0.013332939,0.087109375,12.781476020812988,0.2
3.14,1,6.35818354,4844,15,7680,140,0.0003,26.210114562511443,0.46790361404418945,-2.1016879826784134,-0.011758232268039136,0.010768583,0.0419921875,11.749476432800293,0.2
4.62,1,4.930607339999999,4947,16,8192,150,0.0003,23.31921914815903,0.6706898510456085,-2.1163992047309876,-0.010368417596328072,0.008139631,0.058203125,12.849065780639648,0.2
7.19,1,3.23769182,5021,17,8704,160,0.0003,40.32674684524536,0.6725920140743256,-2.196150243282318,-0.009934504248667509,0.009396423,0.04140625,16.935564041137695,0.2
3.84,1,6.476417819999999,5175,18,9216,170,0.0003,46.90839681625366,0.5121889412403107,-2.2651174277067185,-0.021050753517192787,0.016545884,0.123828125,18.893131256103516,0.2
5.13,1,5.677685119999999,5274,19,9728,180,0.0003,24.060843181610107,0.457905113697052,-2.159095048904419,-0.010081695893313735,0.007096843,0.0142578125,8.762351989746094,0.2
7.78,1,3.5539584199999994,5367,20,10240,190,0.0003,48.318866801261905,0.49361884593963623,-2.1880178570747377,-0.008516851672902703,0.012108511,0.0546875,22.11500358581543,0.2
5.75,1,5.78938898,5456,21,10752,200,0.0003,33.45042960643768,0.5969922840595245,-2.258653113245964,-0.005989399447571486,0.0059774583,0.019921875,12.329644203186035,0.2
5.3,2,5.6577776900000005,5564,22,11264,210,0.0003,35.86788911819458,0.3176407217979431,-2.2492349475622175,-0.008456291718175635,0.008379806,0.007421875,14.715948104858398,0.2
6.1,2,4.83275037,5645,23,11776,220,0.0003,38.090326595306394,0.5475759208202362,-2.2695063412189485,-0.010116015415405855,0.009271745,0.0224609375,13.64989948272705,0.2
7.49,2,3.88572888,5727,24,12288,230,0.0003,22.173813939094543,0.5829730033874512,-2.269033244252205,-0.019485087582143023,0.009866615,0.0857421875,10.608538627624512,0.2
4.43,2,5.68767143,5831,25,12800,240,0.0003,23.177611243724822,0.6894104480743408,-2.214487847685814,-0.019064327675732785,0.0132537875,0.0744140625,6.763096332550049,0.2
4.79,2,5.519408239999999,5946,26,13312,250,0.0003,49.731564450263974,0.15699350833892822,-2.1581769049167634,-0.00860021160915494,0.0063632256,0.0037109375,18.3360652923584,0.2
5.2,2,4.678472950000001,6041,27,13824,260,0.0003,28.856367921829225,0.5458700060844421,-2.1756618291139604,-0.010104782949201762,0.00767491,0.028125,13.280975341796875,0.2
4.93,2,5.0833435,6140,28,14336,270,0.0003,42.22216463088989,0.4630839228630066,-2.1492852926254273,-0.009014098055195064,0.0072125737,0.045703125,23.04664421081543,0.2
3.78,2,6.15685916,6230,29,14848,280,0.0003,41.22785189151764,0.4628136157989502,-2.163908901810646,-0.008860371439368464,0.006952824,0.058203125,19.05181884765625,0.2
4.39,2,5.13747545,6324,30,15360,290,0.0003,29.641852128505707,0.46592259407043457,-2.1293931275606157,-0.017111468652728945,0.008086118,0.064453125,11.058663368225098,0.2
3.9,2,5.728194569999999,6445,31,15872,300,0.0003,36.78905346393585,0.6252538859844208,-2.1267230808734894,-0.011129391664871946,0.0101114735,0.0421875,14.210691452026367,0.2
3.59,2,6.310825930000001,6564,32,16384,310,0.0003,41.55549852848053,0.385093092918396,-2.050499361753464,-0.011335727194091306,0.0063079325,0.0203125,20.795434951782227,0.2
3.92,2,5.27828175,6678,33,16896,320,0.0003,38.66577115058899,0.5016666352748871,-2.1647926956415176,-0.013057470391504466,0.012291719,0.1236328125,15.862417221069336,0.2
3.48,2,6.144414890000002,6803,34,17408,330,0.0003,33.56412377357483,0.4616824984550476,-2.1648714631795882,-0.013583099639799912,0.008299554,0.0416015625,15.018454551696777,0.2
3.73,2,5.879634239999999,6909,35,17920,340,0.0003,29.353579711914062,0.5630525946617126,-2.079618827998638,-0.017059928871458397,0.008162449,0.0568359375,13.46430492401123,0.2
