r,l,t,worker,cum_timesteps,success_proxy
-10.450509,60,9.40924,monitor_2.monitor.csv,60,False
-18.809767,60,9.40924,monitor_1.monitor.csv,120,False
-20.268483,60,9.414239,monitor.csv,180,False
-22.299234,60,9.418239,monitor_3.monitor.csv,240,False
-18.72066,60,12.503351,monitor_1.monitor.csv,300,False
-12.923856,60,12.504351,monitor_2.monitor.csv,360,False
-17.29922,60,12.506347,monitor_3.monitor.csv,420,False
-16.669409,60,12.507339,monitor.csv,480,False
-12.899686,60,16.630341,monitor_1.monitor.csv,540,False
-8.882791,60,16.632386,monitor_2.monitor.csv,600,False
-18.564343,60,16.634389,monitor_3.monitor.csv,660,False
-9.671888,60,16.635388,monitor.csv,720,False
-14.521095,60,19.795199,monitor_2.monitor.csv,780,False
-12.58318,60,19.796193,monitor.csv,840,False
-8.46941,60,19.797192,monitor_3.monitor.csv,900,False
-10.21645,60,19.798195,monitor_1.monitor.csv,960,False
-7.02607,60,23.837059,monitor_1.monitor.csv,1020,False
-9.957444,60,23.839046,monitor_3.monitor.csv,1080,False
-11.165512,60,23.842028,monitor_2.monitor.csv,1140,False
-9.569648,60,23.847045,monitor.csv,1200,False
-8.63887,60,26.954848,monitor_1.monitor.csv,1260,False
-13.083103,60,26.958843,monitor_2.monitor.csv,1320,False
-9.112868,60,26.960851,monitor_3.monitor.csv,1380,False
-10.110199,60,26.963858,monitor.csv,1440,False
-6.125007,60,31.244776,monitor_3.monitor.csv,1500,False
-13.497151,60,31.24577,monitor.csv,1560,False
-8.468961,60,31.245772,monitor_1.monitor.csv,1620,False
-8.455679,60,31.252771,monitor_2.monitor.csv,1680,False
-8.530184,60,34.464974,monitor_2.monitor.csv,1740,False
-14.302883,60,34.465969,monitor_3.monitor.csv,1800,False
-10.982897,60,34.474942,monitor.csv,1860,False
-10.648964,60,34.474946,monitor_1.monitor.csv,1920,False
-10.922468,60,38.656653,monitor_1.monitor.csv,1980,False
-5.468204,60,38.656653,monitor_2.monitor.csv,2040,False
-7.75781,60,38.657647,monitor.csv,2100,False
-5.898919,60,38.657647,monitor_3.monitor.csv,2160,False
-6.973416,60,41.858606,monitor_1.monitor.csv,2220,False
-7.22816,60,41.8596,monitor_3.monitor.csv,2280,False
-9.432792,60,41.861606,monitor_2.monitor.csv,2340,False
-10.765151,60,41.8626,monitor.csv,2400,False
-6.207932,60,45.875808,monitor_2.monitor.csv,2460,False
-6.886719,60,45.878801,monitor.csv,2520,False
-8.063874,60,45.879807,monitor_1.monitor.csv,2580,False
-7.277301,60,45.889796,monitor_3.monitor.csv,2640,False
-6.287899,60,49.038849,monitor.csv,2700,False
-7.100607,60,49.040847,monitor_2.monitor.csv,2760,False
-8.170697,60,49.045853,monitor_3.monitor.csv,2820,False
-7.526918,60,49.04783,monitor_1.monitor.csv,2880,False
-5.794387,60,53.039187,monitor_2.monitor.csv,2940,False
-6.117411,60,53.042182,monitor.csv,3000,False
-10.110385,60,53.042182,monitor_3.monitor.csv,3060,False
-8.276627,60,53.043187,monitor_1.monitor.csv,3120,False
-6.207764,60,57.191823,monitor_2.monitor.csv,3180,False
-6.807917,60,57.192817,monitor_3.monitor.csv,3240,False
-6.49073,60,57.195823,monitor.csv,3300,False
-8.269214,60,57.197825,monitor_1.monitor.csv,3360,False
-6.996742,60,61.374036,monitor_2.monitor.csv,3420,False
-8.482653,60,61.378034,monitor_3.monitor.csv,3480,False
-6.626635,60,61.380018,monitor_1.monitor.csv,3540,False
-8.787073,60,61.383024,monitor.csv,3600,False
-8.634148,60,64.594627,monitor_3.monitor.csv,3660,False
-6.722415,60,64.595612,monitor.csv,3720,False
-7.16954,60,64.599616,monitor_1.monitor.csv,3780,False
-9.491496,60,64.599616,monitor_2.monitor.csv,3840,False
-6.82441,60,67.703356,monitor_3.monitor.csv,3900,False
-7.343098,60,67.703359,monitor_2.monitor.csv,3960,False
-7.531013,60,67.709362,monitor_1.monitor.csv,4020,False
-7.84417,60,67.711353,monitor.csv,4080,False
-6.722673,60,71.915911,monitor_3.monitor.csv,4140,False
-7.200568,60,71.917931,monitor_1.monitor.csv,4200,False
-6.423586,60,71.919919,monitor_2.monitor.csv,4260,False
-7.209798,60,71.921911,monitor.csv,4320,False
-9.661384,60,75.164499,monitor_1.monitor.csv,4380,False
-6.61492,60,75.1665,monitor_2.monitor.csv,4440,False
-6.90777,60,75.172493,monitor.csv,4500,False
-7.117823,60,75.174494,monitor_3.monitor.csv,4560,False
-7.839884,60,79.313793,monitor_3.monitor.csv,4620,False
