#{"t_start": 1785158600.9785848, "env_id": "None"}
r,l,t
-20.268483,60,9.414239
-16.669409,60,12.507339
-9.671888,60,16.635388
-12.58318,60,19.796193
-9.569648,60,23.847045
-10.110199,60,26.963858
-13.497151,60,31.24577
-10.982897,60,34.474942
-7.75781,60,38.657647
-10.765151,60,41.8626
-6.886719,60,45.878801
-6.287899,60,49.038849
-6.117411,60,53.042182
-6.49073,60,57.195823
-8.787073,60,61.383024
-6.722415,60,64.595612
-7.84417,60,67.711353
-7.209798,60,71.921911
-6.90777,60,75.172493
-7.166136,60,79.316789
-8.511645,60,82.461585
-6.821762,60,86.520981
-7.48085,60,89.653209
-7.225351,60,93.680928
-7.100065,60,96.860946
-10.267733,60,101.039708
-6.423833,60,104.15413
-6.931229,60,108.874357
-6.048177,60,112.040383
-8.488008,60,116.118806
-6.313056,60,119.405756
-6.409227,60,123.136455
-5.479245,60,127.665887
-6.445554,60,131.18024
-7.700772,60,135.799322
-7.289369,60,139.429534
-6.958995,60,144.198688
-6.343616,60,147.887595
-7.335381,60,153.006393
-6.603519,60,156.822337
-9.204911,60,162.588213
-7.269147,60,166.336992
-6.745184,60,171.131432
-7.243392,60,174.97548
-5.968798,60,179.71628
-5.879951,60,183.482106
-6.964984,60,188.384245
-7.609737,60,192.149349
-6.749145,60,195.963548
-7.053389,60,200.848014
-7.652989,60,204.526959
-6.051504,60,209.313712
-6.638061,60,213.07184
-6.349854,60,218.414623
-7.519977,60,222.64374
-6.139067,60,227.312574
-6.106367,60,231.083494
-7.3218,60,235.896858
-7.469251,60,239.50143
-6.322516,60,244.22252
-6.625613,60,247.781973
-7.122996,60,252.477772
4.702411,40,255.282918
-6.197394,60,259.558834
-6.033273,60,264.790247
-6.040909,60,268.360889
-6.419904,60,272.974364
-6.342982,60,276.824366
-6.373888,60,281.463936
-8.022426,60,285.68127
-6.656059,60,292.256172
-6.566134,60,295.935183
-6.685089,60,300.563326
-5.26258,60,305.125943
-9.318028,60,308.859788
-5.869339,60,313.444
-7.440448,60,317.141625
-6.496518,60,321.737979
-6.751276,60,325.423749
-4.994939,60,330.0051
-7.656833,60,333.704368
-5.70421,60,338.60565
-4.908981,60,342.402641
-7.037164,60,346.946752
-7.1776,60,350.673349
-5.834606,60,355.23019
-5.899055,60,358.868213
-6.886005,60,363.48791
-6.391737,60,367.233351
-8.646291,60,371.818799
-6.289841,60,375.478274
-6.643433,60,379.202879
-7.758556,60,383.702481
-5.642172,60,387.372246
-6.633449,60,391.898079
-6.775736,60,395.620209
-4.929011,60,400.369808
-6.518145,60,404.07939
-6.887244,60,408.620211
-5.327233,60,412.312122
-7.506936,60,416.904938
-8.252451,60,420.578807
-6.447583,60,425.235975
-5.959792,60,428.992004
-7.393872,60,433.523954
-7.761056,60,437.186354
-6.148081,60,440.920864
-5.498775,60,445.498909
-6.816547,60,449.187342
-7.053476,60,453.768675
-8.995987,60,457.914355
-7.174361,60,462.964089
-6.666863,60,467.040835
-5.835,60,471.644712
-7.230644,60,475.35775
-5.798056,60,480.069369
-6.303626,60,483.817433
-6.068524,60,488.419217
-7.216826,60,492.232828
-6.335716,60,496.834763
-6.038549,60,500.555231
-6.188389,60,505.301588
-6.840095,60,509.067746
-6.111618,60,512.763756
-6.046084,60,517.455863
-7.110878,60,521.175396
-6.76035,60,525.828481
-6.513622,60,529.574099
-8.151724,60,535.307945
-7.91931,60,539.08828
-6.967841,60,543.588004
-6.842944,60,547.34061
-6.651459,60,551.873344
-6.109873,60,555.601631
-6.384969,60,560.201845
-7.192673,60,563.855304
-7.264766,60,568.445054
-8.55081,60,572.11
-5.92832,60,575.979262
-6.277156,60,580.842474
-7.414629,60,584.760033
-8.327519,60,589.391983
-8.017054,60,593.085737
-8.315462,60,597.965342
-8.174037,60,602.911766
-6.821596,60,607.87802
-6.275181,60,611.7017
-5.990719,60,616.394522
-5.043192,60,620.274931
-6.09106,60,624.976833
-6.706382,60,628.648273
-7.032387,60,633.688539
-5.927661,60,637.790304
-7.020148,60,642.596008
-5.313116,60,646.460127
-7.068495,60,650.17691
-5.982072,60,654.954615
-8.152548,60,658.835004
-7.716302,60,663.727389
-6.564402,60,667.985402
-7.277204,60,673.132885
-7.397877,60,677.670161
-7.301864,60,682.452088
-5.919187,60,686.27207
-5.147686,60,691.16013
-6.320167,60,694.989502
-6.6607,60,699.771869
-7.255807,60,703.493956
-7.291875,60,708.457729
-6.627529,60,712.30152
-6.304308,60,716.113
-7.802576,60,720.859945
-6.520112,60,724.56071
-5.190122,60,729.366554
-6.08965,60,733.05007
-3.793325,60,737.792025
-5.989413,60,741.614035
-5.907406,60,746.351988
-7.125032,60,750.196274
-7.434918,60,754.950667
-6.463275,60,758.787314
-8.089251,60,763.547118
-7.182904,60,767.497329
-6.963965,60,772.3637
-6.113287,60,776.169612
-5.662343,60,780.936465
-6.62556,60,784.677121
-7.238754,60,788.438967
-7.651134,60,793.195097
-6.752771,60,796.983363
-7.131269,60,801.807858
-7.373136,60,805.577142
-7.459801,60,810.327184
-7.434691,60,814.141714
-7.037862,60,819.000986
-6.17454,60,822.790848
-5.221269,60,827.611581
-6.588925,60,831.525773
-7.111716,60,836.252593
-5.777597,60,839.964554
-9.460021,60,848.040857
-7.885062,60,852.363509
-5.644204,60,856.345873
-6.985484,60,861.397747
-6.469809,60,865.727317
-6.717045,60,870.643418
-6.190665,60,874.657484
-7.385953,60,879.692065
-7.060341,60,883.668551
-6.552263,60,888.672854
-7.434745,60,892.741335
-5.62595,60,897.738407
-7.382005,60,901.698765
-5.392993,60,906.692828
-5.578924,60,910.636644
-5.910205,60,915.562953
-6.172648,60,919.483321
-6.603278,60,924.417243
-7.991708,60,928.484298
-5.656148,60,932.419432
-6.841664,60,937.392777
-5.758758,60,941.394896
-6.646052,60,946.359051
-7.352013,60,950.401712
-6.73143,60,955.382715
-5.794545,60,959.348887
-7.199663,60,964.321568
-7.622864,60,968.378548
-6.172041,60,973.290993
-7.95553,60,978.004511
-6.621646,60,983.785388
-7.166736,60,988.505529
-6.598631,60,993.492442
-6.656628,60,997.849425
-7.664975,60,1001.87504
-7.167081,60,1006.8333
-7.233562,60,1010.800975
-5.896384,60,1015.875917
-7.390146,60,1019.856709
-6.83605,60,1024.767077
-5.873887,60,1028.69197
-6.375524,60,1033.65236
-6.343683,60,1037.610887
-5.870634,60,1042.567925
-6.672768,60,1046.569199
-7.43748,60,1051.555156
-6.389944,60,1055.560291
-5.407947,60,1060.593721
-7.382403,60,1064.489672
-5.016894,60,1069.447815
-5.905914,60,1073.47991
-6.284882,60,1077.439505
