#{"t_start": 1785158600.979579, "env_id": "None"}
r,l,t
-18.809767,60,9.40924
-18.72066,60,12.503351
-12.899686,60,16.630341
-10.21645,60,19.798195
-7.02607,60,23.837059
-8.63887,60,26.954848
-8.468961,60,31.245772
-10.648964,60,34.474946
-10.922468,60,38.656653
-6.973416,60,41.858606
-8.063874,60,45.879807
-7.526918,60,49.04783
-8.276627,60,53.043187
-8.269214,60,57.197825
-6.626635,60,61.380018
-7.16954,60,64.599616
-7.531013,60,67.709362
-7.200568,60,71.917931
-9.661384,60,75.164499
-7.35078,60,79.314797
-7.330035,60,82.4586
-7.453359,60,86.524004
-6.737374,60,89.647867
-6.313008,60,93.675954
-7.391084,60,96.859951
-8.379182,60,101.045708
-7.265386,60,104.146117
-8.413994,60,108.875359
-6.479052,60,112.043404
-6.48011,60,116.118812
-6.190359,60,119.403761
-6.717098,60,123.145425
-5.986919,60,127.670391
-5.948002,60,131.180243
-7.013838,60,135.793337
-6.019793,60,139.42854
-7.003534,60,144.209695
-7.088332,60,147.896598
-5.905059,60,153.004394
-5.86935,60,156.812341
-8.730649,60,162.585208
-8.372561,60,166.329004
-6.032146,60,171.126435
-8.495997,60,174.978485
-6.31112,60,179.725276
-4.814555,60,183.483105
-6.152978,60,188.382239
-6.377426,60,192.155357
-6.25043,60,195.966552
-7.811779,60,200.84602
-5.969403,60,204.519976
-7.070633,60,209.324268
-7.529204,60,213.078848
-6.717443,60,218.413629
-8.640447,60,222.641746
-6.207616,60,227.308553
-8.335803,60,231.083513
-6.341121,60,235.895864
-5.998226,60,239.497435
-5.84769,60,244.219521
-7.661536,60,247.781978
-7.405728,60,252.472776
-6.827476,60,256.98348
-7.075669,60,261.479846
-6.229839,60,266.162717
-9.228985,60,269.778005
-6.622281,60,274.426657
-6.605434,60,278.2467
-6.525983,60,282.871647
-8.471432,60,288.931229
-6.527594,60,293.644562
-8.166341,60,297.350734
-6.85493,60,302.191528
-7.729559,60,306.529194
-5.732888,60,311.144249
-6.078107,60,314.878342
-6.060456,60,319.455033
-7.097117,60,323.132166
-7.27544,60,327.667636
-7.65796,60,331.448286
-6.017629,60,335.103162
-5.879351,60,340.165819
-6.560791,60,343.805802
-6.30035,60,348.302315
-5.757584,60,352.049918
-6.294548,60,356.552191
-5.108941,60,360.295506
-6.831369,60,364.911344
-7.129611,60,368.611709
-5.79699,60,373.183351
-6.770458,60,376.885627
-5.378633,60,381.43537
-7.285904,60,385.12417
-5.878026,60,389.621346
-6.526651,60,393.299876
-6.257333,60,397.002295
-4.474425,60,401.807735
-7.531716,60,405.450394
-5.373671,60,410.033963
-6.369623,60,413.727289
-6.069581,60,418.322225
-6.78489,60,422.007313
-6.386724,60,426.616265
-6.439299,60,430.372392
-6.063544,60,434.910296
-6.428029,60,438.579165
-6.54112,60,443.169374
-6.102715,60,446.873663
-7.186582,60,451.45183
-6.011195,60,455.148501
-7.882238,60,460.293221
-6.025187,60,464.612764
-6.561209,60,468.405513
-5.925371,60,473.05196
-6.029649,60,476.80743
-6.169451,60,481.470321
-7.358734,60,485.250664
-7.086397,60,489.887761
-6.523475,60,493.611802
-8.115765,60,498.225248
-7.01507,60,501.979311
-7.264184,60,506.708832
-7.193474,60,510.450531
-7.456471,60,515.114203
-7.070844,60,518.844357
-5.203517,60,523.497703
-4.636612,60,527.228492
-7.771022,60,530.98035
-6.557389,60,536.78469
-4.822018,60,540.497886
-5.594976,60,545.06796
-5.121722,60,548.745728
-6.911972,60,553.313061
-6.148545,60,556.967928
-6.378898,60,561.547669
-6.577078,60,565.228629
-6.436157,60,569.858612
-8.899866,60,573.459302
-7.60501,60,578.412453
-7.211606,60,582.251126
-6.890526,60,587.106682
-6.202276,60,590.791301
-7.275052,60,595.368603
-6.627269,60,599.722265
-6.213405,60,604.393965
-7.062514,60,609.385824
-5.267615,60,613.101295
-7.493927,60,617.897908
-6.740462,60,621.640159
-7.601206,60,626.337402
-7.272306,60,630.164548
-7.275194,60,635.315298
-6.20933,60,639.260137
-7.35981,60,644.060585
-7.990129,60,647.882401
-5.435215,60,652.575546
-6.752219,60,656.445463
-7.231237,60,661.320099
-7.615085,60,665.307258
-6.763047,60,669.736873
-6.153752,60,674.586479
-4.966337,60,679.14916
-8.214555,60,683.871697
-8.602016,60,687.825437
-7.434546,60,692.606655
-6.548325,60,696.403361
-6.270408,60,701.205999
-5.54556,60,705.025785
-5.797942,60,709.903673
-7.117995,60,713.725388
-5.779886,60,718.505638
-6.146756,60,722.251346
-6.791395,60,726.974314
-5.140001,60,730.79388
-7.899609,60,735.439974
-5.946329,60,739.292023
-6.835182,60,743.061758
-5.040742,60,747.855501
-6.9952,60,751.618704
-5.797799,60,756.3751
-7.003404,60,760.23223
-7.722427,60,765.034943
-5.596459,60,768.978098
-6.041017,60,773.779678
-7.128389,60,777.594715
-6.097133,60,782.364512
-6.56892,60,786.164192
-7.046384,60,790.862031
-6.332594,60,794.653319
-6.46435,60,799.337948
-6.106464,60,803.216651
-7.327735,60,807.011448
-5.802073,60,811.72902
-6.036516,60,815.579575
-5.448895,60,820.468784
-7.072875,60,824.197283
-7.348916,60,829.073442
-7.046403,60,832.968081
-6.043811,60,837.611504
-7.309232,60,843.991014
-6.546817,60,849.725999
-7.96351,60,853.863989
-7.519563,60,858.804599
-6.211583,60,863.051271
-6.09455,60,868.159473
-7.23301,60,872.125448
-4.433973,60,877.194638
-6.221728,60,881.1824
-8.156565,60,885.165642
-4.785153,60,890.232897
-6.304585,60,894.244445
-6.547294,60,899.198758
-7.023306,60,903.212015
-6.037904,60,908.159041
-5.867683,60,912.121045
-8.064104,60,917.018717
-5.768373,60,920.931103
-4.702585,60,925.968756
-6.592787,60,929.955929
-6.816208,60,934.895291
-5.259437,60,938.861545
-5.51763,60,943.832245
-6.89078,60,947.862483
-5.019337,60,951.89648
-6.198648,60,956.831154
-6.523451,60,960.84372
-5.919757,60,965.848037
-6.15686,60,969.867179
-7.422436,60,974.80908
-6.048426,60,979.843261
-6.164483,60,985.735355
-6.996891,60,990.025186
-7.203843,60,995.085171
-7.192417,60,999.338903
-4.659276,60,1004.310768
-7.074954,60,1008.270552
-6.339447,60,1013.337026
-5.890818,60,1017.306673
-7.932126,60,1022.287892
-6.48377,60,1026.239182
-7.065243,60,1030.18985
-6.820842,60,1035.117067
-7.736583,60,1039.09949
-5.14897,60,1044.007187
-6.021709,60,1048.031077
-6.980409,60,1053.013523
-6.416678,60,1057.108222
-6.064993,60,1062.025611
-5.942127,60,1065.990236
-5.528292,60,1070.95454
-7.118551,60,1074.934362
