rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
60.0,512,1,7,-17.18014225,68,,,,,,,,,,
60.0,1024,2,15,-14.5781238125,68,1.117393970489502,-0.03928104337537661,0.0003,0.00293046236038208,0.1810546875,0.2,6.343730753660202,-2.4765583842992784,0.016017474,10
60.0,1536,3,22,-12.996403958333334,68,0.8574002981185913,-0.02167559788795188,0.0003,-0.08614778518676758,0.09296875,0.2,1.4358754627406598,-2.4564633637666704,0.016856648,20
60.0,2048,4,30,-12.278919406250001,67,0.4670717120170593,-0.017979259393177925,0.0003,0.1359005570411682,0.0779296875,0.2,1.0008318461477757,-2.4368276596069336,0.011192429,30
60.0,2560,5,38,-11.434308525,67,0.44596144556999207,-0.020448244726867414,0.0003,0.09193360805511475,0.1154296875,0.2,0.8925085663795471,-2.4077325731515886,0.015156252,40
60.0,3072,6,45,-10.726964333333335,67,0.0936105027794838,-0.016229527740506455,0.0003,0.4256135821342468,0.092578125,0.2,0.32249176818877456,-2.375482961535454,0.0119666625,50
60.0,3584,7,54,-10.231584339285716,66,0.03307925537228584,-0.019278277171542867,0.0003,0.7183288633823395,0.12109375,0.2,0.1786407052539289,-2.341620606184006,0.013982357,60
60.0,4096,8,62,-9.785619352941179,65,0.012448668479919434,-0.018288065027445555,0.0003,0.8185417652130127,0.1078125,0.2,0.10066118068061769,-2.336843931674957,0.012310926,70
60.0,4608,9,70,-9.516850500000002,65,0.011929027736186981,-0.01683092991588637,0.0003,0.84561687707901,0.108984375,0.2,0.08724150962661952,-2.3136058151721954,0.011600079,80
60.0,5120,10,77,-9.346438369047618,65,0.007351074367761612,-0.014866940316278488,0.0003,0.7222945392131805,0.084765625,0.2,0.08748377882875502,-2.323427417874336,0.009691257,90
60.0,5632,11,85,-9.20973931521739,65,-0.05166315659880638,-0.021796248087775895,0.0003,0.7959390729665756,0.1708984375,0.2,0.07966324051376432,-2.3339913547039033,0.015332027,100
60.0,6144,12,93,-9.05732334,66,0.005703957751393318,-0.018502099707257004,0.0003,0.6577608585357666,0.1099609375,0.2,0.10895608407445252,-2.3044639080762863,0.01438427,110
60.0,6656,13,100,-8.31785086,66,0.04850880056619644,-0.028319871972780675,0.0003,0.617477148771286,0.2126953125,0.2,0.18211344527080656,-2.293553751707077,0.015551535,120
60.0,7168,14,108,-7.90145392,65,0.04361915960907936,-0.01498003380256705,0.0003,0.812334418296814,0.0966796875,0.2,0.07127859571482986,-2.290658435225487,0.011920914,130
60.0,7680,15,117,-7.585890629999999,65,-0.016972683370113373,-0.007987532176775858,0.0003,0.8775841295719147,0.0478515625,0.2,0.029838743834989145,-2.2663386881351473,0.008988483,140
60.0,8192,16,126,-7.37959342,64,-0.027506086975336075,-0.017717578960582615,0.0003,0.8727325797080994,0.11640625,0.2,0.04284776262938976,-2.2263122349977493,0.010841909,150
60.0,8704,17,135,-7.296920980000001,64,-0.03647004812955856,-0.029442441160790624,0.0003,0.8374584764242172,0.2197265625,0.2,0.05530297800432891,-2.166924721002579,0.015721783,160
60.0,9216,18,143,-7.256347320000001,64,0.020172547549009323,-0.014818644110346214,0.0003,0.8884779289364815,0.1369140625,0.2,0.03483729981817305,-2.1250973492860794,0.011495562,170
60.0,9728,19,153,-7.189201520000001,63,-0.004152365028858185,-0.011764113564277067,0.0003,0.7676233202219009,0.0708984375,0.2,0.040803531836718324,-2.0915190428495407,0.007893184,180
60.0,10240,20,162,-7.17470888,62,0.000965602695941925,-0.02277459656470455,0.0003,0.625531792640686,0.1611328125,0.2,0.09615018186159432,-2.024335432052612,0.015206262,190
60.0,10752,21,171,-7.13948109,62,-0.019718598574399948,-0.017069004557561128,0.0003,0.8183480799198151,0.1439453125,0.2,0.033773113344796005,-1.9832288920879364,0.01331065,200
60.0,11264,22,181,-7.01736741,62,-0.005816610995680094,-0.009904232120607048,0.0003,0.8745060712099075,0.0453125,0.2,0.02129183290526271,-1.9771512195467948,0.0074104555,210
60.0,11776,23,190,-6.93648906,61,-0.025713425129652023,-0.02769147801445797,0.0003,0.7639387100934982,0.1958984375,0.2,0.02287779306061566,-1.912521368265152,0.01363894,220
60.0,12288,24,199,-6.83376254,61,0.0139293372631073,-0.009340853075264022,0.0003,0.7481530904769897,0.050390625,0.2,0.04322934919036925,-1.893083843588829,0.009480726,230
60.0,12800,25,208,-6.817897210000002,61,-0.022980906069278717,-0.009981372475158424,0.0003,0.7963957637548447,0.075,0.2,0.03343529663980007,-1.8723533868789672,0.013045319,240
60.0,13312,26,218,-6.824316720000001,60,-0.016208581626415253,-0.023429508513072506,0.0003,0.8854956403374672,0.166015625,0.2,0.014906289416830986,-1.7232160359621047,0.0149646755,250
