#{"t_start": 1785273097.846517, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-36.509981,150,15.841854,False,True,0.04033084134611986,79.79978044897608
-16.511493,150,23.696348,False,True,0.061052308406297565,77.01921797251742
-22.503846,150,31.604542,False,True,0.05088833056239874,76.27094307818071
-18.509047,150,39.538591,False,True,0.08440564901274286,88.67435140875088
-10.470244,150,47.727042,False,False,0.01245959495336265,54.5882265579095
-10.497963,150,56.693411,False,False,0.095353532623281,55.127159329759664
-12.595084,150,64.616818,False,True,0.007972270520395137,70.71909028342102
-10.522295,150,72.633058,False,False,0.01645373844127225,84.85082340755169
-10.518362,150,80.595765,False,False,0.02361727529046445,71.19875454278483
-10.467328,150,88.612065,False,False,0.013108190855124095,53.14696361111295
-12.470142,150,96.481956,False,True,0.06126888030914191,47.2321634538687
-10.502182,150,105.29296,False,False,0.06076572665899905,73.04732966541673
-16.530724,150,113.036899,False,True,0.042783532982620665,85.6713218255446
-10.491707,150,121.102932,False,False,0.05835067320519924,60.36858402887158
-10.474346,150,128.668476,False,False,0.02603526179720341,59.60195877410955
-10.396155,150,136.569966,False,False,0.006124094887306603,48.78879835287067
-12.480096,150,144.527813,False,True,0.05220353737116084,45.27153547990068
-10.468841,150,153.326021,False,False,0.042469570099797134,55.71430344858047
-10.370285,150,161.595682,False,False,0.025248245102233828,35.61930611610638
-10.335419,150,169.350892,False,False,0.04106683802619405,34.054617726824176
-10.502576,150,177.126023,False,False,0.12897820161731127,77.0062397363468
-10.148062,150,184.920416,False,False,0.014954496293508163,30.7513784250895
-10.416506,150,192.775001,False,False,0.04107464346289642,37.37371956730336
-10.509578,150,201.544305,False,False,0.055528790515793985,32.8969208057069
-10.487241,150,209.353083,False,False,0.08502854626390405,43.44147958446677
-12.434557,150,217.15354,False,True,0.05572051833408767,30.691015222002278
-10.455685,150,224.902791,False,False,0.03380359400774055,27.029516604096866
-10.458354,150,232.872188,False,False,0.03273569539573906,48.555818164545286
-12.438076,150,240.761774,False,True,0.05087058629678836,39.07653524549943
-12.32586,150,249.441609,False,True,0.014109528038698351,28.742969526332722
-10.46518,150,257.442662,False,False,0.03394233230354319,41.477840700996154
-10.50034,150,265.157386,False,False,0.15934265917080628,65.11344224014809
-10.033394,150,272.885884,False,False,0.008507590534594905,25.015280893201766
-10.433252,150,280.753653,False,False,0.01344362014070338,35.18221802113035
-10.454382,150,289.521217,False,False,0.04993206077947571,44.207294022082756
-10.504378,150,297.173903,False,False,0.1406849458107465,67.03422045213334
-10.47654,150,305.203877,False,False,0.0053061252659880095,50.082827967510745
-10.504165,150,313.101863,False,False,0.1622966296332374,73.24608310993386
-10.499963,150,320.830192,False,False,0.10600436060740392,61.15582765009566
-10.429999,150,328.479194,False,False,0.03642631520171424,54.08171183042667
-10.552651,150,337.189913,False,False,0.054100151103075346,88.83256838870008
-10.541908,150,344.860959,False,False,0.016957623146279303,73.42643783252056
-10.513668,150,353.077516,False,False,0.04199394598457523,75.1989496979456
-10.741617,150,360.843562,False,False,0.049703282802715465,42.948916814999265
-10.502909,150,368.483563,False,False,0.10587773475752986,45.13693492391665
-10.437715,150,376.136157,False,False,0.02173542258943969,46.292441884667525
-10.516709,150,384.785332,False,False,0.02712098635743682,80.19096987093778
-10.490573,150,392.438571,False,False,0.03114533353362624,48.08963379202519
-10.514547,150,399.970988,False,False,0.040031555244061795,76.41470413296896
-10.502402,150,407.729235,False,False,0.06305067226023127,66.18109154222203
-10.3767,150,415.558833,False,False,0.005771389631585223,45.00305520191756
-10.494995,150,423.413451,False,False,0.02681887724357693,74.41186277654509
-10.505069,150,432.107943,False,False,0.11253655655802305,89.75698460923682
-10.498812,150,439.936904,False,False,0.08366490403021759,71.17757348587533
-10.52008,150,448.298449,False,False,0.0023188795741850947,83.69592478232717
-10.506223,150,456.01711,False,False,0.09246840479332717,78.62755505022423
-12.50386,150,463.717328,False,True,0.11417514828927831,74.61747332519325
-10.501171,150,471.49746,False,False,0.1439599693865806,82.58588024152198
-10.522005,150,480.063488,False,False,0.004010991768596953,65.95069731620856
-10.522022,150,487.709777,False,False,0.02415789789349694,61.70008677102641
-10.504371,150,495.688529,False,False,0.10537688587118052,85.95365969429733
-10.519184,150,503.379998,False,False,0.04337094394292389,76.50311373138139
-10.553655,150,511.416676,False,False,0.028670282455659,80.41786071669307
-10.882617,150,519.166564,False,False,0.006416177312111015,89.1118321113435
-10.299066,150,527.957451,False,False,0.04134463633186444,27.31610109843685
-10.528007,150,535.761484,False,False,0.036432823115493104,84.94761349593634
-10.52552,150,543.545431,False,False,0.018588026619353475,78.42115873589816
