#{"t_start": 1785273097.846517, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-20.515232,150,15.851274,False,True,0.031302863720732196,74.32857238385185
-26.511584,150,23.703248,False,True,0.06023502978175681,71.60736375300544
-20.525636,150,31.603142,False,True,0.05282613639566198,89.51489967954784
-14.522104,150,39.544708,False,True,0.049298025062639986,82.22550980246716
-12.511235,150,47.725044,False,True,0.07567666332451953,83.43708798587829
-10.616368,150,56.692429,False,False,0.048958067393326025,88.47710670965249
-12.513891,150,64.616818,False,True,0.10124939137266174,64.55948895929632
-12.511696,150,72.634017,False,True,0.12378916693949424,86.14617192696005
-12.518899,150,80.593624,False,True,0.019221403516134796,77.08667144494841
-14.41672,150,88.610573,False,True,0.09641957091620199,63.63669141097461
-12.512085,150,96.486399,False,True,0.025346851906869087,71.55663840600616
-10.448927,150,105.293958,False,False,0.032852066584662304,47.45855507786993
-10.488098,150,113.032904,False,False,0.08438630940736273,54.15328705959376
-10.50507,150,121.107933,False,False,0.015033177729563783,59.35466049700793
-10.39019,150,128.670518,False,False,0.015526101034267227,39.84767750426388
-12.428738,150,136.570971,False,True,0.0277126818325582,48.678792030437734
-10.362392,150,144.525804,False,False,0.0069192822996539845,54.1688490556216
-10.319997,150,153.323369,False,False,0.011975373820832412,32.19960076475677
-10.536881,150,161.596692,False,False,0.046584761534227775,84.03069577586818
-10.40642,150,169.354935,False,False,0.042881933278880346,37.3544344886917
-10.348173,150,177.126023,False,False,0.05050386777358145,25.399412087236822
-10.449394,150,184.920416,False,False,0.05436030847404362,41.819145265174015
-10.395408,150,192.781069,False,False,0.05582124000762503,30.207831398790912
-10.479065,150,201.548889,False,False,0.04535516158547934,41.79763719798319
-10.512384,150,209.352022,False,False,0.04341135490383115,27.508690945053665
-10.358573,150,217.15354,False,False,0.006551646481458299,27.90881958612697
-10.293112,150,224.906759,False,False,0.023921461200876428,30.140453945186163
-10.218231,150,232.87319,False,False,0.028957055151728514,27.881873814452746
-10.528224,150,240.764777,False,False,0.06852891755734623,68.49218610976946
-10.483827,150,249.443605,False,False,0.07490192482760061,57.41993571168729
-10.76303,150,257.440134,False,False,0.03974783765981388,45.83680368736347
-10.288078,150,265.160392,False,False,0.012507262707402404,25.836193065114184
-10.368064,150,272.890797,False,False,0.05480739956243264,60.85337870039962
-10.434257,150,280.753653,False,False,0.02111248922468264,39.37839732465965
-10.523999,150,289.520219,False,False,0.06514570251618818,77.66430714308483
-10.507493,150,297.173903,False,False,0.08170914359088098,74.60268473861046
-10.488873,150,305.210942,False,False,0.02336523336614545,57.44337974203372
-10.502759,150,313.10486,False,False,0.05504701938887305,55.994422372318745
-10.533023,150,320.832276,False,False,0.03195442519903577,70.50971521372682
-10.365724,150,328.487517,False,False,0.029101002198171744,37.76534378200752
-10.502563,150,337.195913,False,False,0.14595423352666226,73.12693532509729
-10.340851,150,344.862951,False,False,0.07452522691447105,31.108270497446256
-10.525322,150,353.08444,False,False,0.015219512199922488,88.6606415364912
-10.416333,150,360.843562,False,False,0.007837367786995703,37.19977812097251
-10.379248,150,368.486172,False,False,0.07339378152989712,27.345120080067755
-10.515657,150,376.137154,False,False,0.02767061422591338,75.71901946664691
-10.546615,150,384.788336,False,False,0.004384657799145486,88.08590187989583
-10.515628,150,392.441311,False,False,0.040166943884043585,75.04578731168118
-10.504184,150,399.969996,False,False,0.04961616628291214,66.98808817662209
-10.502822,150,407.737339,False,False,0.10334760041419831,88.84434378190949
-10.504524,150,415.562506,False,False,0.08773502664458717,80.64649613378035
-10.508923,150,423.411445,False,False,0.027613156299756466,65.99509862145588
-10.495545,150,432.10996,False,False,0.09656382746073168,56.32851292687673
-10.52827,150,439.944141,False,False,0.02717287501139335,78.75976475540789
-10.495663,150,448.29944,False,False,0.031882131407241346,63.353894837609104
-14.52329,150,456.018094,False,True,0.07146388078021527,82.0876652886825
-10.488809,150,463.715807,False,False,0.004092879848623037,65.91719655487469
-10.492142,150,471.503423,False,False,0.042488228532499776,61.20940567177851
-12.505338,150,480.065481,False,True,0.05906565726209621,67.06627960405972
-12.507528,150,487.710351,False,True,0.1144977807369076,71.17268673748931
-10.506475,150,495.692522,False,False,0.06358967655966655,86.50891621101619
-10.486165,150,503.382349,False,False,0.0773755504895416,49.64870649355472
-10.516156,150,511.41867,False,False,0.05126876206117998,82.50833151903798
-10.484385,150,519.170624,False,False,0.03596725178995688,59.02339849464207
-10.506208,150,527.957451,False,False,0.10921478762303584,77.38522996655438
-10.547013,150,535.764488,False,False,0.016853307672548397,80.72942191802159
-10.500268,150,543.553561,False,False,0.034236563232908135,71.96961847243911
