time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,train/value_loss,rollout/ep_len_mean
512,5,1,85,,,,,,,,,,,,
1024,13,2,77,1.2413207292556763,0.2,-2.4766501992940904,0.0003,0.169140625,0.016007187,-0.035319341893773525,-0.03417634963989258,-34.0096205,10,5.208105385303497,150.0
1536,20,3,76,0.7023777961730957,0.2,-2.458059033751488,0.0003,0.051953125,0.010276279,-0.017489523359108715,0.08991837501525879,-27.010343,20,1.6869008354842663,150.0
2048,27,4,75,0.3664802014827728,0.2,-2.4388910621404647,0.0003,0.098046875,0.010459481,-0.023052189068403096,0.1678527593612671,-24.164708,30,0.9861522696912288,150.0
2560,34,5,74,0.37317416071891785,0.2,-2.414630341529846,0.0003,0.082421875,0.012239613,-0.021628721652086826,0.3645169138908386,-22.37538275,40,0.9621006727218628,150.0
3072,41,6,73,-0.04922039806842804,0.2,-2.3775399416685103,0.0003,0.148828125,0.014859097,-0.02218746758881025,0.5788026750087738,-20.6000601,50,0.32161037493497135,150.0
3584,47,7,75,-0.08969072997570038,0.2,-2.3389752984046934,0.0003,0.148046875,0.018025413,-0.022109525662381203,0.7220198214054108,-20.6000601,60,0.17863598167896272,150.0
4096,54,8,74,-0.10954588651657104,0.2,-2.301668590307236,0.0003,0.1564453125,0.013580434,-0.020925133454147725,0.8570054620504379,-19.08740775,70,0.07660049528349192,150.0
4608,61,9,74,-0.12657761573791504,0.2,-2.2913623332977293,0.0003,0.1259765625,0.012553353,-0.019528144621290267,0.8434890657663345,-18.009793357142858,80,0.08222574687097221,150.0
5120,68,10,74,-0.09518348425626755,0.2,-2.283763563632965,0.0003,0.15,0.015883513,-0.0222424729494378,0.8238153457641602,-17.19777696875,90,0.08374781683087348,150.0
5632,75,11,74,-0.1406380832195282,0.2,-2.301021409034729,0.0003,0.1724609375,0.014111438,-0.019929130922537296,0.8628891259431839,-16.509203527777778,100,0.06262605080846698,150.0
6144,83,12,73,-0.07193406671285629,0.2,-2.2871268928050994,0.0003,0.0943359375,0.01236815,-0.018096073565538974,0.7360348999500275,-16.055765625,110,0.18737980220466852,150.0
6656,90,13,73,-0.10046598315238953,0.2,-2.2989873945713044,0.0003,0.136328125,0.014018303,-0.018551997642498465,0.8118710368871689,-15.683264204545454,120,0.13622974548488856,150.0
7168,96,14,74,-0.11526529490947723,0.2,-2.262350594997406,0.0003,0.1685546875,0.013771864,-0.022133834153646604,0.7990441173315048,-15.683264204545454,130,0.06255717331077904,150.0
