rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
12.5,16,3.062554,4,0.7567999999999999,128,7,,,
14.444444444444445,14,3.640303777777778,8,0.6504000000000001,184,12,,,
14.615384615384615,13,3.594809923076923,12,0.6048000000000002,208,15,,,
12.25,12,4.602648562500001,16,0.5895999999999999,216,17,1,0.532939076423645,0.001
9.181818181818182,10,5.239591636363638,20,0.5744,224,20,,,
8.2,10,5.40511104,24,0.5668000000000002,228,22,2,0.6001017093658447,0.001
7.275862068965517,9,5.751569310344828,28,0.5515999999999999,236,25,,,
6.6875,8,5.9720745625,32,0.5440000000000002,240,26,,,
5.7894736842105265,8,6.223230921052631,36,0.5288000000000003,248,29,3,0.714099109172821,0.001
5.585365853658536,8,6.247081878048781,40,0.5060000000000002,260,31,4,1.4532749652862549,0.001
5.2727272727272725,8,6.433295454545455,44,0.49839999999999995,264,32,,,
4.76,7,6.170606540000001,48,0.48319999999999996,272,35,,,
4.574074074074074,7,6.2677927407407426,52,0.4603999999999999,284,38,5,1.3612589836120605,0.001
4.385964912280702,7,6.390350157894738,56,0.4528000000000002,288,39,,,
4.216666666666667,7,6.378032116666668,60,0.44520000000000004,292,41,6,1.8501588106155396,0.001
3.9692307692307693,6,6.434241815384616,64,0.43000000000000005,300,44,,,
3.8529411764705883,6,6.474315514705883,68,0.4072,312,46,7,1.3852559328079224,0.001
3.808219178082192,6,6.538603452054795,72,0.354,340,51,9,1.5564724206924438,0.001
3.75,6,6.597197184210526,76,0.30080000000000007,368,55,10,1.072304606437683,0.001
4.35,6,5.4748065125,80,0.2779999999999999,380,59,11,0.8479215502738953,0.001
4.214285714285714,6,5.520481511904761,84,0.23240000000000027,404,66,13,1.4695422649383545,0.001
4.329545454545454,6,5.268238511363637,88,0.16400000000000037,440,72,15,1.7548625469207764,0.001
4.195652173913044,5,5.373950173913044,92,0.12600000000000044,460,77,16,1.7148890495300293,0.001
4.302083333333333,5,5.087212520833334,96,0.10320000000000018,472,81,17,1.8478002548217773,0.001
4.17,5,5.246953680000001,100,0.0880000000000003,480,85,,,
3.75,5,5.344491200000001,104,0.057599999999999985,496,88,18,1.2988916635513306,0.001
3.05,5,5.4400518799999995,108,0.05,504,92,19,1.6000876426696777,0.001
2.91,5,5.5480022899999994,112,0.05,512,95,,,
2.41,5,5.695194689999999,116,0.05,520,99,20,1.8951117992401123,0.001
2.41,5,5.744385189999999,120,0.05,528,102,,,
3.02,4,4.752234940000001,124,0.05,540,108,21,1.2161850929260254,0.001
3.0,4,4.73441191,128,0.05,544,110,,,
3.0,4,4.718216000000001,132,0.05,548,112,22,1.9994734525680542,0.001
3.0,4,4.71888172,136,0.05,556,116,,,
2.94,4,4.70859925,140,0.05,560,118,,,
2.94,4,4.73054309,144,0.05,564,120,23,1.6441210508346558,0.001
2.95,4,4.94663584,148,0.05,584,127,24,2.0855047702789307,0.001
2.94,4,5.01030111,152,0.05,600,133,25,1.3723621368408203,0.001
2.9,4,5.005999769999999,156,0.05,616,138,26,1.8029183149337769,0.001
2.91,4,4.9790814899999996,160,0.05,636,144,27,2.044494867324829,0.001
3.5,4,3.9317019100000006,164,0.05,652,150,28,2.4176716804504395,0.001
3.45,4,3.98465521,168,0.05,660,154,29,1.514555811882019,0.001
3.42,4,3.8911258800000006,172,0.05,672,157,,,
3.37,4,3.9141874700000003,176,0.05,684,161,30,1.9606245756149292,0.001
3.96,4,2.878717670000001,180,0.05,812,167,38,1.8186864852905273,0.001
4.09,5,2.8604594300000006,184,0.05,880,174,42,1.3146321773529053,0.001
5.05,5,1.9913096100000005,188,0.05,936,180,46,1.2272590398788452,0.001
5.6,5,1.83579172,192,0.05,992,187,49,1.2636677026748657,0.001
5.37,5,2.21599434,196,0.05,1008,192,50,1.1002321243286133,0.001
7.14,6,0.5969259599999998,200,0.05,1216,200,63,0.8800735473632812,0.001
7.1,5,0.7334229200000002,204,0.05,1232,205,64,1.171332836151123,0.001
8.87,6,-0.6166174499999998,208,0.05,1420,213,76,0.9810336828231812,0.001
8.87,6,-0.6410135399999998,212,0.05,1436,218,77,0.84365314245224,0.001
10.05,6,-1.0469677699999997,216,0.05,1492,225,81,0.7311270236968994,0.001
10.05,6,-1.0029140799999998,220,0.05,1508,231,82,0.6330819129943848,0.001
10.63,7,-0.26114232000000004,224,0.05,1680,238,92,0.7895591259002686,0.001
10.63,6,-0.24282377999999974,228,0.05,1700,244,94,0.6006365418434143,0.001
11.82,7,-0.5827535699999999,232,0.05,1760,250,97,0.48120683431625366,0.001
13.0,7,-1.2472898700000001,236,0.05,1944,257,109,0.33237698674201965,0.001
14.18,7,-1.4601123099999997,240,0.05,2004,263,113,0.4171430468559265,0.001
14.29,7,-1.54741171,244,0.05,2020,269,114,0.42815691232681274,0.001
14.87,7,-1.70500959,248,0.05,2096,276,118,0.5135848522186279,0.001
17.23,8,-2.41997626,252,0.05,2336,283,133,0.4973110556602478,0.001
17.82,8,-2.5529867599999996,256,0.05,2440,290,140,0.2361784726381302,0.001
17.82,8,-2.4728059000000004,260,0.05,2460,297,141,0.37751519680023193,0.001
17.83,8,-2.49317472,264,0.05,2480,303,142,0.440192312002182,0.001
17.83,8,-1.5759344900000003,268,0.05,2492,307,143,0.25406232476234436,0.001
