#{"t_start": 1785357804.2153146, "env_id": "None"}
r,l,t
-3.055476,39,10.027775
6.429948,7,11.52377
4.195287,7,14.070831
4.409856,1,15.274594
2.224788,4,17.13801
6.369797,3,19.650543
4.924061,4,23.895026
5.441533,2,27.024775
5.671162,13,31.729078
5.2427,11,35.814748
6.016345,1,37.032835
-20.978127,60,61.406755
7.06648,2,63.125139
8.073899,1,64.382278
-12.551083,60,80.230664
-6.870721,60,87.438298
-57.720211,60,93.900139
-8.173213,60,102.570229
-9.215347,60,111.485405
4.373258,3,114.074656
-8.890527,60,121.47919
-6.834427,60,128.83644
-8.439936,60,137.277044
5.575277,2,138.557429
-7.918214,60,149.319327
-6.916222,60,160.124759
-1.897663,35,163.873168
8.733949,1,165.098394
1.843203,1,166.375119
9.908582,1,167.579777
7.299664,1,168.797368
3.314195,1,170.087617
1.603242,1,171.257744
9.399056,1,172.446238
7.941688,1,173.618198
1.289166,1,174.793218
-8.886053,60,185.891564
9.107106,2,187.180774
2.266186,1,188.479286
1.499673,5,190.835644
-7.453796,60,208.510269
-6.194593,60,216.642649
-8.599277,60,235.385683
-10.02948,60,244.667218
8.190459,3,246.002133
-5.902255,60,256.602206
3.670685,5,258.016063
-10.509141,60,266.237931
-10.251552,60,280.505794
-10.756026,60,289.607239
-8.731935,60,297.472922
-7.981832,60,308.439987
