#{"t_start": 1785522155.9888973, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-3.055476,39,16.783808,True,True,0.011262510410542305,15.121839539206322
6.429948,7,18.169938,True,True,0.003885723077504818,3.807762784053539
4.195287,7,21.011579,True,True,0.004295589805699227,7.5685315800931985
4.409856,1,22.225978,True,True,0.0072364495875585685,9.936872604548038
2.224788,4,23.628354,True,True,0.002778000319473179,12.69843898236051
4.986956,9,28.919645,True,True,0.009565419311290804,5.4003185100619495
-23.204897,60,41.179467,False,True,0.0024504036511398646,21.831914711145046
3.651305,1,42.420782,True,True,0.0006821079598970728,11.30084774101922
4.134511,14,47.322048,True,True,0.005541108640404982,7.743760326279726
4.554799,5,51.298622,True,True,0.0047693189400670145,8.69646107296911
0.114399,16,61.70648,True,True,0.0014370134673596328,14.08303538943766
-8.464253,60,71.314106,False,True,0.000626353120222238,28.889831685298542
-17.382372,60,83.448125,False,True,0.03567402916632585,3.2345400701469753
1.953383,39,94.823963,True,True,0.006968391525813342,6.263622823361567
-15.845399,60,114.429933,False,True,0.039903659572939974,2.5156915273865583
1.961013,1,115.540316,True,True,0.00011964108417973282,14.349006570247557
8.185649,1,117.018692,True,True,0.005511991547771748,3.121687778269815
-13.937208,60,132.805534,False,True,0.04899558364997495,39.776632450394864
2.815062,9,137.584803,True,True,0.004945252938347711,11.331259891407129
9.484896,6,139.643302,True,True,2.6924496484024576e-05,2.5642506746463614
7.807143,5,142.361322,True,True,0.0008946478171592068,3.0646120534288315
7.246212,3,144.355926,True,True,0.011802051908226628,4.364237567746302
5.514125,12,146.690168,True,True,0.002144015896716229,7.820570687668137
-13.003658,15,156.817521,True,True,0.011011285614079065,17.855505850149356
5.29319,7,159.471478,True,True,0.004949920744406658,8.178355513189773
-90.676437,60,169.685459,False,True,0.007904458535197362,28.44773857014611
6.365746,3,171.012527,True,True,0.0012761376882638987,6.576968695387039
6.622258,38,176.39813,True,True,0.009824106745824582,4.495331485344827
9.908191,1,178.172749,True,True,1.1465925272195688e-09,0.0025631267451352874
-1.397256,7,179.76066,True,True,0.0049976945373837334,12.433801095348466
8.95867,7,181.270243,True,True,0.002582232520451888,1.9217067050400103
-9.354689,60,195.241002,False,False,0.001983473641002958,15.290050718623638
3.828819,2,196.529524,True,True,0.009310987129937998,10.700146761012668
-7.449601,60,205.281154,False,False,0.009919088892143914,5.670364967565145
-6.629785,60,212.914824,False,False,0.010485232963281604,5.47123042779199
7.738465,3,214.292459,True,True,0.0049375316715295145,3.619782422645539
5.59553,1,215.572266,True,True,0.0032503139646209026,7.79420705076398
8.141126,4,217.603204,True,True,0.0031380170255963513,3.239891110605026
-30.179078,29,225.696624,True,True,0.007581685705040432,15.27438912962487
8.108182,1,227.347664,True,True,0.0014605106056752436,3.2574165474705614
-8.946239,60,239.115817,False,False,0.033406632505596445,22.500454905721213
-24.955229,60,257.18231,False,True,0.05264439488253398,35.093168698707096
8.374961,1,259.936257,True,True,0.0030086062823107135,2.776711743496702
-9.807633,60,276.375931,False,False,0.007023827613335815,33.874905530328164
-8.903588,60,287.182346,False,False,0.002518337190165916,75.05949296391296
-9.872744,60,297.718843,False,False,0.04574556236095409,8.805868911584911
-8.013698,60,307.856266,False,False,0.021146880805190296,11.056844257907676
-8.3567,60,319.278241,False,True,0.0007204416702092264,46.050095127924834
-7.992852,60,331.520378,False,False,7.962629884350069e-05,52.62767308308321
7.839117,2,333.306377,True,True,0.009134889527190446,3.6118405194946037
7.055423,1,334.760644,True,True,0.01047762947264865,5.167009238970413
6.816827,1,336.239598,True,True,0.0023409566392880513,5.5900794287231355
-9.825475,60,348.524648,False,False,0.06766802779018757,39.92648732580732
4.946313,1,350.832915,True,True,0.0024007295136334204,8.965903702609776
5.167129,1,353.117626,True,True,0.0070233649780307335,8.570747052807103
-8.452037,60,366.569538,False,False,0.004364836883218905,30.134921877083098
