#{"t_start": 1785522155.9888973, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
5.575223,14,12.266766,True,True,0.009231196270872497,5.136175407883849
-0.628199,6,13.667262,True,True,0.005385205692165992,17.47103511775676
-7.869697,28,19.362943,True,True,0.009230664424333457,17.800645784797975
5.496307,6,22.218157,True,True,0.002022419828006071,6.159605319084015
0.325775,6,24.839312,True,True,0.003964013841482563,16.79642577918612
6.707662,3,26.259121,True,True,0.0019907660380189263,5.827148702814449
-24.711031,60,39.85848,False,True,0.016998976234085708,23.185727547056416
6.182383,13,44.165561,True,True,0.004922466258735637,3.275649453027402
8.145553,1,45.499177,True,True,0.0005524276916495791,3.188218806985377
6.454562,15,55.314811,True,True,0.007965666211775689,4.363823362278688
0.501594,17,63.74439,True,True,0.0021026451024710475,14.225161709137401
7.064224,12,65.83319,True,True,0.0053067839756012055,3.8854776833973728
-20.688917,60,77.302659,False,True,0.02102966788146674,10.419343804281414
6.017882,14,79.019128,True,True,0.00033891452528960093,6.084614028470482
6.220216,9,80.868007,True,True,0.006816493982853832,5.678786307860263
-11.79026,60,96.630433,False,True,0.023982480339626966,17.177306872601914
0.68501,2,98.039367,True,True,0.004057037349527699,16.32314085391665
-1.010132,29,105.457105,True,True,0.004662963974442086,16.078339542693232
2.003585,10,107.027575,True,True,0.00408610275605698,13.658350386846873
-7.82325,60,124.845106,False,False,0.02104906346521952,12.135162588044198
5.05869,9,126.305603,True,True,0.0013047687884790932,8.235770028806634
6.901706,2,127.55774,True,True,0.00605507756742041,5.112709453156108
8.075042,2,128.805417,True,True,0.0061951616908980595,3.1002721173848915
4.554143,4,130.030081,True,True,0.008724977018549122,9.491689024088204
6.095916,1,131.309948,True,True,0.008715680499179562,6.896022145497895
8.723476,1,132.811466,True,True,0.005118619865501009,2.1497130459594245
6.920027,2,134.691763,True,True,0.006821853448250163,4.343701314720527
1.202096,1,136.041219,True,True,0.0069731823742880256,15.72040463001018
-13.020145,60,160.937652,False,True,0.007984049052747072,14.125361921326167
-13.698529,60,172.427737,False,True,0.051728950318412056,32.20773715504214
-0.264005,51,182.488252,True,True,0.004414001041008615,9.796438842116485
3.384781,4,183.924663,True,True,0.00018009304401037703,11.67202210670224
5.318186,1,185.338015,True,True,0.006256805479594035,8.297595334892106
6.943524,12,188.186608,True,True,9.273593655219827e-05,4.067601118425364
4.700645,13,189.986993,True,True,0.009377395686869655,8.172368521607284
-7.188851,60,200.224201,False,False,0.004916481885125526,33.461281247866026
-10.622765,60,209.060157,False,True,0.0034381781114837112,44.21142321417425
-8.743086,60,223.202955,False,False,0.0033389643300503064,57.44485383539348
-7.391187,60,234.50399,False,False,0.002890185450271813,11.362358899241281
-7.292627,60,253.331249,False,False,0.008478709847657607,11.104000127555212
6.89463,1,255.219417,True,True,0.005462326362776525,5.452170926319349
-8.653934,60,273.575325,False,False,0.008668843870946893,40.862072546346795
-7.583854,60,284.740679,False,False,0.003645154086028976,52.684081371491665
-8.690564,60,294.448813,False,False,0.04918196334005753,24.076189134971052
4.737388,1,295.975305,True,True,0.005161657874465526,9.344998346791531
-8.926288,60,304.288785,False,False,0.00767738362996968,35.14204621004284
9.766924,1,305.944924,True,True,0.0011491571085077892,0.2602303795207018
-7.502068,60,317.441132,False,False,5.970902233384465e-06,29.011774753833553
-9.699615,60,327.963607,False,False,0.09292402968868163,39.317482725764066
7.723478,2,329.759669,True,True,0.005625531881342907,3.8051623478244996
-7.946768,60,344.958605,False,False,0.001237648408725183,38.921299141344
4.907921,1,346.439673,True,True,0.009987185200110188,9.040896578436174
-9.155418,60,362.773353,False,True,0.08381915319839958,28.931174487889027
6.604044,1,364.525205,True,True,0.011540460618026951,5.980899997010213
1.960132,16,368.518343,True,True,0.002698741348851808,14.540108403907919
3.995294,1,370.247822,True,True,0.004118043970650884,10.68285490387568
6.699243,1,371.725958,True,True,0.010886912932321047,5.810060132383016
7.561881,1,373.504469,True,True,1.364656061764169e-10,4.242360767305551
-6.138708,60,389.567055,False,False,0.004859529253539331,5.634444117311718
7.599505,1,391.270184,True,True,0.003857473819543584,4.178622088218212
8.107694,1,393.074868,True,True,0.009583746828253033,3.2669980498000033
3.802793,1,394.712585,True,True,0.0007083428213080153,11.027600750375413
4.68212,1,396.303271,True,True,3.4773977412860813e-09,9.440610921964026
-6.790568,60,408.372898,False,False,0.002401115345258465,17.427431848851374
6.140104,1,410.134066,True,True,0.011679820891250721,6.8192412235851965
-12.567966,60,431.665086,False,True,0.007170191236889848,34.00996428590748
5.678263,1,433.523412,True,True,0.006076767268624929,7.648266097198071
-8.20492,60,455.997845,False,False,0.046330337385314974,7.717155263622643
-7.440168,60,485.353843,False,False,0.017637385560694163,5.830751932008754
-7.636989,60,501.030905,False,False,9.36769258372272e-06,10.58717006880014
9.261336,1,502.577674,True,True,0.00543843715866535,1.175872591260305
8.830047,10,504.780358,True,True,2.0052277014051897e-10,0.1943664488293776
-8.746525,60,522.002431,False,True,0.0227308640882171,50.46414039525703
-9.932455,60,539.807319,False,True,0.020899520730932597,22.405273200643986
-7.329817,60,558.072716,False,False,0.0024331022821774614,11.660368837693074
8.748332,1,559.712878,True,True,0.0025226709337335465,2.102087831188056
-43.143623,60,573.237939,False,True,0.01428585349822081,3.542187220118062
-5.979096,60,594.582519,False,False,0.009905002585747615,43.22908724888503
-9.024351,60,604.564306,False,False,0.005678248997461255,9.874375468985617
9.908582,1,606.518654,True,True,1.174656037285687e-09,0.002562980279733997
-4.834849,60,626.414122,False,False,0.004833220529262891,4.7913676554381475
-8.970594,60,648.365131,False,False,0.040703461572560426,19.455170012700282
-41.646641,60,661.440626,False,True,0.02627925387447284,9.082678442526543
-9.062936,60,676.207528,False,False,0.0025858278771183876,13.177020623453886
-8.072283,60,690.749095,False,False,0.00490600836761818,35.80003720240749
8.287779,1,692.615355,True,True,0.00042196205508463315,2.9314897275794065
-8.187168,60,704.099765,False,False,0.0022066868004467287,66.76550454375017
-8.159341,60,724.953614,False,False,0.022144882103668138,16.366692907942177
7.295861,1,726.635463,True,True,9.101080505259e-05,4.722848218586331
-9.253918,60,737.832867,False,True,0.007053668339819567,47.2442847780023
-7.53337,60,746.85814,False,False,0.00023354109511797977,24.264853481937713
5.906583,1,748.403444,True,True,0.003249775338282265,7.233857823584601
-7.39228,60,762.990708,False,False,0.023618050598402354,33.62889693887086
-8.69586,60,776.07789,False,False,0.002085760763225918,1.1578799098484653
-6.516159,60,789.769562,False,False,0.0319022766940778,46.14251168536116
-5.958408,60,799.294116,False,False,0.005274169728345136,20.14454039045408
-2.745259,60,813.889869,True,True,0.00021001330523137468,15.81504430888288
-9.266452,60,827.877447,False,False,0.06364341455541596,19.887578602418003
-7.679115,60,838.423311,False,False,0.00550888554312929,72.12142469003669
-6.951125,60,848.137588,False,False,0.009249009796969984,23.391413593086405
-9.285782,60,861.126824,False,False,0.0011183812608486776,43.25698393186472
-6.853873,60,876.102719,False,False,0.0025262152369210566,21.2632427816326
-8.279016,60,889.266814,False,False,0.005850996067225256,4.316648311303984
7.052148,1,890.950062,True,True,0.004586549864372242,5.166898041834004
-8.137831,60,905.361586,False,False,0.00225740014940569,30.131871397638573
1.013912,5,907.308017,True,True,0.010594394395864681,4.748370717798799
-6.26375,60,920.015478,False,False,0.03412420225511717,67.17962620797081
-9.365784,60,931.297593,False,False,0.003088120034661708,11.17459171606002
-6.629587,60,945.983264,False,False,0.02317532097313151,32.42093566582722
-26.731725,60,955.41298,False,True,0.0024525139179643993,11.611636903409542
