time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss
5,56,0.9822666666666665,4,4.860418,8.0,9,,,
11,184,0.9417333333333334,8,3.084421125,13.0,15,,,
15,216,0.9316000000000002,12,2.5755935,12.166666666666666,13,1,0.001,0.3038182556629181
21,256,0.9189333333333333,16,1.5873825624999998,13.6875,12,3,0.001,0.43434834480285645
25,300,0.9049999999999999,20,2.2591884499999995,11.95,11,6,0.001,0.3296999931335449
29,376,0.8809333333333332,24,0.9460989166666668,13.25,12,11,0.001,0.20937579870224
36,512,0.8378666666666666,28,-0.5034197857142855,15.714285714285714,14,19,0.001,0.16593529284000397
47,588,0.8138,32,0.27879662500000024,14.78125,12,24,0.001,0.7815514802932739
55,652,0.7935333333333334,36,-0.42982348648648633,17.10810810810811,11,28,0.001,0.12502963840961456
61,780,0.7529999999999998,40,-0.22959784999999977,17.35,12,36,0.001,0.32870709896087646
67,920,0.7086666666666666,44,-0.8591417954545452,19.59090909090909,13,45,0.001,0.20561838150024414
74,1056,0.6656,48,-0.7884436874999997,19.729166666666668,14,53,0.001,0.08410359919071198
80,1168,0.6301333333333334,52,-1.4478358076923075,21.75,14,60,0.001,0.047223322093486786
85,1228,0.6111333333333335,56,-0.9935824642857141,20.696428571428573,14,64,0.001,0.36195534467697144
90,1296,0.5895999999999999,60,-0.9782947166666663,21.416666666666668,14,68,0.001,0.22739380598068237
95,1384,0.5617333333333332,64,-0.7697178437499999,20.484375,14,74,0.001,0.13758638501167297
102,1468,0.5351333333333335,68,-0.7202598823529409,20.16176470588235,14,79,0.001,0.08955048024654388
107,1528,0.5161333333333333,72,-0.8265632916666664,20.805555555555557,14,83,0.001,0.11311185359954834
113,1568,0.5034666666666665,76,-0.4358696184210525,19.973684210526315,13,85,0.001,0.21093101799488068
119,1736,0.4502666666666666,80,-0.36316307499999995,20.15,14,96,0.001,0.30753785371780396
