#{"t_start": 1785367005.112336, "env_id": "None"}
r,l,t
5.575223,14,4.503326
-0.628199,6,5.896357
-7.869697,28,11.291735
2.816682,11,14.778834
-22.009105,60,26.505007
5.192399,18,28.123805
5.285953,17,31.893897
2.489383,18,35.899063
2.585504,17,37.571456
-22.380188,60,47.201837
3.815555,11,48.622712
-10.886474,60,58.130932
7.810867,7,59.397664
-13.012261,60,69.1586
-8.930857,60,77.519651
-13.028273,60,86.690853
-14.530478,60,93.756057
0.821202,17,95.478133
3.458582,2,96.91153
-10.696666,60,106.294556
-9.402399,60,114.035863
-57.094953,47,118.206638
-7.46456,60,124.692137
-11.274591,60,135.075075
-5.689299,60,141.193104
-8.596641,60,147.302595
-8.362444,60,153.475372
-8.326051,60,159.603516
-7.868551,60,166.997526
-5.434844,60,174.118135
6.068301,1,175.126623
9.116441,2,176.267738
-8.616537,60,182.624048
-0.72033,35,190.243774
4.601459,5,191.492053
-9.051282,60,198.954436
-7.001243,60,205.174494
6.056932,1,206.217604
5.66321,6,207.327182
-7.381628,60,213.32488
-9.187901,60,220.330518
-10.431825,60,227.475401
-6.964485,60,235.826024
-8.11733,60,244.075931
-10.505881,60,251.666944
9.798808,1,252.660007
2.458082,51,257.606198
-8.698932,60,265.65152
-26.53922,60,272.284499
-8.076097,60,280.302965
-9.743577,60,288.985753
-8.817286,60,298.760011
-7.316209,60,307.133409
4.523017,1,308.264421
-7.269019,60,317.404888
3.265006,1,318.581824
-9.05316,60,324.925129
-7.644872,60,334.347209
-9.899922,60,348.396478
-8.845751,60,354.77887
-1.051603,54,362.925081
-10.813644,60,376.110747
-8.093123,60,384.970566
-6.926695,60,392.187101
-7.349138,60,398.354435
-6.740329,60,404.574179
-7.670295,60,411.024653
-8.734541,60,417.087034
-8.785943,60,423.190928
-9.926266,60,429.243836
-7.478501,60,435.462457
-10.515407,60,441.695875
-7.571373,60,447.955413
-9.25303,60,454.314351
-9.016858,60,460.517023
-9.570529,60,466.70506
-8.537664,60,472.794264
-8.950945,60,480.060017
-1.606029,31,484.649475
-6.969699,60,490.949904
