rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
0.9822666666666665,10,4,8.0,4.860418,5,56,,,
0.9417333333333334,17,8,13.0,3.084421125,10,184,,,
0.9265333333333335,15,12,12.0,2.302966916666667,15,232,0.2787821590900421,0.00025,2
0.9151333333333332,13,16,13.294117647058824,1.8799807647058824,19,268,0.47542113065719604,0.00025,4
0.9075333333333335,13,20,11.85,2.4056409500000004,22,292,0.35855764150619507,0.00025,6
0.8961333333333332,12,24,11.416666666666666,2.8455164583333334,26,328,0.2501479685306549,0.00025,8
0.8809333333333332,12,28,12.366666666666667,1.5025035000000002,31,376,0.2909344434738159,0.00025,11
0.8733333333333336,12,32,11.8125,1.740411,33,400,0.4912990629673004,0.00025,12
0.8644666666666668,11,36,10.694444444444445,1.9937163055555556,37,428,0.4121088683605194,0.00025,14
0.8163333333333336,13,40,10.575,2.29334745,43,580,0.5896222591400146,0.00025,24
0.8036666666666668,12,44,13.577777777777778,0.4358913111111112,48,620,0.17303436994552612,0.00025,26
0.7352666666666668,15,48,14.5625,0.120485625,53,836,0.4315134286880493,0.00025,40
0.7112000000000003,15,52,16.134615384615383,-0.3661553076923077,57,912,0.4476843774318695,0.00025,44
0.6997999999999999,15,56,15.696428571428571,-0.024338696428571387,62,948,0.4460563361644745,0.00025,47
0.6656,15,60,16.1,-0.0619811166666666,67,1056,0.13415563106536865,0.00025,53
0.6162000000000001,16,64,17.96875,-0.6322858125000002,73,1212,0.280707448720932,0.00025,63
0.5895999999999999,16,68,18.044117647058822,-0.4687068970588237,77,1296,0.22607150673866272,0.00025,68
0.537666666666667,17,72,19.27777777777778,-0.8009048750000001,81,1460,0.2567591965198517,0.00025,79
0.5212000000000001,17,76,19.30263157894737,-0.6826270921052632,85,1512,0.24826419353485107,0.00025,82
0.47939999999999994,18,80,19.625,-0.7449711500000001,90,1644,0.5163639783859253,0.00025,90
