#{"t_start": 1784975054.938413, "env_id": "None"}
r,l,t
-16.779832,60,46.259075
-8.089222,60,48.097845
-25.965249,60,49.915685
-24.217823,60,52.28887
-8.311334,60,54.407919
-6.881539,60,56.441151
-8.438297,60,58.443919
-5.713628,60,60.437519
-5.621431,60,62.368613
-5.658377,60,64.151745
-5.805728,60,65.952767
-6.052278,60,67.917612
-7.877019,60,69.890438
-5.993397,60,71.920558
-8.067712,60,73.716202
-6.066127,60,75.424549
-7.54803,60,77.244038
-5.623517,60,79.078005
-5.719426,60,80.915399
-6.192659,60,82.898493
-11.995519,60,84.586016
-6.142574,60,86.878515
-6.273426,60,88.872713
-5.855311,60,90.875397
-8.003209,60,92.909244
-8.48429,60,94.876381
-5.974647,60,96.898474
-5.847699,60,98.729456
-8.029525,60,100.707063
-6.053444,60,102.789054
-5.825894,60,104.777466
-10.772178,60,106.845996
-7.71747,60,108.84286
