r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps,d_mm
-6.868105,60,8.084196,False,True,0.0169191949348984,89.017118630719,60,16.9191949348984
-6.733313,60,8.107187,False,True,0.0568984875179299,80.60805053880631,120,56.8984875179299
-6.350746,60,8.110187,False,True,0.0758889534442397,89.95360353012593,180,75.88895344423969
-6.185972,60,8.126183,False,True,0.1163227439720782,87.33030435090015,240,116.3227439720782
-7.105946,60,10.960558,False,True,0.0030969071537021,81.4206941910041,300,3.0969071537021
-6.584427,60,10.973566,False,True,0.0584835447504333,84.7957693025928,360,58.483544750433296
-6.107558,60,10.979551,False,True,0.1012968080338797,77.43178143780257,420,101.29680803387971
-6.101816,60,10.989563,False,True,0.0905719716578814,85.82839917762105,480,90.5719716578814
-6.244124,60,14.577799,False,True,0.0932345680549713,81.44769106326358,540,93.23456805497129
-6.587822,60,14.588801,False,True,0.0349702039316139,89.95900083201695,600,34.9702039316139
-6.633712,60,14.596791,False,True,0.0164916396164951,82.77038905369749,660,16.4916396164951
-6.443964,60,14.604797,False,True,0.0587762465374312,86.73624050930059,720,58.7762465374312
-7.227859,60,17.383519,False,True,0.0057930162208302,76.18799779277215,780,5.7930162208302
-6.558802,60,17.40051,False,True,0.0154891707767408,89.79035100229912,840,15.4891707767408
-7.289255,60,17.410504,False,True,0.0053467811890891,88.13920420800522,900,5.3467811890891
-6.770446,60,17.423507,False,True,0.0110700843413636,82.64492975993203,960,11.0700843413636
-6.607864,60,21.149799,False,True,0.0401056490100272,73.43340495185086,1020,40.1056490100272
-6.099422,60,21.170792,False,True,0.1412260331499558,81.60928058912437,1080,141.2260331499558
-6.371467,60,21.170794,False,True,0.059129698800115,78.78491473583247,1140,59.129698800115
-6.151684,60,21.190786,False,True,0.0784659978057736,78.43316568807678,1200,78.4659978057736
-6.324564,60,24.143458,False,True,0.0595771910658962,74.64809940427533,1260,59.5771910658962
-6.082229,60,24.155463,False,True,0.0827327554437537,88.95683726070104,1320,82.7327554437537
-7.085921,60,24.160461,False,True,0.013508180098349,79.8540796828243,1380,13.508180098349001
-6.742206,60,24.175462,False,True,0.008313463731282,85.3369173340122,1440,8.313463731282
-6.37516,60,27.697144,False,True,0.0850932837100756,67.45795848173081,1500,85.0932837100756
-6.265833,60,27.716137,False,True,0.0286061415537166,89.24369898416754,1560,28.606141553716597
-7.234015,60,27.719171,False,True,0.0127498201183057,84.75858541855665,1620,12.749820118305701
-7.0478,60,27.735168,False,True,0.0016592668575889,73.76354230430115,1680,1.6592668575889
-6.765801,60,30.549489,False,True,0.017787936533833,88.44087292232626,1740,17.787936533833
-6.213379,60,30.562473,False,True,0.1040120089188726,88.8150683176394,1800,104.01200891887261
-6.20029,60,30.568482,False,True,0.0366550531740062,86.99909376986665,1860,36.6550531740062
-6.09539,60,30.575473,False,True,0.116037259775884,68.86181787061713,1920,116.037259775884
-6.26124,60,34.205424,False,True,0.0555165464153755,86.77523008419138,1980,55.5165464153755
-6.057094,60,34.22742,False,True,0.1568347782386167,87.71965765215378,2040,156.83477823861668
-7.211044,60,34.230419,False,True,0.008917639917513,85.7275827231931,2100,8.917639917513
-6.641138,60,34.244418,False,True,0.0386621178116203,87.65333721605143,2160,38.6621178116203
-7.183243,60,38.238474,False,True,0.0068434973613412,77.87561035928049,2220,6.8434973613412
-6.139692,60,38.25694,False,True,0.0873381473451827,84.23696263740118,2280,87.3381473451827
-6.076623,60,38.263491,False,True,0.1430151494160095,80.38558989048543,2340,143.0151494160095
-6.268328,60,38.275466,False,True,0.0739871109481091,81.19688776453351,2400,73.9871109481091
-6.420961,60,43.386488,False,True,0.0468373587939984,79.71806279959918,2460,46.8373587939984
-6.43708,60,43.409617,False,True,0.0017324818543429,76.6886272683218,2520,1.7324818543429
-6.440995,60,43.422647,False,True,0.0202654509322672,75.71690779691325,2580,20.2654509322672
-6.638571,60,43.427465,False,True,0.0213353844432977,89.10806324670534,2640,21.3353844432977
-6.263393,60,47.024217,False,True,0.0895859626852208,68.25956172699131,2700,89.5859626852208
-6.114565,60,47.039222,False,True,0.0581784876196151,79.71224433012414,2760,58.178487619615105
-6.522867,60,47.047209,False,True,0.0332973687066292,83.46766192653739,2820,33.2973687066292
