#{"t_start": 1785179567.9111412, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-6.733313,60,8.107187,False,True,0.05689848751792991,80.60805053880631
-6.107558,60,10.979551,False,True,0.10129680803387979,77.43178143780257
-6.633712,60,14.596791,False,True,0.016491639616495166,82.77038905369749
-6.558802,60,17.40051,False,True,0.0154891707767408,89.79035100229912
-6.099422,60,21.170792,False,True,0.14122603314995588,81.60928058912437
-6.082229,60,24.155463,False,True,0.08273275544375376,88.95683726070104
-6.265833,60,27.716137,False,True,0.0286061415537166,89.24369898416754
-6.20029,60,30.568482,False,True,0.03665505317400625,86.99909376986665
-6.057094,60,34.22742,False,True,0.15683477823861677,87.71965765215378
-6.139692,60,38.25694,False,True,0.08733814734518276,84.23696263740118
-6.43708,60,43.409617,False,True,0.0017324818543429411,76.6886272683218
-6.114565,60,47.039222,False,True,0.05817848761961514,79.71224433012414
-6.304378,60,51.053509,False,True,0.05161039859489899,80.64964995093138
-6.893932,60,53.932745,False,True,0.019673120251167985,84.1644493072769
-6.591597,60,57.375596,False,True,0.05206611991252089,85.61360145014304
-6.662198,60,60.21066,False,True,0.03857904169524251,72.02307524430067
-6.284713,60,63.003013,False,True,0.04322297876416561,77.3622029834934
-6.1417,60,66.572391,False,True,0.061988973689790325,88.78157713802139
-6.201251,60,69.399702,False,True,0.08470131277352021,81.67032456427792
-7.034793,60,72.930093,False,True,0.013451490274078066,82.26173025639552
-6.055179,60,75.749744,False,True,0.08940297253701747,80.93283578453034
-6.910651,60,79.406105,False,True,0.0288939641850183,76.99204762100352
-6.101114,60,82.129915,False,True,0.07835386368757825,89.7644783777559
-6.209551,60,85.655611,False,True,0.08700602837077613,83.51076067331954
-6.267861,60,88.511961,False,True,0.0797865006166882,76.86338738046653
-6.256186,60,92.030009,False,True,0.06747123134922198,80.36800261576418
-6.397517,60,94.872817,False,True,0.04523968246404694,82.0791264325314
-6.483622,60,98.384126,False,True,0.03655618603221493,84.67345251108885
-6.54845,60,101.191969,False,True,0.012114695566005832,85.08228738159636
-6.525737,60,104.694396,False,True,0.06558374234213818,73.13914229304315
-6.167747,60,107.483228,False,True,0.021178080414401057,81.05296808956878
-6.70936,60,110.288187,False,True,0.011837965218797155,86.13654272264712
-5.873852,60,113.957829,False,True,0.049634987320515994,89.33970153967962
-6.290937,60,116.872073,False,True,0.049595589886217276,89.15502970286757
-5.987451,60,120.492729,False,True,0.11638517383311527,83.69928742903164
-5.939307,60,123.282592,False,True,0.016557469381881487,85.50095292088257
-7.396874,60,126.857763,False,True,0.009058372767018139,82.37323534064906
-6.442167,60,129.710565,False,True,0.010637627422858847,85.1585928023641
-6.065859,60,133.255928,False,True,0.10025400490823808,85.7226835824955
-6.64626,60,136.104484,False,True,0.009135980266933982,83.7267194204585
-6.076403,60,139.721769,False,True,0.06023907154543578,74.29666343506577
-6.737121,60,142.538024,False,True,0.02123674264935268,80.48493494194777
-5.532204,60,146.108362,False,True,0.001843515475947895,88.14666241682824
-6.146298,60,148.911352,False,True,0.013783889773473897,82.50556298654773
-5.856098,60,152.434399,False,True,0.009198957296421109,76.16976727755114
-6.149514,60,155.317221,False,True,0.08589967709184526,76.82176602541476
-5.744312,60,158.947824,False,True,0.05568583236439834,85.43687990058838
-6.086562,60,161.736711,False,True,0.07995621200957236,86.718233067574
-6.589181,60,164.567573,False,True,0.02101880171238195,77.57842489054082
-6.410158,60,168.104491,False,True,0.03228308390877374,88.2881097857218
-7.417118,60,170.96252,False,True,0.010116368752144505,83.07699827790333
-6.041698,60,174.51588,False,True,0.05289443559076869,79.35122943500805
-5.988439,60,177.321737,False,True,0.0023811716680983324,77.57431234000768
-6.038517,60,180.86431,False,True,0.08733484111534714,70.8013670461822
-5.876043,60,183.652579,False,True,0.04028169530240072,84.70671067927813
-6.995873,60,187.172379,False,True,0.03988576549201503,85.43028986715277
-6.479316,60,189.95545,False,True,0.04206420772054001,82.34268641581394
-5.878655,60,193.466274,False,True,0.07024360786548436,82.04063838202732
-7.178359,60,196.358187,False,True,0.03811562868541523,77.9091217158562
-6.156992,60,200.01261,False,True,0.004785321777950071,79.97122966371046
-6.371437,60,202.827628,False,True,0.0684080646943259,88.46385466895829
-6.088868,60,206.332362,False,True,0.04243206978840802,85.95813649289472
-5.515105,60,209.17452,False,True,0.018928771788124094,79.58698223794015
-6.838512,60,211.95162,False,True,0.03969230971041295,85.87967364550622
-5.530923,60,215.543402,False,True,0.027069986533642745,77.3229179641367
-7.486849,60,218.553206,False,True,0.02616774268876406,84.63603116462738
-6.375379,60,222.315719,False,True,0.038946374896655395,76.1228865361501
-7.100071,60,225.101589,False,True,0.026134090835448178,76.554604455256
-6.040716,60,228.683794,False,True,0.11713865598687807,71.97800425316022
-6.362128,60,231.509619,False,True,0.011387871726206063,89.31119398130156
-6.162229,60,234.97458,False,True,0.004254070519468113,83.34622053490413
-6.019282,60,237.848802,False,True,0.05604840061812776,84.31701446100774
-6.72011,60,241.34784,False,True,0.027001258336719562,78.56062023536604
-6.582763,60,244.121301,False,True,0.03480741225492325,73.42378809173822
-6.565373,60,247.636723,False,True,0.019354175822871432,82.55481748654239
-6.470373,60,250.577503,False,True,0.06382040785710427,80.53230558709294
-6.243426,60,254.085145,False,True,0.09125113651420963,83.63595654093723
-6.751835,60,256.937948,False,True,0.0071735549098479595,76.97591409106829
-7.331009,60,260.590725,False,True,0.01888590033048563,81.97211865744866
-6.308824,60,263.419958,False,True,0.01216624931380321,86.4772208401382
-7.263229,60,266.191906,False,True,0.03081724428011105,83.32667638452178
-5.843167,60,269.698824,False,True,0.05666299155781499,74.77938312394768
-7.027316,60,272.500077,False,True,0.03524199008916651,83.95313207302324
-6.557584,60,276.049442,False,True,0.004104516974582539,61.4422289873617
-6.016167,60,278.854883,False,True,0.11840166279776505,72.5961411764911
-7.148807,60,282.3538,False,True,0.011982037143301868,65.9085588495077
-6.990966,60,285.141928,False,True,0.02874534920495434,67.56537354528683
-6.691683,60,288.781814,False,True,0.03882321600458015,59.872978466089194
-6.709028,60,291.556608,False,True,0.008585053247632958,60.06580074410472
-6.452376,60,295.055877,False,True,0.04148248413688873,75.5233927751613
-7.510295,60,297.861032,False,True,0.0366485848586739,68.6034939365516
-7.047903,60,301.43322,False,True,0.003848816272508696,66.92082836039756
-6.514146,60,304.242553,False,True,0.042775168698610234,80.93735986919644
-7.162946,60,307.809266,False,True,0.0014491788534520857,89.59193149519321
-7.210395,60,310.650916,False,True,0.018021176178054897,73.21774788428597
-6.462947,60,315.306174,False,True,0.043787007845640644,70.51632254620658
-7.519804,60,320.957104,False,True,0.01980297091881443,73.49236206758624
-6.17627,60,324.173415,False,True,0.06515495946489924,71.01789532431694
-6.220539,60,328.005382,False,True,0.07948047813191832,72.34963542862383
-6.088003,60,330.774462,False,True,0.08327312600221924,73.04357448818428
-6.071219,60,334.328872,False,True,0.053755479473864186,49.43439189225637
-6.471084,60,337.151937,False,True,0.05428759881649523,65.20318662130667
-6.075646,60,341.570162,False,True,0.011797705004246116,66.77331985386094
-6.030169,60,345.931072,False,True,0.09987743097995923,75.25188848627023
-6.188418,60,351.610743,False,True,0.04582147560607715,82.22194505379095
-6.095959,60,355.636148,False,True,0.09476671525439927,76.87531231174178
-6.939646,60,360.244084,False,True,0.0005591403805268952,72.30569282331452
-6.858442,60,363.244327,False,True,0.010314490851724792,85.89086132533942
-7.8907,60,366.947199,False,True,0.04674344674848083,69.20392604698219
-6.194342,60,370.109529,False,True,0.016027594288669702,67.70677654549303
-6.301286,60,374.36653,False,True,0.0372600073987438,73.24752782209056
-6.009897,60,377.617273,False,True,0.0921923993074547,88.59038946294146
-6.506917,60,380.62634,False,True,0.034185893629637254,81.5495137246428
-5.955464,60,384.88843,False,True,0.07123935277942607,88.44685133425372
-6.092145,60,388.084104,False,True,0.08466786831875303,86.68542681873822
-6.429363,60,392.488608,False,True,0.017827602865712715,78.29301000517651
-6.116946,60,395.713971,False,True,0.08557719104613867,76.22620328625057
-7.239376,60,399.450325,False,True,0.005551679159773228,80.16379405107087
-6.397264,60,402.329313,False,True,0.006247634040590894,69.03546628638003
-6.365315,60,406.310259,False,True,0.02197859542110306,58.72488364079735
-5.780159,60,409.29592,False,True,0.024469005359562958,80.70881618322142
-6.173343,60,414.962769,False,False,0.04101464188121255,87.34683252891018
-6.238623,60,418.922672,False,True,0.06689913273365533,81.8628314518335
-6.049811,60,423.32145,False,True,0.07473921277547715,85.60327918249152
-6.067724,60,426.674217,False,True,0.05509538304365825,83.50890634355898
-6.419518,60,430.821172,False,True,0.005760329179723904,56.99828098415084
-6.125053,60,433.946077,False,True,0.01787485460066275,76.74455026261623
-5.897759,60,438.114748,False,True,0.04255535964573177,82.26322105114782
-6.37389,60,442.519442,False,True,0.02736215798364263,89.3533041669834
-7.45449,60,445.895525,False,True,0.029380367605064333,88.14757600496618
-7.636995,60,449.988153,False,True,0.044995325631244774,74.86316025887723
-6.10148,60,453.102963,False,True,0.05229951548497169,68.9953046074741
-6.364008,60,457.168596,False,True,0.046152478766366536,88.9292842058981
-6.660142,60,460.678475,False,True,0.008489795575430933,79.076025571038
-6.168993,60,464.325534,False,True,0.04100744874440817,83.1805621745722
-6.12777,60,467.304186,False,True,0.05918331399011675,79.78201207677226
-6.461502,60,471.009549,False,True,0.051507712587570774,66.77502909889762
-7.413692,60,473.928406,False,True,0.028345634165338283,69.15411205766046
-6.164374,60,477.826386,False,True,0.012553037083032154,44.20056271439696
-7.422326,60,480.67281,False,True,0.012481365163185074,62.73223254365956
-6.8666,60,484.207384,False,True,0.0296712589240229,61.13204224617983
-7.033364,60,486.94492,False,True,0.006039838706454139,58.85301005985964
-6.39468,60,490.588629,False,True,0.034504625433635465,64.90542502061649
-7.071501,60,493.581203,False,True,0.038705688517060105,76.26711386087055
-5.770903,60,496.519749,False,True,0.01838656442992783,53.68356391867764
-6.386184,60,500.088686,False,True,0.02049281709084634,76.64386607630667
-7.325707,60,502.970771,False,True,0.022031032021873825,30.33707669490462
-7.015052,60,506.461826,False,True,0.04257624780709218,63.06026145666815
-6.510644,60,509.263594,False,True,0.01535283410119637,66.59299514312328
-6.837338,60,512.750247,False,True,0.011429462204034662,62.102529505256456
-6.105651,60,515.533042,False,True,0.061583408122204746,63.1083198062286
-5.907022,60,519.182002,False,True,0.0022965131269931834,46.978925091579335
-6.763275,60,522.049188,False,True,0.02864302578976633,69.80411069124446
-7.430875,60,525.533629,False,True,0.0227788067432961,77.6008489120495
-6.847289,60,528.415725,False,True,0.04587953886339725,62.90872905081486
-7.584829,60,531.989001,False,True,0.04065791934891194,72.14701196655504
-7.026971,60,534.764906,False,True,0.025075467713484775,72.65269659569455
-6.585003,60,538.251509,False,True,0.004821793478189521,59.062476658453186
-6.870228,60,541.004593,False,True,0.03350230211046512,74.34370441935206
-7.619314,60,543.789216,False,True,0.021471307161920784,80.90793732618768
-6.710064,60,547.350112,False,True,0.01719290620715691,75.46052270889436
-6.676286,60,550.260014,False,True,0.014376491783192103,67.57499071221534
-6.775275,60,553.793087,False,False,0.02604478885114457,52.674647259108326
-6.186407,60,556.740088,False,True,0.09083918537147712,66.17265074819824
-6.393944,60,560.844589,False,True,0.005587158849920693,62.67171573566199
-5.758969,60,563.710948,False,True,0.00216921447219854,81.46767458307642
-7.387214,60,567.808854,False,True,0.03138071661628977,59.804452536363286
-6.203825,60,571.548279,False,True,0.07461752041981345,72.91425751900995
-7.042274,60,575.237969,False,True,0.03208236710401989,81.75842432662412
-5.984483,60,578.11986,False,True,0.0650770154463638,81.62047899999546
-6.276432,60,581.735342,False,True,0.07421590114849985,71.00657735561099
-7.858329,60,585.760448,False,True,0.04433103654616625,83.01136189530943
-5.887116,60,590.722633,False,True,0.0933767305050877,89.58408324707538
-6.542231,60,594.218102,False,True,0.004945784680722427,67.27106927110684
-6.355796,60,598.221393,False,True,0.014490837748046437,56.261149911869204
-7.400288,60,601.447085,False,True,0.019279165284848833,80.87309127167809
-6.60889,60,604.741824,False,True,0.017515081686979607,83.81615019790074
-7.245078,60,608.303349,False,True,0.0210332564179366,65.25110338922609
-5.84183,60,611.192638,False,True,0.08250044726817433,76.41542429160177
-6.279186,60,615.016704,False,True,0.0683113623712869,73.8811003390378
-6.130722,60,618.00091,False,True,0.05847998323155045,78.90033420710844
-6.717976,60,622.049968,False,True,0.0364460243101694,79.38686089227075
-6.229225,60,625.265738,False,True,0.03423753653627371,80.56738479724747
