r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps,d_mm
-22.350746,60,9.148313,False,True,0.0758889534442397,89.95360353012593,60,75.88895344423969
-20.733313,60,9.14833,False,True,0.0568984875179299,80.60805053880631,120,56.8984875179299
-18.185972,60,9.157324,False,True,0.1163227439720782,87.33030435090015,180,116.3227439720782
-10.868105,60,9.218258,False,True,0.0169191949348984,89.017118630719,240,16.9191949348984
-16.584427,60,12.398147,False,True,0.0584835447504333,84.7957693025928,300,58.483544750433296
-16.107558,60,12.407385,False,True,0.1012968080338797,77.43178143780257,360,101.29680803387971
-16.101816,60,12.416027,False,True,0.0905719716578814,85.82839917762105,420,90.5719716578814
-13.105946,60,12.475144,False,True,0.0030969071537021,81.4206941910041,480,3.0969071537021
-18.553949,60,16.613993,False,True,0.0325957197546211,83.98544956544634,540,32.59571975462109
-10.630522,60,16.615003,False,True,0.0164916396164951,81.53814845476771,600,16.4916396164951
-12.442221,60,16.621977,False,True,0.0591708469689926,84.34990698588331,660,59.1708469689926
-8.240202,60,16.68797,False,True,0.0933678318867281,84.11993275657787,720,93.36783188672811
-13.185546,60,19.921274,False,True,0.0011130909952368,88.98970384950304,780,1.1130909952368
-12.583002,60,19.928262,False,True,0.0154891707767408,79.27549018670736,840,15.4891707767408
-10.860741,60,19.938259,False,True,0.0164695107146328,87.70126389553997,900,16.4695107146328
-17.179594,60,20.001253,False,True,0.0005642677970092,82.21480852307155,960,0.5642677970091999
-8.356194,60,24.213633,False,True,0.0589312046027066,78.78957852916658,1020,58.9312046027066
-6.102975,60,24.216637,False,False,0.1405814002685943,85.53377235837493,1080,140.5814002685943
-6.158641,60,24.226642,False,False,0.0802809618100542,77.9394511014522,1140,80.28096181005421
-10.692462,60,24.290629,False,True,0.0473133942796623,78.13129281145197,1200,47.313394279662305
-9.218832,60,27.736427,False,True,0.0196253900000384,82.70595060117608,1260,19.6253900000384
-12.09584,60,27.739433,False,True,0.0863375487412786,84.49850368144719,1320,86.3375487412786
-8.917667,60,27.745432,False,True,0.0163821570589148,87.30257643536366,1380,16.382157058914803
-12.287717,60,27.811424,False,True,0.0559894991651992,75.58650525116761,1440,55.9894991651992
-7.204478,60,32.189797,False,False,0.0130582144059403,77.57525193216391,1500,13.058214405940301
-12.365063,60,32.191801,False,True,0.0339845650157758,86.9526951596275,1560,33.9845650157758
-9.338519,60,32.205798,False,True,0.0087354621161095,73.91986496499453,1620,8.7354621161095
-10.377469,60,32.267792,False,True,0.083653371027893,74.0182315906119,1680,83.653371027893
-14.23259,60,35.569968,False,True,0.110777600941878,87.70901703152418,1740,110.77760094187799
-10.395801,60,35.573972,False,True,0.050397965813189,85.30319128590088,1800,50.397965813188996
