#{"t_start": 1785200367.6897628, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-20.733313,60,9.14833,False,True,0.05689848751792991,80.60805053880631
-16.107558,60,12.407385,False,True,0.10129680803387979,77.43178143780257
-10.630522,60,16.615003,False,True,0.016491639616495166,81.53814845476771
-12.583002,60,19.928262,False,True,0.015489170776740814,79.27549018670736
-6.102975,60,24.216637,False,False,0.1405814002685943,85.53377235837493
-12.09584,60,27.739433,False,True,0.08633754874127866,84.49850368144719
-12.365063,60,32.191801,False,True,0.03398456501577581,86.9526951596275
-10.395801,60,35.573972,False,True,0.05039796581318906,85.30319128590088
-6.044847,60,39.743548,False,False,0.14820082281826438,86.72717299612069
-12.170209,60,43.060012,False,True,0.09383296936103795,78.4003686244273
-6.848641,60,47.165833,False,False,0.014728295872903975,85.08961230107653
-6.173828,60,50.567294,False,False,0.06412238884265385,69.39758544833684
-6.348929,60,54.758499,False,False,0.05660222063022798,85.09886629198444
-6.612339,60,58.109632,False,False,0.005792439127446772,80.77777282515017
-8.646314,60,62.168382,False,True,0.06566564311635774,84.68416395463528
-6.583353,60,65.476763,False,False,0.0324510527231122,73.69744914338663
-6.451345,60,68.796169,False,False,0.058402969700811096,84.48746942676085
-8.161543,60,72.86201,False,True,0.06955089458439923,64.56416835603731
-6.184864,60,76.131871,False,False,0.08131682805530177,89.57014733526034
-6.834728,60,80.326263,False,False,0.005874140813314405,79.76292510967994
-6.123818,60,83.624581,False,False,0.10241624242464116,84.90676727224124
-7.035697,60,87.780077,False,False,0.028867965350404184,86.22718382719636
-6.101015,60,91.101428,False,False,0.07684540850510815,86.78195335573727
-6.128471,60,95.360939,False,False,0.07263931538836635,80.86280098605657
-6.239305,60,98.854181,False,False,0.07817466930213003,74.2296878052756
-8.264816,60,102.906494,False,True,0.07212989727478333,72.63456800064878
-6.370181,60,106.190479,False,False,0.04448776511187276,72.0009006548703
-6.396786,60,110.322958,False,False,0.030454208440230793,88.4421672995787
-6.708665,60,113.60223,False,False,0.020158702749109456,88.93211334856784
-6.438211,60,117.792314,False,False,0.0538263599508371,84.61294923464727
-6.169966,60,121.249849,False,False,0.023845036968803968,82.41562351151995
-8.806081,60,124.460347,False,True,0.016487292903305265,62.96367648151979
-5.935355,60,128.508759,False,False,0.055270054514853964,87.79178467236935
-6.153445,60,131.793991,False,False,0.03826977584284147,80.62848216249243
