#{"t_start": 1785200367.693766, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-22.350746,60,9.148313,False,True,0.07588895344423977,89.95360353012593
-16.584427,60,12.398147,False,True,0.05848354475043331,84.7957693025928
-18.553949,60,16.613993,False,True,0.03259571975462118,83.98544956544634
-13.185546,60,19.921274,False,True,0.0011130909952368796,88.98970384950304
-8.356194,60,24.213633,False,True,0.05893120460270661,78.78957852916658
-9.218832,60,27.736427,False,True,0.019625390000038406,82.70595060117608
-7.204478,60,32.189797,False,False,0.013058214405940384,77.57525193216391
-14.23259,60,35.569968,False,True,0.11077760094187807,87.70901703152418
-7.216948,60,39.737547,False,False,0.007402572496081245,86.58395005550226
-8.042796,60,43.055012,False,True,0.1315535435746562,69.47785174597145
-8.286415,60,47.161829,False,True,0.014691097384289354,75.26179721969542
-8.554778,60,50.560299,False,True,0.03545546314040474,70.3728467684552
-10.093447,60,54.754496,False,True,0.12239638635563463,89.59412472847478
-6.378155,60,58.106636,False,False,0.06146116015112652,87.65491301132458
-7.238196,60,62.162386,False,False,0.0018245898329581085,85.42235253417891
-6.44343,60,65.466768,False,False,0.05322004558572872,82.58537025268224
-6.31663,60,68.793163,False,False,0.08761731610576666,83.32067031117373
-7.131832,60,72.856489,False,False,0.005230862306066633,88.20550893049767
-6.112343,60,76.127868,False,False,0.13364531968670373,89.73860955510845
-6.875222,60,80.323258,False,False,0.014571628021139362,87.31603319511753
-6.084493,60,83.618579,False,False,0.10927913400962652,82.5447539220371
-6.844542,60,87.781079,False,False,0.018957254960622873,77.90180747230004
-6.098912,60,91.094416,False,False,0.03380978172642776,88.53996645024588
-7.26295,60,95.355936,False,False,0.0010375578711916307,88.9149339420786
-8.614066,60,98.843879,False,True,0.028163189482366374,63.059051264378404
-6.375182,60,102.901494,False,False,0.07336440657337552,74.83259778579313
-6.060042,60,106.185475,False,False,0.14314167604242478,88.09812709438614
-6.174518,60,110.327949,False,False,0.07112465775319955,79.37487640361675
-6.457771,60,113.596238,False,False,0.033163835391040564,70.4106360156279
-6.263457,60,117.79031,False,False,0.08513849673466449,82.78351231331715
-6.466008,60,121.244848,False,False,0.016159586126034447,71.8280909342105
-6.518021,60,124.457339,False,False,0.01783541388307653,82.52211015814646
-6.880564,60,128.500763,False,False,0.02322571188248529,86.26181078663018
-6.588666,60,131.78599,False,False,0.033914386953408315,80.87377847176165
-7.089134,60,136.03751,False,False,0.028030381578329783,89.29684511352863
-5.814071,60,139.421065,False,False,0.012571306633519267,77.1641464641402
-6.244433,60,144.006579,False,False,0.010526158271974619,75.31772689683855
-7.000236,60,147.56669,False,False,0.010706267677768187,72.46185201095426
-5.854401,60,151.870371,False,False,0.02007206127283028,72.78248707590652
-6.046722,60,155.312486,False,False,0.06555892734320415,78.24410477867885
