rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/clip_range,train/explained_variance
60.0,512,1,-16.754735375,62,8,,,,,,,,,,
60.0,1024,2,-14.85710375,64,15,-2.4773571342229843,0.1716796875,-0.035487204673700035,0.0003,0.014525579,10,5.877802565693855,1.1822657585144043,0.2,-0.010289669036865234
60.0,1536,3,-12.980999500000001,63,24,-2.4568129271268844,0.081640625,-0.022006588242948055,0.0003,0.01139009,20,1.8579349100589753,0.9043359756469727,0.2,0.013127744197845459
60.0,2048,4,-12.320090375,63,32,-2.4340462505817415,0.0720703125,-0.018195428024046122,0.0003,0.01164644,30,1.118443862348795,0.5155869722366333,0.2,0.06633007526397705
60.0,2560,5,-11.549592475,63,40,-2.4094298452138903,0.098046875,-0.01832058378495276,0.0003,0.015302095,40,0.8183656163513661,0.34982651472091675,0.2,0.10535949468612671
60.0,3072,6,-11.005464083333331,64,47,-2.3773027271032334,0.0875,-0.016869097028393298,0.0003,0.010431606,50,0.6789100650697947,0.13240227103233337,0.2,0.3998570442199707
60.0,3584,7,-10.56870005357143,64,55,-2.3464681625366213,0.076953125,-0.017525799898430706,0.0003,0.012368152,60,0.21102455947548152,-0.03785862773656845,0.2,0.7423142194747925
60.0,4096,8,-9.913090485294116,63,64,-2.3526440143585203,0.1203125,-0.01928623631829396,0.0003,0.01548725,70,0.27263933010399344,-0.10937252640724182,0.2,0.6077618300914764
60.0,4608,9,-9.634619749999999,63,72,-2.3511035799980164,0.0630859375,-0.013097862270660699,0.0003,0.009838732,80,0.07753530354239047,-0.145179882645607,0.2,0.812743529677391
60.0,5120,10,-9.363936773809524,64,79,-2.343077740073204,0.156640625,-0.020930799120105804,0.0003,0.015392845,90,0.13312606122344733,-0.08729252219200134,0.2,0.661972165107727
