#{"t_start": 1785233849.668896, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-8.833313,60,7.181378,False,True,0.05689848751792991,80.60805053880631
-7.607558,60,9.821587,False,True,0.10129680803387979,77.43178143780257
-6.934423,60,13.214561,False,True,0.016491639616495166,82.11855096881342
-7.385606,60,15.801995,False,True,0.012498646353490853,88.02196117397412
-6.702917,60,19.488213,False,True,0.14225449964026962,83.29873234051578
-6.693624,60,22.642773,False,True,0.08588794234679356,80.18238895239845
-7.634645,60,26.010647,False,True,0.021647536116206477,88.69539759883389
-6.804823,60,28.613392,False,True,0.03697823361513283,84.00127723347707
-6.040661,60,31.914248,False,False,0.14650298321771382,86.51420380416464
-7.041259,60,34.861804,False,True,0.08686835290137046,89.18464013660304
-6.878469,60,38.266725,False,False,0.016697756268101188,80.31654984069242
-5.974448,60,41.126698,False,False,0.04431630172059127,77.90044191464573
-6.658842,60,44.510494,False,True,0.057253109902221995,79.42782001600482
-7.104399,60,47.311249,False,True,0.016965935666603316,82.00792923391423
-6.635564,60,50.745753,False,False,0.0617192831478435,83.41961253823474
-6.65284,60,53.440171,False,False,0.03848117484389147,74.40552035285644
-5.682923,60,56.689358,False,False,0.01013939032593341,72.87984096197452
-6.276696,60,60.010364,False,True,0.04647312990332779,89.14031035092937
-6.140831,60,62.768379,False,False,0.07182105792352764,87.63088364522098
-6.738978,60,66.11218,False,False,0.0009323439489952873,83.20453184593505
-5.999768,60,68.848952,False,False,0.07937983858993865,79.18715616793864
-7.106947,60,72.748474,False,False,0.028837492991329747,74.13779479077824
-6.02286,60,75.724234,False,False,0.0645572082690079,88.23833504630036
-5.978829,60,80.22992,False,False,0.05616165694430605,86.92348556539706
-6.261351,60,83.504314,False,False,0.08051777036803301,79.6358784018251
-6.505715,60,86.757438,False,True,0.05863323773535345,89.40251292764454
-6.408192,60,89.620306,False,False,0.04422956178134982,82.40932258779205
-6.390869,60,93.36584,False,False,0.032469996475630876,89.49463941590257
-6.474308,60,97.276064,False,False,0.007203444064916666,88.94291747928166
-6.502994,60,101.025689,False,False,0.06700258021353125,78.8653258751759
-5.934611,60,103.848725,False,False,0.0118592954852335,86.54477554302119
-6.864147,60,106.460248,False,False,0.019145158394230314,82.74009161274996
-6.076649,60,109.977229,False,False,0.0679112083082651,85.16112578950643
-5.690111,60,113.238083,False,False,0.01291142415659691,82.5940702384453
-6.059217,60,118.124889,False,False,0.11186636445292185,79.66146442444241
-5.959459,60,121.010797,False,False,0.017146714217841103,81.89497245232961
-7.445727,60,124.737694,False,False,0.012466369859470253,86.72449317751632
-6.413008,60,127.676099,False,False,0.006813216838336179,82.70820083893064
-5.981505,60,131.314489,False,False,0.0835340981321729,79.45000728077434
-6.382048,60,134.375954,False,False,0.0014379604885689894,84.3993153639865
-6.191131,60,138.012694,False,True,0.0394634111318197,89.15544830942014
-6.748218,60,141.000632,False,False,0.021212359824157936,87.523546213719
-5.512665,60,144.760296,False,False,0.002975183428044459,82.77217564905477
-5.912778,60,147.664335,False,False,0.007761903039993492,87.34433247918537
-5.821335,60,151.189461,False,False,0.009202466292140157,64.35768602379548
-6.204632,60,154.134481,False,False,0.09679998379613824,84.01606731649522
-5.802595,60,157.809351,False,False,0.06498769703834618,63.10847159940734
-6.062525,60,160.766897,False,False,0.08183154722738958,73.85156660014077
-6.652081,60,163.689364,False,False,0.02394837077919852,74.32301321784188
-6.367151,60,167.368221,False,False,0.028078034870766957,76.22489229843187
-7.474409,60,170.224936,False,False,0.01608368314624439,81.82360626903834
-5.932931,60,173.837827,False,False,0.042870319244367155,80.2419079610945
-6.322571,60,176.847096,False,False,0.011707250470783897,88.44576475991084
-5.996227,60,180.371748,False,False,0.07813415297499726,80.95524263524098
-5.859047,60,183.401426,False,False,0.035740215921294845,87.9320638561538
-7.060208,60,187.0456,False,False,0.049407788680018175,89.17188019144916
-6.540375,60,190.060086,False,False,0.047270264470647035,88.45063582780968
-5.877931,60,193.782457,False,False,0.07194058958108773,69.42381780755937
-7.146463,60,196.988559,False,False,0.03801694270302018,82.71626006940313
-6.386949,60,200.737778,False,False,0.014200983897928595,88.31287738488733
-6.320645,60,203.765919,False,False,0.06174732257985421,80.79506958466452
-6.089878,60,207.439095,False,False,0.0415743561763194,84.0975398675614
-6.357881,60,210.366508,False,True,0.052138804086317866,79.26117819983781
-6.862796,60,213.316922,False,False,0.03969230971041295,88.60339132122189
-5.881657,60,216.95331,False,False,0.05345631921670921,89.84865164838064
-7.304866,60,220.027473,False,False,0.016080208354435056,78.65130510633453
-6.213522,60,223.773148,False,False,0.025993954195052342,80.82388503637182
-6.673079,60,226.722593,False,False,0.009285809415212207,82.73676284850991
-6.032362,60,230.346735,False,False,0.11767802371476661,64.09010349834037
-6.468002,60,233.287235,False,False,0.016375063696879764,89.83884396517402
-6.315407,60,236.936532,False,False,0.007935332677261549,88.28644279570078
-6.236241,60,239.923889,False,True,0.04441331230591102,86.81922216543978
-6.614494,60,243.513422,False,False,0.01960079908668852,80.3339753208712
-6.56988,60,246.464542,False,False,0.033370892902281866,82.22521828346174
-6.872177,60,250.275195,False,True,0.019588236277415492,71.81546450204951
-6.484557,60,253.335636,False,False,0.06324528709065065,83.2655231713707
-6.157314,60,257.005199,False,False,0.07847543417774488,84.99577331768447
-6.851807,60,260.102351,False,False,0.005889397700945903,68.13480348103013
-7.354114,60,263.818006,False,False,0.022429242452862028,89.72534485736529
-6.056536,60,267.241218,False,False,0.0026551253237984164,86.61767609121766
-7.145912,60,270.524138,False,False,0.026001244292728706,73.21675392081
-5.821899,60,274.04946,False,False,0.05120998325599818,80.1825799307581
