#{"t_start": 1785233849.6771402, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-7.985972,60,7.178136,False,True,0.11632274397207826,87.33030435090015
-7.601816,60,9.812343,False,True,0.09057197165788143,85.82839917762105
-7.6628,60,13.20731,False,True,0.06094807732033869,89.96301979021132
-7.717347,60,15.786164,False,True,0.0146444426837479,83.4696953597826
-6.143273,60,19.476972,False,False,0.07639002587342764,84.61290929436726
-6.862748,60,22.627416,False,True,0.01162013866585573,89.76231052628226
-7.719167,60,26.002403,False,True,0.0019198822402799161,71.68966007185422
-6.977763,60,28.602103,False,True,0.1065542109994636,80.44730373041277
-7.212729,60,31.910563,False,True,0.03622016299802787,86.1679580499911
-6.560672,60,34.846831,False,True,0.07542819223269887,75.90842436191673
-7.589799,60,38.248395,False,True,0.023619303431254516,82.43730162873842
-7.643631,60,41.114923,False,True,0.018859065566538744,82.95167038379768
-7.568942,60,44.505967,False,True,0.017796394192921262,75.93467284742795
-6.312722,60,47.294979,False,True,0.06062236657286028,79.90787567377221
-6.437899,60,50.734482,False,True,0.11572787127712665,81.73018924578741
-6.838188,60,53.421405,False,True,0.033567135702417844,89.07829619096336
-7.033782,60,56.675114,False,False,0.016842276480254038,85.4208441467893
-6.710965,60,60.001122,False,True,0.06047703034560364,80.3397868083488
-6.941198,60,62.761132,False,True,0.029690635361892998,76.76352993548832
-6.430209,60,66.098941,False,False,0.03217880792272824,84.75510543880512
-6.35979,60,68.839727,False,True,0.06787689103194992,87.01409021231468
-6.082955,60,72.736236,False,False,0.022723159215185265,75.37172474202742
-6.381648,60,75.718317,False,False,0.05200292929869631,81.67456936488125
-6.245214,60,80.219577,False,False,0.018039073821708863,83.32467351283766
-7.086524,60,83.501628,False,False,0.01065375072864795,76.9044309434261
-6.062503,60,86.750196,False,False,0.04059667545419332,89.0666029199304
-6.560621,60,89.608523,False,False,0.012481771380402247,73.10628966166391
-6.906425,60,93.359645,False,True,0.018245631646048657,87.9695001392443
-6.455866,60,97.266073,False,False,0.011646000166585308,89.23328860230995
-7.451442,60,101.015453,False,False,0.00800257315430488,88.61799151826213
-6.055162,60,103.845472,False,False,0.05539978610221433,75.79051883084071
-6.11401,60,106.450995,False,False,0.06381465042609022,88.18620632717013
-6.474744,60,109.971973,False,True,0.005827213285049374,70.58143701981912
-7.100624,60,113.229839,False,False,0.02821343282034108,82.02282307179857
-5.985879,60,118.118652,False,False,0.0701698379267217,83.27900691423676
-5.788153,60,120.997016,False,False,0.0026560207663032624,81.2294712468473
-7.557082,60,124.730447,False,False,0.03145297972501832,88.56922139013956
-7.137468,60,127.661846,False,False,0.04056527245844624,73.62984476105447
-5.843324,60,131.307758,False,False,0.06555162694297584,89.69233957292421
-7.225536,60,134.367709,False,False,0.020745239957919787,84.24954437010253
-6.28744,60,138.009499,False,True,0.06571345810958672,62.96233256743321
-5.998148,60,140.993398,False,False,0.04526691062927283,82.29751318458723
-5.874909,60,144.75306,False,True,0.000767507645420034,87.04157362142955
-6.465907,60,147.662632,False,False,0.04324214533100777,84.37139133361416
-6.800055,60,151.188213,False,False,0.04571627805978873,81.98809781328117
-6.16987,60,154.115661,False,False,0.05641720359879523,87.43156684461444
-6.772979,60,157.799107,False,True,0.051268613779161774,83.52112932223811
-6.489158,60,160.758653,False,False,0.08324373035873314,85.19384017414947
