time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/learning_rate,train/loss,train/clip_fraction
1,6,-8.042235375,75,60.0,512,,,,,,,,,,
2,12,-7.8664115,79,60.0,1024,0.9880500309169292,-0.021022837318014354,-0.15800249576568604,0.2,-2.476671093702316,0.017085973,10,0.0003,0.0106734037399292,0.1521484375
3,20,-7.550704333333333,76,60.0,1536,0.3510186319239438,-0.018390167120378463,0.198480486869812,0.2,-2.458548843860626,0.011510135,20,0.0003,-0.09032074362039566,0.0822265625
4,26,-7.49193971875,78,60.0,2048,0.10508594876155257,-0.01563967439578846,-0.36366701126098633,0.2,-2.445549502968788,0.009468718,30,0.0003,-0.12707604467868805,0.103515625
5,32,-7.364249599999999,77,60.0,2560,0.0794090804643929,-0.020205722330138086,-0.4622375965118408,0.2,-2.4215964883565904,0.012718104,40,0.0003,-0.13622812926769257,0.113671875
6,39,-7.279766083333333,78,60.0,3072,0.07020285776816308,-0.01621081620105542,0.051010310649871826,0.2,-2.4074674636125564,0.012078665,50,0.0003,-0.13127386569976807,0.0947265625
7,45,-7.206186928571428,78,60.0,3584,0.05320394712034613,-0.013527654577046633,0.4082871675491333,0.2,-2.389908108115196,0.01145502,60,0.0003,-0.15020698308944702,0.087890625
8,53,-7.090918764705883,76,60.0,4096,0.028225799766369165,-0.019721771427430212,0.7333365082740784,0.2,-2.3788258641958238,0.012789882,70,0.0003,-0.11132770776748657,0.1201171875
9,59,-7.032212500000001,77,60.0,4608,0.0141832540219184,-0.021509108890313655,0.8573557883501053,0.2,-2.327256551384926,0.0126000615,80,0.0003,-0.1421501487493515,0.1412109375
10,66,-6.99029605952381,77,60.0,5120,0.012630398536566645,-0.028369626100175082,0.9121633619070053,0.2,-2.26564202606678,0.014068084,90,0.0003,-0.11688153445720673,0.1982421875
11,73,-6.955009315217393,76,60.0,5632,0.015392493759281933,-0.014838146476540715,0.8935895040631294,0.2,-2.2732611387968062,0.009961924,100,0.0003,-0.14118503034114838,0.0775390625
12,81,-6.932661150000001,75,60.0,6144,0.014753420313354582,-0.021427101775771007,0.8763981312513351,0.2,-2.2638616234064104,0.011304082,110,0.0003,-0.16169749200344086,0.1388671875
13,87,-6.80348976,75,60.0,6656,0.018565201328601687,-0.019662381056696175,0.8548358231782913,0.2,-2.2921915531158445,0.014094228,120,0.0003,-0.1552458256483078,0.121484375
14,95,-6.709129889999999,74,60.0,7168,0.007688184716971591,-0.012428964104037732,0.9385322518646717,0.2,-2.2729219496250153,0.010267302,130,0.0003,-0.11429643630981445,0.07578125
15,103,-6.61799439,74,60.0,7680,0.008351428154855966,-0.017754417355172337,0.9300255924463272,0.2,-2.2557078182697294,0.014703877,140,0.0003,-0.11523044109344482,0.1623046875
16,110,-6.579299,73,60.0,8192,0.008602753927698359,-0.017520070599857718,0.897312268614769,0.2,-2.226582166552544,0.012905698,150,0.0003,-0.11486209183931351,0.111328125
17,118,-6.510236289999999,73,60.0,8704,0.012837172811850905,-0.01015493250451982,0.8551594913005829,0.2,-2.1907473623752596,0.008405002,160,0.0003,-0.114971823990345,0.050390625
18,125,-6.506169749999999,73,60.0,9216,0.009731750102946534,-0.01763731107930653,0.8759569153189659,0.2,-2.1486592918634413,0.0135993995,170,0.0003,-0.121540866792202,0.14921875
19,132,-6.459990700000002,73,60.0,9728,0.030981997912749647,-0.006850175862200558,0.6330140829086304,0.2,-2.149169224500656,0.0067543373,180,0.0003,-0.11755292862653732,0.044921875
20,139,-6.4492509799999995,73,60.0,10240,0.012987062963657082,-0.019871812727069484,0.8472544699907303,0.2,-2.069448286294937,0.012270855,190,0.0003,-0.1309671252965927,0.146875
21,145,-6.41780201,73,60.0,10752,0.012787453213240952,-0.011189805821049958,0.800770029425621,0.2,-2.0891631513834,0.010864526,200,0.0003,-0.11691822856664658,0.114453125
22,152,-6.390147529999998,73,60.0,11264,0.01861846199026331,-0.01409811944467947,0.7925294488668442,0.2,-2.08649263381958,0.0106407795,210,0.0003,-0.11915633082389832,0.0966796875
23,160,-6.359367529999999,73,60.0,11776,0.011338051233906299,-0.016895512642804533,0.8658779114484787,0.2,-2.1035108983516695,0.0122361425,220,0.0003,-0.11524681746959686,0.112109375
24,167,-6.348274340000001,73,60.0,12288,0.014323116093873978,-0.020464407466351985,0.8415735810995102,0.2,-2.0930126518011094,0.013073694,230,0.0003,-0.13126127421855927,0.158203125
25,174,-6.334139480000001,73,60.0,12800,0.01483586915419437,-0.0082807379309088,0.837795689702034,0.2,-2.0886549919843675,0.011109855,240,0.0003,-0.1282702386379242,0.0830078125
26,181,-6.33269357,73,60.0,13312,0.010204184398753568,-0.015842036658432333,0.8695796579122543,0.2,-2.0824717342853547,0.011955459,250,0.0003,-0.11418167501688004,0.128125
27,188,-6.347585510000003,73,60.0,13824,0.028936779103241862,-0.024385913123842327,0.5467739999294281,0.2,-2.02796563655138,0.014687027,260,0.0003,-0.11686339229345322,0.15703125
28,195,-6.35286692,73,60.0,14336,0.02233373656636104,-0.011853000073460861,0.7020390927791595,0.2,-2.0310153305530547,0.013434529,270,0.0003,-0.11320720613002777,0.086328125
29,202,-6.378124620000002,73,60.0,14848,0.008637894567800685,-0.014362901996355504,0.8916446268558502,0.2,-2.0668074190616608,0.011505235,280,0.0003,-0.11360395699739456,0.1232421875
30,210,-6.370047479999999,73,60.0,15360,0.022894334245938806,-0.011333729594480247,0.7637965232133865,0.2,-2.0921423107385637,0.013960178,290,0.0003,-0.11118219792842865,0.103125
31,217,-6.379726799999999,73,60.0,15872,0.019790820323396473,-0.014972451620269566,0.8155810534954071,0.2,-2.1393578857183457,0.011811638,300,0.0003,-0.14747343957424164,0.084765625
32,223,-6.443877229999999,73,60.0,16384,0.01649233108619228,-0.020539724943228067,0.8291194438934326,0.2,-2.1730380415916444,0.013276295,310,0.0003,-0.12854745984077454,0.135546875
33,230,-6.43061653,73,60.0,16896,0.016536355984862895,-0.01989367646165192,0.8220992982387543,0.2,-2.2213805437088014,0.013792332,320,0.0003,-0.13350699841976166,0.1626953125
34,237,-6.453659159999998,73,60.0,17408,0.00506151350273285,-0.023875701415818185,0.9501918032765388,0.2,-2.2078622341156007,0.012603233,330,0.0003,-0.13258156180381775,0.1634765625
35,244,-6.466609640000001,73,60.0,17920,0.02359091703547165,-0.012915573077043519,0.7934882789850235,0.2,-2.188504645228386,0.011245269,340,0.0003,-0.11955762654542923,0.068359375
36,251,-6.46208176,73,60.0,18432,0.008028193359496071,-0.011629770195577293,0.9052907228469849,0.2,-2.198867765069008,0.011185842,350,0.0003,-0.12286327034235,0.0779296875
37,258,-6.48884514,73,60.0,18944,0.008942311865394004,-0.014437600749079137,0.9067722633481026,0.2,-2.2006373703479767,0.014327899,360,0.0003,-0.12933984398841858,0.1013671875
38,267,-6.474163629999998,72,60.0,19456,0.011110645352164283,-0.016643852554261686,0.9208848848938942,0.2,-2.1748776584863663,0.011569574,370,0.0003,-0.12293606251478195,0.110546875
39,273,-6.46132672,72,60.0,19968,0.010818710626335815,-0.02089549718075432,0.9120288342237473,0.2,-2.1167217046022415,0.011991961,380,0.0003,-0.13239416480064392,0.146875
40,280,-6.490787990000001,73,60.0,20480,0.0071619582595303655,-0.013508767751045526,0.9144874885678291,0.2,-2.07338005900383,0.011311112,390,0.0003,-0.09042853116989136,0.07578125
41,286,-6.524896069999999,73,60.0,20992,0.014231390540953726,-0.01326582303736359,0.8573379367589951,0.2,-2.056520161032677,0.010257108,400,0.0003,-0.10527688264846802,0.097265625
42,292,-6.53605646,73,60.0,21504,0.009687486657639965,-0.01770229245303199,0.9201824814081192,0.2,-2.0982899099588392,0.0143351285,410,0.0003,-0.14091050624847412,0.1318359375
43,299,-6.53456585,73,60.0,22016,0.011505476728780195,-0.02212967537343502,0.8973762392997742,0.2,-2.1139929980039596,0.015185617,420,0.0003,-0.1438024789094925,0.1623046875
44,305,-6.54289023,73,60.0,22528,0.010745631775353103,-0.023593850154429673,0.8812822178006172,0.2,-2.0851980596780777,0.013944462,430,0.0003,-0.15225639939308167,0.130078125
45,312,-6.5769765300000005,73,60.0,23040,0.032000339683145286,-0.01674552755430341,0.8130666166543961,0.2,-2.0289007246494295,0.01371992,440,0.0003,-0.11985747516155243,0.1181640625
46,318,-6.557969760000001,73,60.0,23552,0.013671376515412703,-0.014898107503540814,0.8942885994911194,0.2,-2.092781639099121,0.015152272,450,0.0003,-0.11871625483036041,0.1626953125
47,325,-6.580906100000001,73,60.0,24064,0.01013341656071134,-0.012096532591385767,0.8798121735453606,0.2,-2.12118379175663,0.010557111,460,0.0003,-0.14451108872890472,0.0818359375
48,332,-6.57183296,73,60.0,24576,0.0199790082173422,-0.013124652032274753,0.8344028443098068,0.2,-2.1514703392982484,0.010845736,470,0.0003,-0.14181247353553772,0.0908203125
49,338,-6.59667776,74,60.0,25088,0.009526215156074613,-0.014487504214048385,0.9220592305064201,0.2,-2.1317247271537783,0.010312628,480,0.0003,-0.13522464036941528,0.053515625
50,345,-6.63882347,74,60.0,25600,0.013274805410765112,-0.016905100137228145,0.8837369307875633,0.2,-2.105419638752937,0.012018372,490,0.0003,-0.12066033482551575,0.1033203125
51,351,-6.695960259999998,74,60.0,26112,0.016516344796400517,-0.01897387782810256,0.8863436505198479,0.2,-2.092427358031273,0.012757133,500,0.0003,-0.12034790962934494,0.104296875
52,357,-6.700638920000001,74,60.0,26624,0.01171125898254104,-0.02091917989309877,0.9078019484877586,0.2,-2.104993775486946,0.013940421,510,0.0003,-0.11185353249311447,0.1513671875
53,364,-6.658132070000001,74,60.0,27136,0.006058364850468933,-0.017084881308255716,0.9408254362642765,0.2,-2.1039924770593643,0.007617914,520,0.0003,-0.11937594413757324,0.0873046875
54,371,-6.6477224,74,60.0,27648,0.0057080369530012835,-0.02412117909407243,0.9595042169094086,0.2,-2.136379379034042,0.013998532,530,0.0003,-0.10720430314540863,0.17890625
55,377,-6.642068839999999,74,60.0,28160,0.007652573834639043,-0.018202533246949315,0.9188623502850533,0.2,-2.169254347681999,0.011441046,540,0.0003,-0.1440477818250656,0.1375
56,384,-6.612497879999999,74,60.0,28672,0.015275398042285815,-0.016555152495857327,0.828557088971138,0.2,-2.168550541996956,0.012716098,550,0.0003,-0.11903863400220871,0.0853515625
57,390,-6.619517030000001,74,60.0,29184,0.009376263490412384,-0.02768971958430484,0.9027859568595886,0.2,-2.147269704937935,0.013525317,560,0.0003,-0.16365526616573334,0.15625
58,396,-6.621549770000001,74,60.0,29696,0.015637604414951056,-0.01316129491024185,0.868129551410675,0.2,-2.1208815217018127,0.010239789,570,0.0003,-0.12389042973518372,0.0744140625
59,403,-6.60940053,74,60.0,30208,0.012504150997847319,-0.022814605815801768,0.8877075836062431,0.2,-2.1123242676258087,0.010954496,580,0.0003,-0.14711441099643707,0.1291015625
60,410,-6.607510550000001,74,60.0,30720,0.02116519076516852,-0.019065105455229058,0.8301174342632294,0.2,-2.1104953050613404,0.01213317,590,0.0003,-0.1327957808971405,0.112890625
61,416,-6.588695000000002,74,60.0,31232,0.014004451275104657,-0.01893957499996759,0.8794731050729752,0.2,-2.112950775027275,0.010093191,600,0.0003,-0.15038347244262695,0.1423828125
62,422,-6.557357960000001,75,60.0,31744,0.012730398849816993,-0.01560023018391803,0.9108681380748749,0.2,-2.1451700210571287,0.009263567,610,0.0003,-0.11938558518886566,0.1259765625
63,429,-6.48230498,75,60.0,32256,0.01890317633515224,-0.016150133090559394,0.8019069284200668,0.2,-2.126490241289139,0.012993254,620,0.0003,-0.10492929816246033,0.0998046875
64,435,-6.46654917,75,60.0,32768,0.01097728509339504,-0.030315418972168117,0.8503970354795456,0.2,-2.123454061150551,0.020579614,630,0.0003,-0.16984766721725464,0.20078125
65,441,-6.48882306,75,60.0,33280,0.007646504425792955,-0.021036807919153945,0.9039797335863113,0.2,-2.073650711774826,0.013069272,640,0.0003,-0.11869809776544571,0.1376953125
66,448,-6.518151969999999,75,60.0,33792,0.025614674959797412,-0.016774738242384048,0.7136264741420746,0.2,-2.072652894258499,0.014832438,650,0.0003,-0.11425645649433136,0.15234375
67,454,-6.51835784,75,60.0,34304,0.035198602825403214,-0.01780599293997511,0.7265410125255585,0.2,-2.1294774293899534,0.017165508,660,0.0003,-0.13099485635757446,0.1478515625
68,461,-6.521369839999998,75,60.0,34816,0.018768495332915337,-0.02080716287018731,0.8603629022836685,0.2,-2.140602320432663,0.015204651,670,0.0003,-0.12908369302749634,0.147265625
69,467,-6.511752740000002,75,60.0,35328,0.01807415100047365,-0.010889166849665344,0.8407790660858154,0.2,-2.1293476641178133,0.0068304674,680,0.0003,-0.12630575895309448,0.06171875
70,474,-6.5325362700000005,75,60.0,35840,0.03396071989554912,-0.01991392726195045,0.7638761848211288,0.2,-2.06955449283123,0.011701785,690,0.0003,-0.10627232491970062,0.137109375
71,480,-6.526725580000001,75,60.0,36352,0.03316804196219891,-0.01830260968999937,0.6134925484657288,0.2,-2.070856073498726,0.011650547,700,0.0003,-0.0992080420255661,0.1203125
72,486,-6.512770499999999,75,60.0,36864,0.020508457650430502,-0.017202722653746606,0.8033904582262039,0.2,-2.064736244082451,0.013810891,710,0.0003,-0.10473234951496124,0.1375
73,493,-6.525384900000001,75,60.0,37376,0.020118195621762425,-0.022884819918544963,0.8200524747371674,0.2,-2.0475032955408095,0.012671354,720,0.0003,-0.13121768832206726,0.158984375
74,500,-6.550009790000002,75,60.0,37888,0.023461743153166025,-0.016033430717652664,0.8271632343530655,0.2,-2.031864106655121,0.010369336,730,0.0003,-0.09033025801181793,0.1048828125
75,507,-6.59268781,75,60.0,38400,0.01546263670315966,-0.014760140189900994,0.8744366616010666,0.2,-2.0110514372587205,0.008307027,740,0.0003,-0.10296344757080078,0.07109375
76,513,-6.607372680000001,75,60.0,38912,0.01253196073230356,-0.01598704206990078,0.8952541276812553,0.2,-2.041374239325523,0.008589542,750,0.0003,-0.11474326997995377,0.100390625
77,519,-6.5781645300000005,75,60.0,39424,0.012874431919772177,-0.013879963394720108,0.9120268225669861,0.2,-2.028420662879944,0.008078698,760,0.0003,-0.11095108091831207,0.0724609375
78,525,-6.5225023,75,60.0,39936,0.011502870352705941,-0.02498852708376944,0.8570635765790939,0.2,-1.9840514749288558,0.0109280795,770,0.0003,-0.13488037884235382,0.1208984375
