r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps,d_mm
-9.185972,60,6.15168,False,True,0.1163227439720782,87.33030435090015,60,116.3227439720782
-10.233313,60,6.152679,False,True,0.0568984875179299,80.60805053880631,120,56.8984875179299
-7.868105,60,6.27812,False,True,0.0169191949348984,89.017118630719,180,16.9191949348984
-10.350746,60,6.379125,False,True,0.0758889534442397,89.95360353012593,240,75.88895344423969
-8.601816,60,8.598468,False,True,0.0905719716578814,85.82839917762105,300,90.5719716578814
-8.607558,60,8.598469,False,True,0.1012968080338797,77.43178143780257,360,101.29680803387971
-8.605946,60,8.723909,False,True,0.0030969071537021,81.4206941910041,420,3.0969071537021
-9.084427,60,8.830905,False,True,0.0584835447504333,84.7957693025928,480,58.483544750433296
-8.4628,60,11.826529,False,True,0.0609480773203386,89.96301979021132,540,60.9480773203386
-7.616553,60,11.82952,False,True,0.0158210195115175,79.52009316061822,600,15.8210195115175
-6.741917,60,11.951969,False,True,0.0919247156539719,89.45386236281072,660,91.9247156539719
-9.625203,60,12.059963,False,True,0.0369500712833496,85.18869718355435,720,36.9500712833496
-7.873341,60,14.359628,False,True,0.0170985662618539,84.79166955247125,780,17.0985662618539
-8.115453,60,14.363618,False,True,0.0178766533159437,89.4537789561002,840,17.876653315943702
-9.84787,60,14.488063,False,True,0.0089392069679263,76.4324875233012,900,8.9392069679263
-8.723691,60,14.58807,False,True,0.002507885234631,88.73384928046258,960,2.507885234631
-7.104296,60,17.461274,False,True,0.1431800872594439,83.72795950698091,1020,143.1800872594439
-6.143273,60,17.461334,False,False,0.0763900258734276,84.61290929436726,1080,76.39002587342759
-7.584773,60,17.588771,False,True,0.0385141889663274,77.30809042219158,1140,38.514188966327396
-6.892187,60,17.690765,False,True,0.0609022555236818,83.9030316095463,1200,60.9022555236818
-7.385147,60,19.842895,False,True,0.0153702114063643,83.78553541201113,1260,15.3702114063643
-7.105095,60,19.845884,False,True,0.0871201566402233,86.83371118207373,1320,87.1201566402233
-7.788497,60,19.972322,False,True,0.0559894991651992,72.5609930711533,1380,55.9894991651992
-7.602461,60,20.073327,False,True,0.0158838734179801,85.61507108822879,1440,15.883873417980102
-7.622277,60,22.913502,False,True,0.0023145844338986,71.11955456403612,1500,2.3145844338986
-7.693816,60,22.915499,False,True,0.0250732615510729,88.34442876839188,1560,25.0732615510729
-7.367817,60,23.04094,False,True,0.0818819022093178,68.51028138419635,1620,81.8819022093178
-7.763644,60,23.140948,False,True,0.0136062399232402,86.19400783948164,1680,13.606239923240201
-7.070554,60,25.390888,False,True,0.1055789873494662,77.69635453381332,1740,105.5789873494662
-7.249172,60,25.394895,False,True,0.0411751840760254,83.80644862959875,1800,41.175184076025396
-7.313367,60,25.518325,False,True,0.0192459965383048,89.39586798751887,1860,19.2459965383048
-8.229517,60,25.621341,False,True,0.1105406538955927,84.56814311447111,1920,110.5406538955927
-7.609132,60,28.387722,False,True,0.0362314522959358,85.79189098556141,1980,36.2314522959358
-6.041341,60,28.391709,False,False,0.1472396243132373,87.77511850962543,2040,147.2396243132373
-6.227516,60,28.516156,False,False,0.0484639017547182,83.69364978281084,2100,48.4639017547182
-7.980048,60,28.617161,False,True,0.0180441887943637,89.31823668449965,2160,18.0441887943637
-6.733957,60,30.771353,False,True,0.0704915758968587,78.60802188437519,2220,70.4915758968587
-7.627233,60,30.77335,False,True,0.0853283673096716,82.85376586487973,2280,85.32836730967159
-8.231772,60,30.89879,False,True,0.0083815768194135,89.82911810935902,2340,8.381576819413501
-6.543515,60,30.999795,False,True,0.1278869269010865,78.37040917739056,2400,127.8869269010865
-7.62272,60,33.854306,False,True,0.0184934329513062,88.96768415837914,2460,18.4934329513062
-6.770035,60,33.856303,False,False,0.0114739953691773,83.16042212748272,2520,11.4739953691773
-6.934297,60,33.983741,False,True,0.0484948597755573,74.43232808071339,2580,48.4948597755573
-6.714374,60,34.084746,False,True,0.0106113924465747,85.4978128825078,2640,10.6113924465747
-7.747055,60,36.980086,False,True,0.0146201249249959,83.80265568850345,2700,14.620124924995899
-6.088844,60,36.982083,False,False,0.053392548312432,76.03253114580694,2760,53.392548312432005
-6.297582,60,37.101537,False,False,0.0972557223170106,81.85649373732667,2820,97.2557223170106
-7.034372,60,37.207531,False,True,0.0334480745556747,76.58070807863027,2880,33.4480745556747
-7.980849,60,41.8894,False,True,0.0172016124035012,80.97918556534165,2940,17.201612403501198
-6.321137,60,41.892399,False,False,0.0533929937700311,84.85586754675906,3000,53.392993770031104
-6.616023,60,42.016837,False,True,0.1437253424921742,73.07165685786343,3060,143.7253424921742
-7.105524,60,42.117842,False,True,0.1287940514322583,85.10930267503002,3120,128.7940514322583
-6.670263,60,45.602799,False,True,0.0793664389782116,81.01630091962458,3180,79.3664389782116
-6.778442,60,45.607791,False,False,0.0100133392835171,86.76904855887462,3240,10.0133392835171
-6.713785,60,45.735231,False,False,0.0296378045062298,83.30356314320522,3300,29.637804506229802
-6.417082,60,45.834236,False,False,0.0670307735276499,75.429392476416,3360,67.0307735276499
-6.147356,60,50.436472,False,False,0.1197302464450185,72.5943487202482,3420,119.73024644501851
-7.095034,60,50.438469,False,True,0.0540534939859222,89.81362281155154,3480,54.0534939859222
-6.313323,60,50.562146,False,False,0.0874652449408431,85.47441553035227,3540,87.46524494084309
-7.34964,60,50.666937,False,False,0.0057516593661405,89.26633898386065,3600,5.7516593661405
-6.534785,60,54.149817,False,False,0.0345610135066028,85.27084835123362,3660,34.561013506602805
-6.612985,60,54.152814,False,False,0.0338861480368398,75.46278558169281,3720,33.8861480368398
-6.625383,60,54.297818,False,True,0.1198209136467921,87.1895608974586,3780,119.82091364679209
-6.760244,60,54.380256,False,True,0.0350598454559847,87.96950793907922,3840,35.0598454559847
-6.942559,60,57.727918,False,False,0.0139983010270402,82.90159173976292,3900,13.998301027040199
-6.367195,60,57.729915,False,False,0.0512309068596444,73.20928765298503,3960,51.2309068596444
-6.438099,60,57.853363,False,False,0.0808235939083082,76.66552624427136,4020,80.82359390830821
-6.332922,60,57.955363,False,False,0.0911937182020886,79.55596446525017,4080,91.1937182020886
-6.917642,60,61.950133,False,True,0.0601785335857698,79.41201677534887,4140,60.1785335857698
-6.623357,60,61.95213,False,True,0.0605065303486411,83.20887093579042,4200,60.5065303486411
-6.876736,60,62.080568,False,False,0.0227601981368312,75.93361025418334,4260,22.760198136831203
-7.035293,60,62.181573,False,False,0.0023694387061378,76.73958905392334,4320,2.3694387061378
-7.278682,60,65.674875,False,True,0.0384310960232683,73.34094782209334,4380,38.4310960232683
-6.194929,60,65.677871,False,False,0.0827368959200735,89.73828205199794,4440,82.7368959200735
-6.656808,60,65.804307,False,False,0.0434494739881291,83.10075833318263,4500,43.4494739881291
-6.107549,60,65.903317,False,False,0.1332853111768045,86.2371838779097,4560,133.2853111768045
-6.909218,60,70.454678,False,False,0.0084297066970495,83.15899357915559,4620,8.4297066970495
-6.547118,60,70.458683,False,False,0.0300242476414175,82.85014180733624,4680,30.0242476414175
-6.996227,60,70.58512,False,True,0.0593893325688592,84.088713389393,4740,59.389332568859196
-6.803944,60,70.68312,False,False,0.0098730209646657,85.05837082884452,4800,9.873020964665699
-6.655194,60,74.067342,False,True,0.083061053960091,84.09481305397344,4860,83.061053960091
-6.063937,60,74.069339,False,False,0.0927170373046908,76.33435599814061,4920,92.7170373046908
-7.20951,60,74.190585,False,False,0.0072447257686304,81.14425912196849,4980,7.2447257686304
-6.080118,60,74.29379,False,False,0.1114264985169709,78.75386656892907,5040,111.4264985169709
-6.047404,60,78.638176,False,False,0.0218823417827906,64.24010064045417,5100,21.8823417827906
-6.901753,60,78.639177,False,False,0.026979605133485,74.14050046790283,5160,26.979605133485002
