#{"t_start": 1785228582.987862, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-10.233313,60,6.152679,False,True,0.05689848751792991,80.60805053880631
-8.607558,60,8.598469,False,True,0.10129680803387979,77.43178143780257
-7.616553,60,11.82952,False,True,0.01582101951151753,79.52009316061822
-8.115453,60,14.363618,False,True,0.017876653315943708,89.4537789561002
-7.104296,60,17.461274,False,True,0.14318008725944395,83.72795950698091
-7.105095,60,19.845884,False,True,0.08712015664022335,86.83371118207373
-7.693816,60,22.915499,False,True,0.025073261551072944,88.34442876839188
-7.249172,60,25.394895,False,True,0.04117518407602543,83.80644862959875
-6.041341,60,28.391709,False,False,0.14723962431323737,87.77511850962543
-7.627233,60,30.77335,False,True,0.08532836730967162,82.85376586487973
-6.770035,60,33.856303,False,False,0.011473995369177382,83.16042212748272
-6.088844,60,36.982083,False,False,0.05339254831243202,76.03253114580694
-6.321137,60,41.892399,False,False,0.05339299377003111,84.85586754675906
-6.778442,60,45.607791,False,False,0.010013339283517119,86.76904855887462
-7.095034,60,50.438469,False,True,0.054053493985922255,89.81362281155154
-6.612985,60,54.152814,False,False,0.03388614803683983,75.46278558169281
-6.367195,60,57.729915,False,False,0.051230906859644466,73.20928765298503
-6.623357,60,61.95213,False,True,0.060506530348641105,83.20887093579042
-6.194929,60,65.677871,False,False,0.0827368959200735,89.73828205199794
-6.909218,60,70.454678,False,False,0.008429706697049559,83.15899357915559
-6.063937,60,74.069339,False,False,0.09271703730469087,76.33435599814061
-6.901753,60,78.639177,False,False,0.02697960513348502,74.14050046790283
-6.110799,60,81.834496,False,False,0.07763913401052766,85.81813687766837
-6.074791,60,86.214138,False,False,0.0657290429745167,80.84391094966789
-6.261697,60,89.392685,False,False,0.08411915292816495,63.06269099479286
-6.71167,60,93.341167,False,True,0.061054852996622645,85.48262998451507
-6.398404,60,96.551221,False,False,0.04427717900017243,85.78288483939542
-6.379455,60,100.549811,False,False,0.03067100047388699,83.23694092574853
-6.344546,60,103.757338,False,False,0.0014899768689609575,76.15720536832842
-6.463861,60,107.635826,False,False,0.07002586116924915,74.84922784764477
-5.753872,60,110.862115,False,False,0.0028667903785658047,77.59872902250115
-7.382649,60,113.861565,False,True,0.019294831782784728,89.72935300517064
-5.885288,60,117.74505,False,False,0.051646929278105894,75.42366461266266
-5.937841,60,120.931769,False,False,0.021953904632895625,85.50491268513616
-6.036801,60,124.987448,False,False,0.1057015013645056,76.66705861774896
-5.931753,60,128.097019,False,False,0.017146714217841103,65.02739772108536
-7.425169,60,132.025415,False,False,0.012443697422914863,79.27091275327737
-6.448664,60,135.169972,False,False,0.007020702519118733,75.7371407189047
-6.01298,60,139.119534,False,False,0.08837593274714495,83.61847945805975
-6.764115,60,142.301364,False,False,0.011771181777907008,83.73472620787427
-6.303356,60,146.251047,False,True,0.033042807550936686,85.82514260812074
-6.74645,60,149.310625,False,False,0.02116363253466497,83.03031326809435
-5.550385,60,153.236957,False,False,0.0027770391755150333,80.77330410679751
-6.144941,60,156.338069,False,False,0.013799983076483838,87.4318287227536
-5.916266,60,160.249074,False,False,0.009202979767618568,77.01155560643299
-6.108599,60,163.315898,False,False,0.07782499275509507,83.80519906994014
-5.498242,60,167.203387,False,False,0.03437921525511322,81.22505397632456
-6.085028,60,170.329981,False,False,0.07924548799533963,83.88371733243798
-6.425455,60,173.495611,False,False,0.016007002984501528,73.11162380036187
-6.38539,60,177.429589,False,False,0.027921322322075243,78.39307200236443
-7.412335,60,180.525854,False,False,0.009716002927932737,85.57000812706573
-5.8649,60,184.527067,False,False,0.03905003578810272,79.22348519201287
-6.479074,60,187.715179,False,False,0.01870588514013139,80.8397163830416
-5.871161,60,191.876028,False,False,0.06317662517154966,88.88937480074169
-6.017766,60,194.941236,False,False,0.050392904764839444,89.86580498941291
-7.012182,60,198.771944,False,False,0.041754570397148895,86.4836566627997
-6.433293,60,201.92735,False,False,0.03941937454623851,80.43726007960919
-5.945493,60,205.947879,False,False,0.08323968722307085,78.01260750478309
-7.163634,60,208.997941,False,False,0.03811562868541523,78.12665068059933
-6.19056,60,212.953506,False,False,0.004710483420913066,88.73373687874512
-6.358356,60,216.081978,False,False,0.06990912631369839,80.32619280756575
-6.093672,60,220.011017,False,False,0.04436949088799651,84.80707288163575
-6.194154,60,223.103392,False,True,0.02666288871650838,83.81150826806484
-6.836558,60,226.124423,False,False,0.03971329751847456,86.36486735211108
-5.895359,60,229.990928,False,False,0.041256783896215565,81.8414498800273
-7.578595,60,233.127876,False,False,0.0333748431305056,88.44449952117729
-6.386606,60,237.041375,False,False,0.038846075680008335,72.46074106989177
-7.431626,60,240.190922,False,False,0.04470855751706512,89.35764248630933
-6.015339,60,244.518988,False,False,0.10604720501474375,79.54889888635546
-6.053918,60,248.362505,False,False,0.0006937255733072368,84.97688607222862
-6.131176,60,252.643507,False,False,0.004083097614490581,69.6977409172713
-6.332195,60,256.251923,False,True,0.03746510994803503,81.04393756620644
-6.699372,60,261.250115,False,False,0.026510435615930708,72.44257860300701
-6.565408,60,265.008807,False,False,0.03225083712685631,89.55658389245859
-6.597428,60,269.564004,False,False,0.019496086981713165,77.23640397989472
-6.475434,60,272.815352,False,False,0.06342032694149832,80.41996964256523
-6.232662,60,276.721542,False,False,0.08967127174860823,85.09191272782309
-6.673566,60,280.001381,False,False,0.0014595400479129952,77.1300653183177
-7.368785,60,283.93275,False,False,0.020234035611942217,76.83315810633773
-6.126456,60,287.092794,False,False,0.0027520737763011595,76.84134027444459
-7.357949,60,290.210955,False,False,0.039403585472127606,70.6705472313169
-5.814531,60,294.139532,False,False,0.056215280065056196,55.73301586938674
-7.01495,60,297.493306,False,False,0.03682297850297597,70.5421728574278
-6.590577,60,301.628138,False,False,0.00406472368692699,65.10030076040943
-5.945355,60,304.727376,False,False,0.09778822865689613,65.04301290453911
-7.189099,60,309.025089,False,False,0.014292265471978075,63.96335445612063
-7.02099,60,312.317881,False,False,0.03195824559169679,65.85660325408887
-6.762879,60,317.049515,False,False,0.042203960640890624,70.25595230036375
-6.875966,60,320.390899,False,False,0.00873673823295459,66.71680980421547
-6.443396,60,324.612284,False,False,0.041636486637137225,69.02522215234788
-7.502381,60,327.906905,False,False,0.041013198715255515,55.07694632546154
-6.888988,60,331.80598,False,False,0.0003375883073888971,54.26214601051216
-6.488022,60,334.981769,False,False,0.043035475632740676,67.93849471839313
-7.135531,60,338.86439,False,False,0.0015305136769252665,70.43075892116278
-7.222301,60,341.94629,False,False,0.01617504577072918,62.66919940033649
-6.313888,60,344.975286,False,False,0.03824231016880425,47.36312926523404
-7.693057,60,348.862424,False,False,0.02540397006808963,71.78045082010702
-6.092786,60,351.994863,False,False,0.0547628704813218,64.01667997196355
-6.205178,60,356.041884,False,False,0.07850684546924835,66.41399923070945
-6.021498,60,359.139807,False,False,0.07407184170091767,71.93299592145277
-5.984159,60,363.002841,False,False,0.04996225050083796,42.1986814880078
-6.207952,60,366.145094,False,False,0.03552101959118797,58.52272110371446
-6.24154,60,370.154385,False,False,0.02070337491178585,63.69059583047422
-5.945806,60,373.212554,False,False,0.09419343072387229,54.15375659335585
-6.048708,60,377.113559,False,False,0.04201887039209502,45.63815456159564
-6.093087,60,380.292592,False,False,0.09642527788471049,66.01279046248186
-7.32651,60,384.339076,False,False,0.012013351412196012,62.6814338952881
-6.81058,60,387.481751,False,False,0.010351442433604167,44.172790969455946
-7.445449,60,391.391404,False,False,0.025793117943811145,35.206001181391834
-6.088928,60,394.529384,False,False,0.0174833572096806,35.18274511849778
-6.656399,60,398.414168,False,True,0.04029913044619297,34.717550327721305
-5.974681,60,401.527555,False,False,0.09456366377912022,57.587358167065
-6.244936,60,404.698721,False,False,0.03357026439494407,29.244695867768968
-5.87188,60,408.558208,False,False,0.07789307312222599,47.38747889053145
-5.971646,60,411.67132,False,False,0.07866212648572646,49.80968420000228
-6.302519,60,415.752567,False,False,0.01731585436918725,44.79741206721693
-6.144012,60,418.819492,False,False,0.08984679384567743,85.76328805269203
-6.967856,60,422.696205,False,False,0.002988836442161677,54.61962529550976
-6.382556,60,425.83772,False,False,0.0040598279233663055,49.64913068211227
-6.233501,60,429.721336,False,False,0.026582510826869032,32.42042263445538
-6.167005,60,432.807954,False,False,0.05251476547199619,52.84073406676596
-6.228173,60,436.651209,False,False,0.04761312080721714,66.04169934555578
-6.229699,60,439.802105,False,False,0.06934741545235575,72.77816954586477
-5.826617,60,443.741426,False,False,0.05702545102538174,58.29986730083524
-6.141762,60,446.920554,False,False,0.07067152883474251,62.85207511148152
-6.50253,60,450.806028,False,False,0.015381615598366049,59.355246561760794
-6.206267,60,453.858728,False,False,0.026042355634742553,69.28641441864045
-6.10608,60,456.952266,False,False,0.06547013088701947,62.69025737955081
-6.45427,60,460.825583,False,False,0.035547207328554146,80.63934064763315
-7.56445,60,463.912451,False,False,0.02921555858707526,73.72497292727569
-7.664187,60,467.820803,False,False,0.04730165317937798,57.41557971790277
-6.025316,60,470.911162,False,False,0.048244239090729904,55.87639476002462
-6.095692,60,474.883554,False,False,0.027469358587324036,60.1226976709874
-6.602399,60,478.047807,False,False,0.006548911039561511,62.64053525946405
-6.288134,60,481.89237,False,False,0.034770468360447296,77.70964641316633
-6.13222,60,485.647596,False,False,0.059305632461527105,83.17017896160714
-6.353454,60,490.167964,False,False,0.051020296957981735,42.965954887600844
-7.454725,60,493.293744,False,False,0.03203437643080856,70.62396969165137
-6.369799,60,497.138176,False,False,0.012501445960423598,61.01617284857686
-7.529499,60,500.261072,False,False,0.022006310996125704,59.80397792067342
-6.995278,60,504.154223,False,False,0.03794436332055232,52.04925675489793
-7.040551,60,507.277338,False,False,0.005641487646956857,53.68387548618611
-6.566154,60,511.781606,False,False,0.0482068983536674,71.72531455467555
-7.030298,60,515.14788,False,False,0.029048660096058023,55.37832676666199
-5.637551,60,518.243109,False,False,0.018485671013686547,36.76513896109345
-6.71184,60,522.293687,False,False,0.03468025859831147,70.47742765602035
-7.530546,60,525.570952,False,False,0.026493878775308535,48.08709235001281
-6.920331,60,529.663901,False,False,0.04269883170189749,46.40897388982461
-6.363662,60,532.933592,False,False,0.016266221464091277,58.785897856571395
-6.513026,60,537.095524,False,False,0.001171473297342008,35.92067793267692
-6.124903,60,540.446479,False,False,0.06720691245471995,60.74126838435576
-6.338198,60,544.565777,False,False,0.03592212955454441,35.225314933895625
-6.731118,60,549.223551,False,False,0.03543436809050953,37.435601976302245
-7.509703,60,555.010274,False,False,0.026720550090035683,58.43359546424761
-6.77029,60,558.443026,False,False,0.04558524695226567,49.49366117827828
