#{"t_start": 1785228582.9898586, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
-9.185972,60,6.15168,False,True,0.11632274397207826,87.33030435090015
-8.601816,60,8.598468,False,True,0.09057197165788143,85.82839917762105
-8.4628,60,11.826529,False,True,0.06094807732033869,89.96301979021132
-7.873341,60,14.359628,False,True,0.01709856626185394,84.79166955247125
-6.143273,60,17.461334,False,False,0.07639002587342764,84.61290929436726
-7.385147,60,19.842895,False,True,0.015370211406364357,83.78553541201113
-7.622277,60,22.913502,False,True,0.0023145844338986867,71.11955456403612
-7.070554,60,25.390888,False,True,0.10557898734946622,77.69635453381332
-7.609132,60,28.387722,False,True,0.036231452295935815,85.79189098556141
-6.733957,60,30.771353,False,True,0.07049157589685874,78.60802188437519
-7.62272,60,33.854306,False,True,0.018493432951306215,88.96768415837914
-7.747055,60,36.980086,False,True,0.01462012492499596,83.80265568850345
-7.980849,60,41.8894,False,True,0.017201612403501224,80.97918556534165
-6.670263,60,45.602799,False,True,0.07936643897821165,81.01630091962458
-6.147356,60,50.436472,False,False,0.11973024644501856,72.5943487202482
-6.534785,60,54.149817,False,False,0.03456101350660286,85.27084835123362
-6.942559,60,57.727918,False,False,0.013998301027040264,82.90159173976292
-6.917642,60,61.950133,False,True,0.06017853358576983,79.41201677534887
-7.278682,60,65.674875,False,True,0.03843109602326836,73.34094782209334
-6.547118,60,70.458683,False,False,0.030024247641417538,82.85014180733624
-6.655194,60,74.067342,False,True,0.08306105396009102,84.09481305397344
-6.047404,60,78.638176,False,False,0.02188234178279068,64.24010064045417
-6.428405,60,81.837514,False,False,0.057155049077954004,85.49883110567384
-6.271136,60,86.217166,False,False,0.021631667538715413,80.60341336102377
-6.888802,60,89.400686,False,False,0.00426537750800967,86.81960096000084
-5.986248,60,93.33917,False,False,0.03627009576009025,86.1779284506271
-6.449887,60,96.553225,False,False,0.008452775206250672,80.90872059409116
-6.640484,60,100.553817,False,True,0.0010721067869646737,85.04339522316634
-6.457579,60,103.753341,False,False,0.011379198624170533,88.04625774177046
-7.176199,60,107.634829,False,False,0.0016904218743336447,79.01466096037059
-5.965886,60,110.857125,False,False,0.051165265045576266,67.19126050475079
