time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/loss
1,87,60.0,512,5,-9.067235375,,,,,,,,,,
2,86,60.0,1024,11,-8.7215444375,0.0003,-0.025841307337395848,0.014659986,1.2070368636399507,10,-2.4772562593221665,0.2,0.1728515625,-0.13705956935882568,0.06570135056972504
3,87,60.0,1536,17,-8.214601666666665,0.0003,-0.01744430778780952,0.010220893,0.4337733298540115,20,-2.459436002373695,0.2,0.0728515625,0.041548073291778564,-0.04368503391742706
4,88,60.0,2048,23,-8.045643875,0.0003,-0.01665529969613999,0.011117984,0.13477747137658297,30,-2.440193259716034,0.2,0.10859375,-0.3909015655517578,-0.08673318475484848
5,88,60.0,2560,28,-7.8613779500000005,0.0003,-0.019008541014045477,0.01258727,0.10286652590148151,40,-2.414038634300232,0.2,0.1056640625,-0.1348555088043213,-0.09562632441520691
6,84,60.0,3072,36,-7.701341604166667,0.0003,-0.020599868427962065,0.012898756,0.09543487490154803,50,-2.3917536556720735,0.2,0.1126953125,0.16284549236297607,-0.09650258719921112
7,78,60.0,3584,45,-7.576205392857143,0.0003,-0.016309893620200456,0.011594132,0.050409665517508986,60,-2.377505487203598,0.2,0.090625,0.5408215522766113,-0.11184386909008026
8,74,60.0,4096,55,-7.408632750000001,0.0003,-0.019405968952924013,0.01009047,0.024814356851857157,70,-2.3608436793088914,0.2,0.1068359375,0.7987902015447617,-0.09966697543859482
9,72,60.0,4608,63,-7.3352371447368405,0.0003,-0.018433553632348776,0.012307437,0.010813501878874376,80,-2.319432961940765,0.2,0.1037109375,0.9220941737294197,-0.13856948912143707
10,70,60.0,5120,72,-7.270753440476191,0.0003,-0.02262025554664433,0.01602614,0.014861298346659169,90,-2.3025658279657364,0.2,0.172265625,0.904353640973568,-0.11489414423704147
11,69,60.0,5632,80,-7.209746326086957,0.0003,-0.016227753122802824,0.013072731,0.01783101287437603,100,-2.313669118285179,0.2,0.1033203125,0.8845803812146187,-0.140191450715065
12,69,60.0,6144,87,-7.17050373,0.0003,-0.026943154202308507,0.016587619,0.013217049872037024,110,-2.293737256526947,0.2,0.1943359375,0.8927895799279213,-0.14433690905570984
13,69,60.0,6656,95,-6.96197782,0.0003,-0.01789441319415346,0.010303923,0.028640369558706878,120,-2.29468215405941,0.2,0.090625,0.8214545994997025,-0.15362104773521423
14,69,60.0,7168,102,-6.80971011,0.0003,-0.011615171161247417,0.010277104,0.010428355616750196,130,-2.2664360970258715,0.2,0.0833984375,0.9167957827448845,-0.10115475207567215
15,69,60.0,7680,111,-6.692524529999999,0.0003,-0.01839903013315052,0.013441188,0.011859832855407149,140,-2.2517986595630646,0.2,0.136328125,0.9087399318814278,-0.1509224772453308
16,69,60.0,8192,118,-6.62857926,0.0003,-0.013870673161000014,0.010515392,0.014615598740056157,150,-2.2164457350969315,0.2,0.1056640625,0.8693219572305679,-0.10938463360071182
17,69,60.0,8704,125,-6.54567907,0.0003,-0.01344838688382879,0.012182685,0.014998801634646952,160,-2.19869704246521,0.2,0.09921875,0.8389272838830948,-0.13353659212589264
18,69,60.0,9216,133,-6.538216840000001,0.0003,-0.014529191091423855,0.010297088,0.017653637542389335,170,-2.1817166090011595,0.2,0.1013671875,0.8206120580434799,-0.11368546634912491
19,69,60.0,9728,140,-6.496173529999998,0.0003,-0.013287613936699926,0.010846825,0.03387591429054737,180,-2.1413416624069215,0.2,0.0728515625,0.5722574591636658,-0.10527347028255463
20,69,60.0,10240,148,-6.479607510000001,0.0003,-0.01994245951063931,0.014689684,0.02128175173420459,190,-2.068071272969246,0.2,0.130859375,0.791019544005394,-0.13719014823436737
21,69,60.0,10752,155,-6.43561354,0.0003,-0.019006063288543373,0.016201317,0.008535598620073869,200,-1.959867224097252,0.2,0.13984375,0.8822804465889931,-0.13317713141441345
22,69,60.0,11264,162,-6.401814719999999,0.0003,-0.010530266945715993,0.010889372,0.020768656011205165,210,-2.0066153675317766,0.2,0.1244140625,0.7841714769601822,-0.12297999113798141
23,68,60.0,11776,170,-6.3664943,0.0003,-0.008604760450543836,0.011819351,0.016195023595355452,220,-2.0652959167957308,0.2,0.1041015625,0.8097938746213913,-0.11999677121639252
24,68,60.0,12288,178,-6.34566074,0.0003,-0.008918998728040606,0.010273217,0.015987338055856525,230,-2.1090331107378004,0.2,0.0666015625,0.8452856242656708,-0.08642455190420151
25,68,60.0,12800,185,-6.340532489999999,0.0003,-0.01002550843404606,0.011779817,0.013555408990941941,240,-2.1635081321001053,0.2,0.1138671875,0.8710136413574219,-0.13620664179325104
26,68,60.0,13312,193,-6.334504290000001,0.0003,-0.01243147299392149,0.011273029,0.015940808120649307,250,-2.1864461302757263,0.2,0.1203125,0.8322524428367615,-0.12608186900615692
27,68,60.0,13824,200,-6.3430378800000025,0.0003,-0.019477863487554713,0.014045304,0.02282783741829917,260,-2.135282927751541,0.2,0.153515625,0.7489302158355713,-0.11410790681838989
28,68,60.0,14336,207,-6.349077639999999,0.0003,-0.008409370051231236,0.008898187,0.025466821424197407,270,-2.148519241809845,0.2,0.08125,0.6903492510318756,-0.07899035513401031
29,68,60.0,14848,215,-6.37503681,0.0003,-0.01450067366240546,0.0127009,0.013903106260113419,280,-2.096255350112915,0.2,0.077734375,0.8125215917825699,-0.11494789272546768
30,68,60.0,15360,223,-6.35427425,0.0003,-0.011796259053517133,0.011445264,0.02788376606767997,290,-2.0824325680732727,0.2,0.0966796875,0.7580190449953079,-0.13759247958660126
31,68,60.0,15872,230,-6.36567541,0.0003,-0.009232329059159383,0.010649335,0.02008890549186617,300,-2.166690003871918,0.2,0.0943359375,0.8337710350751877,-0.10940352082252502
32,68,60.0,16384,238,-6.438953110000001,0.0003,-0.018209829879924654,0.014817414,0.02244797962484881,310,-2.2257465004920958,0.2,0.2013671875,0.8093203008174896,-0.13111074268817902
33,68,60.0,16896,246,-6.413804529999998,0.0003,-0.015838937583612277,0.011549322,0.027844770741648973,320,-2.2500462263822554,0.2,0.1126953125,0.7637758105993271,-0.08843976259231567
34,68,60.0,17408,255,-6.4465059,0.0003,-0.023912570398533717,0.015981013,0.005826894895290024,330,-2.2111403167247774,0.2,0.1841796875,0.9517595134675503,-0.14501111209392548
35,67,60.0,17920,264,-6.460840249999999,0.0003,-0.011920176108833402,0.011906956,0.02607365851290524,340,-2.223987576365471,0.2,0.0896484375,0.7712022513151169,-0.10981805622577667
36,67,60.0,18432,271,-6.4502432899999995,0.0003,-0.008866281562950462,0.0084003415,0.005027336292550899,350,-2.1986498475074767,0.2,0.0353515625,0.9489676654338837,-0.11297187209129333
37,67,60.0,18944,279,-6.470731730000001,0.0003,-0.014488642866490408,0.0120588215,0.008047499621170573,360,-2.1870011150836945,0.2,0.094140625,0.9273568317294121,-0.1296798288822174
38,67,60.0,19456,287,-6.473452289999999,0.0003,-0.018219164613401517,0.014900252,0.0063469517976045605,370,-2.1822071433067323,0.2,0.121484375,0.9328442811965942,-0.12385151535272598
39,67,60.0,19968,295,-6.460453759999999,0.0003,-0.012102782854344695,0.012975277,0.008958408419857733,380,-2.148245158791542,0.2,0.08203125,0.9100023582577705,-0.12874847650527954
40,67,60.0,20480,302,-6.490277969999998,0.0003,-0.01200336953625083,0.010944849,0.010251282242825255,390,-2.091876503825188,0.2,0.0806640625,0.8961195275187492,-0.13499514758586884
41,67,60.0,20992,310,-6.53679627,0.0003,-0.013258512617903761,0.012479567,0.013899033865891397,400,-2.0969439268112184,0.2,0.104296875,0.8873420134186745,-0.10049339383840561
