#{"t_start": 1785239950.5522094, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
0.715669,60,5.950208,False,True,0.05689848751792991,80.60805053880631
-9.836648,60,11.557018,False,True,0.10129680803387979,77.43178143780257
5.921316,60,16.373221,False,True,0.019555398543628814,82.60164579038516
10.753541,60,20.096611,False,True,0.01643207216665393,87.8655819662552
-7.925791,60,24.147874,False,True,0.14338753824971584,83.61417763579317
-9.447485,60,27.1734,False,True,0.08706889173264667,83.8349098399794
14.911372,60,31.044694,False,True,0.030452407912020297,87.41065269969646
-1.443125,60,34.148742,False,True,0.05237168107683605,87.18270485722554
-15.582391,60,38.056881,False,True,0.1576582492627756,85.08589522280046
-11.599024,60,41.043334,False,True,0.08780661853506656,64.9108292920363
53.761404,60,44.964994,False,True,0.015885263359689955,82.4221565495377
-6.742042,60,48.040266,False,True,0.06093621858722867,67.17915819120888
-2.879165,60,52.271756,False,True,0.05167035999937457,82.03600763758634
43.132101,60,55.422419,False,True,0.002649344889010963,88.8747398723262
5.46233,60,59.346246,False,True,0.06264392127622655,70.26238497189989
29.057672,60,62.390445,False,True,0.02675851434990348,76.04515261465967
-2.262041,60,65.385341,False,True,0.06621824173081566,71.97720491851213
-7.65074,60,69.28473,False,True,0.06486977173564387,83.68944261168558
-12.364787,60,72.272881,False,True,0.08892522796614986,74.58384269082646
68.242397,60,76.2632,False,True,0.02254580217770706,89.93538636122102
-23.531583,60,79.461041,False,True,0.10913511864269361,89.64867247261427
40.643577,60,83.481812,False,True,0.026249356115784585,79.97143061492511
-20.860501,60,86.496899,False,True,0.10198854650847804,85.4968075817448
-15.533649,60,90.459932,False,True,0.09413094965742824,85.93400043788245
-8.035007,60,93.526122,False,True,0.06631312039336647,70.01009771368935
-11.99974,60,97.338956,False,True,0.08672565365910025,86.60068942931788
6.395005,60,100.309589,False,True,0.05393779023332618,79.75396298983857
26.273079,60,104.205837,False,True,0.041518302809425485,88.87234927462673
26.593338,60,107.291687,False,True,0.035951706839769684,84.39269390214628
6.37238,60,111.288578,False,True,0.04232967767295597,87.12878783449422
3.777173,60,115.189294,False,True,0.05380407961805016,84.47832527779063
30.712036,60,119.376698,False,True,0.017277545997235116,83.85019034207937
-13.418638,60,123.582117,False,True,0.07951556889921474,86.61725159256771
-5.524878,60,127.937233,False,True,0.0689947135990749,84.68805930604988
-23.336642,60,133.351906,False,True,0.13299052387434263,80.40084595391475
40.98763,60,137.736334,False,True,0.04021228622861828,84.43834473121392
223.054835,60,142.606952,False,True,0.0009115905871693833,83.76125261461948
56.214304,60,148.106781,False,True,0.034528167367929304,83.12274386831952
-22.645091,60,154.024236,False,True,0.12464673558033856,85.13496770193862
108.6723,60,157.583877,False,True,0.024406127908756695,89.39448462462047
-14.315386,60,162.542544,False,True,0.07578137276542675,80.04399557484125
65.327119,60,166.326277,False,True,0.024857441938753434,88.05544431485505
7.810467,60,171.128777,False,True,0.04701432688134987,81.37669984030354
19.325251,60,175.180959,False,True,0.042454042016350946,84.16708509168124
9.595578,60,180.841248,False,True,0.055115007525092144,87.54425871621427
-17.85089,60,186.094372,False,True,0.10997582797580881,85.34571558248197
-25.378976,60,190.980393,False,True,0.11704150871508705,81.5384860282965
-22.700798,60,194.551137,False,True,0.08993322220412862,89.3103949185895
28.515392,60,198.074109,False,True,0.047530218423087786,88.11169871999024
50.891428,60,202.611091,False,True,0.022114978807664585,89.91076448682529
147.040815,60,206.156369,False,True,0.0034362759404377545,89.77045941720905
-14.807334,60,210.687014,False,True,0.08228076707008686,77.81472550262733
34.098798,60,214.17406,False,True,0.03997908522290785,82.66935691775778
-29.291291,60,218.984704,False,True,0.11078765822203276,84.61779663588732
-18.205543,60,222.570139,False,True,0.09354800443491107,83.87759030358802
84.122508,60,226.905288,False,True,0.023474017890898383,88.91333308506753
35.06139,60,230.377976,False,True,0.040070982516424,86.81949726924624
-19.585228,60,234.814943,False,True,0.12525432335741143,77.70035861715066
128.077061,60,238.337501,False,True,0.01619524717960477,84.5044991086974
56.629427,60,242.77486,False,True,0.033233690519933023,84.42099687505046
-2.563405,60,246.235246,False,True,0.07150156438460806,88.65399010953719
-5.582872,60,250.604053,False,True,0.07150150671192002,84.87115158508644
-10.888125,60,254.11462,False,True,0.07333233195044661,77.52099019572582
79.889772,60,257.650759,False,True,0.02764834113897891,86.31897210113313
-15.594649,60,262.141472,False,True,0.08335860811783997,85.76785416727554
126.170637,60,266.319796,False,True,0.01023761705518759,78.82377372969827
17.07894,60,271.304908,False,True,0.051726073475082276,79.78587553460642
127.030803,60,274.872288,False,True,0.023053914914047735,85.33430929259893
-34.093769,60,279.370301,False,True,0.1305601206062222,83.39983347732091
46.784149,60,282.860419,False,True,0.030678347510121995,80.12347985680137
76.746856,60,287.873209,False,True,0.027021139250378183,88.41795547825987
-13.779737,60,292.358939,False,True,0.09461697413616048,88.75004205853861
73.670636,60,297.279573,False,True,0.027246729228262205,85.38073227299233
