#{"t_start": 1785236696.360862, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
5.615669,60,7.825655,False,True,0.05689848751792991,80.60805053880631
-6.336648,60,10.71973,False,True,0.10129680803387979,77.43178143780257
8.052652,60,14.698786,False,True,0.01817419938780613,85.26543985002581
13.82396,60,17.532489,False,True,0.015237679572543805,86.4793361101894
-6.906175,60,21.343789,False,True,0.13789604114692194,83.86802386282267
-5.133962,60,24.170718,False,True,0.08651542968958228,85.05309248370656
24.028685,60,27.967817,False,True,0.030456959672083932,89.89115483238946
2.791653,60,30.903656,False,True,0.05209427140112694,84.42923862789428
-8.566001,60,34.7225,False,True,0.15683477823861675,84.9905544743363
-4.729197,60,37.725868,False,True,0.09138904533165458,69.70647087639897
61.691714,60,41.56291,False,True,0.015885263359689955,81.93641207647649
0.017874,60,44.677354,False,True,0.0653879441000363,69.24122739735917
1.567762,60,48.45684,False,True,0.05161039859489899,82.1519660630503
59.933316,60,51.389904,False,True,0.001293384620432594,84.15621657207093
17.910771,60,55.138866,False,True,0.062427444324890634,67.09881302616722
43.197114,60,58.02835,False,True,0.029710624437353367,74.35222189229349
13.101965,60,60.901462,False,True,0.058106883756408385,71.99976390025452
7.357948,60,64.719423,False,True,0.06853622452183472,84.82310350536062
-2.610695,60,67.643239,False,True,0.092371878421449,80.63062674766748
114.118829,60,71.495578,False,True,0.011856185144394417,83.25114659643768
-5.874193,60,74.590343,False,True,0.10429192092251016,89.6347921505151
74.045392,60,78.423385,False,True,0.028257638608642995,87.65956346436401
-1.531821,60,81.328184,False,True,0.09194207699931124,81.29702078963211
0.74331,60,85.121639,False,True,0.07995571179837391,88.90514833210433
2.644519,60,88.047288,False,True,0.07346914311589811,81.08928108031182
2.82261,60,91.783362,False,True,0.08118566236799502,78.52647272185683
30.688871,60,94.703228,False,True,0.04855363780379784,86.98716200524382
50.756752,60,98.475205,False,True,0.04066139826376714,86.38740024209251
75.552243,60,101.410709,False,True,0.033700922530979546,76.02634396073366
40.314964,60,105.38205,False,True,0.039039967552512406,83.35405192548055
28.586981,60,108.259223,False,True,0.05486677285725183,86.89058258099207
95.780025,60,111.249763,False,True,0.02430196259394108,84.49904606573004
-2.17388,60,115.027142,False,True,0.09718188243093341,83.09044987050282
20.860544,60,117.914175,False,True,0.059708404524749806,82.78985108917193
-10.869096,60,121.790288,False,True,0.14258283911138964,79.75831804139236
67.173579,60,124.695812,False,True,0.04021228622861828,85.99817219672825
249.922304,60,128.507424,False,True,0.008265717379885365,87.26678133114888
105.903431,60,131.370745,False,True,0.040770622895172554,84.20131887742617
-8.792462,60,135.325717,False,True,0.11945955619548304,89.70325737135624
125.037735,60,138.389058,False,True,0.03169472928701558,86.61470914022527
6.593978,60,142.238593,False,True,0.07601570617528977,88.7069442606002
114.530714,60,145.211961,False,True,0.025543394542161126,80.76336808484434
42.077598,60,148.989679,False,True,0.03737811614321839,81.51101714724341
29.239333,60,151.81984,False,True,0.05349070836173947,82.40700660725925
41.409447,60,155.670164,False,True,0.05464185320371398,82.44253216366397
1.826433,60,158.525932,False,True,0.08735774358973913,86.41303514272887
-9.004812,60,162.321542,False,True,0.11315769998912902,85.31125017872012
-2.519835,60,165.438669,False,True,0.09236323743578534,89.97995044686607
56.420518,60,168.359294,False,True,0.046398076388897036,89.37777618365432
87.240645,60,172.15145,False,True,0.026182901203862453,88.0116614066797
215.298584,60,175.0813,False,True,0.011196485920775424,89.3970078723645
6.899263,60,178.969176,False,True,0.08372577415834599,77.21381075067325
62.720614,60,181.902565,False,True,0.044401007582735845,83.9787072393448
-7.727131,60,185.833117,False,True,0.1107099930824206,86.88730981035515
6.729915,60,188.735736,False,True,0.09403645151910972,83.66283892412504
169.177029,60,192.614455,False,True,0.01688775651107522,86.7641218622592
84.97523,60,195.750536,False,True,0.03694068419309405,88.31656209253138
-10.261953,60,199.554981,False,True,0.12600829886192244,78.06029494418132
209.994671,60,202.397656,False,True,0.01619524717960477,85.12136846696792
96.734678,60,206.340054,False,True,0.032152259609004384,87.03885605523477
17.884465,60,209.276638,False,True,0.07857716608091034,80.93499591048804
23.882057,60,213.084299,False,True,0.06797843442863348,82.71543057659122
10.572756,60,216.066963,False,True,0.07263235694577225,81.53794199945455
150.079338,60,219.052605,False,True,0.02571743539597418,80.02255280524143
6.88839,60,223.356574,False,True,0.07949099250473339,83.42143089897212
250.901847,60,226.303499,False,True,0.007589468076509084,83.25994413224788
39.014044,60,230.1335,False,True,0.05416693256124308,72.6903733406589
165.689863,60,232.982989,False,True,0.025245293270887037,84.60241836263889
-12.281598,60,236.801657,False,True,0.12914997628212074,89.70428917603888
92.329096,60,239.772979,False,True,0.034236023935215264,82.55118693209678
125.012313,60,243.609268,False,True,0.028689514536769198,87.22380487115429
4.407207,60,246.532239,False,True,0.08911327370143098,84.56685642788251
112.943328,60,250.38085,False,True,0.03035538811193603,81.67287015294636
98.343263,60,253.431882,False,True,0.03541494904495664,85.56775459013834
136.684253,60,257.226973,False,True,0.027372721277911027,87.16081148716407
42.650973,60,260.244892,False,True,0.056717026146871234,85.80992126980074
0.769302,60,264.078469,False,True,0.09711090785191391,79.05780304154186
179.712069,60,267.072959,False,True,0.008217011577022305,86.341995936184
353.513333,60,270.921065,False,True,0.00440741610123066,89.4157163231369
135.552904,60,273.844851,False,True,0.03368489674398267,85.53156177254144
273.976989,60,276.715568,False,True,0.010095250744572244,78.82809410554968
-3.623676,60,280.463694,False,True,0.09739716409518297,80.98997680741313
171.566599,60,283.554662,False,True,0.018938423095287996,89.39389429352147
188.691265,60,287.398954,False,True,0.011934391591670538,77.17353860533014
-13.277188,60,290.298982,False,True,0.14304564011458368,89.3693203982973
