time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss
7,512,1.4371558749999995,60.0,1,72,,,,,,,,,,
14,1024,9.823040875,60.0,2,72,10,0.2,-0.02060885761748068,0.0003,0.012296226,6.568288823962211,0.024959027767181396,2.8768765926361084,0.1283203125,-2.478078216314316
20,1536,7.596244791666666,60.0,3,73,20,0.2,-0.013218720309669151,0.0003,0.0062932307,25.507244682312013,0.03073066473007202,18.029813766479492,0.0314453125,-2.4660858392715452
28,2048,12.1466260625,60.0,4,73,30,0.2,-0.020457055349834264,0.0003,0.011200279,34.97051155567169,0.04357355833053589,18.435510635375977,0.080078125,-2.4399956196546553
35,2560,13.811998425000002,60.0,5,72,40,0.2,-0.012874869594816119,0.0003,0.0053779925,77.47209899425506,0.067618727684021,29.607879638671875,0.031640625,-2.405607283115387
42,3072,17.338598625,60.0,6,72,50,0.2,-0.012794098601443694,0.0003,0.007494356,56.491210508346555,0.12936300039291382,24.255332946777344,0.028515625,-2.3682793766260146
49,3584,17.888508482142857,60.0,7,72,60,0.2,-0.01754126800224185,0.0003,0.011732309,66.17228646278382,0.037650465965270996,35.47306823730469,0.070703125,-2.314949181675911
57,4096,19.810014941176473,60.0,8,71,70,0.2,-0.008777925613685511,0.0003,0.007157934,128.94632449150086,0.09436637163162231,59.523277282714844,0.003515625,-2.2673357516527175
64,4608,22.32934077631579,60.0,9,71,80,0.2,-0.0135050943645183,0.0003,0.011608578,56.55724904537201,0.14412230253219604,28.797443389892578,0.04140625,-2.1925507694482804
71,5120,25.08377016666667,60.0,10,71,90,0.2,-0.0027379253529943525,0.0003,0.0013267659,174.46033563613892,0.1655198335647583,117.39989471435547,0.0,-2.203293818235397
78,5632,26.58576384782609,60.0,11,71,100,0.2,-0.004974763700738549,0.0003,0.0026351656,182.36845417022704,0.15531134605407715,123.24529266357422,0.0,-2.1315735936164857
85,6144,28.75759051,60.0,12,72,110,0.2,-0.007395972777158022,0.0003,0.002857272,106.01716008186341,0.14310038089752197,65.09297180175781,0.024609375,-2.122292509675026
92,6656,30.22430278,60.0,13,72,120,0.2,-0.004333441553171724,0.0003,0.0021709008,115.97918157577514,0.2440119981765747,70.35896301269531,0.0,-2.1113949000835417
99,7168,34.41692505,60.0,14,72,130,0.2,-0.007486904883990064,0.0003,0.0057983743,51.135619568824765,0.5609384775161743,22.448841094970703,0.0,-2.063636240363121
107,7680,38.41304552,60.0,15,71,140,0.2,-0.005769717937801034,0.0003,0.003457236,256.11209239959715,0.32543349266052246,160.7314453125,0.0,-1.9773935124278068
114,8192,42.433109380000005,60.0,16,71,150,0.2,-0.007742279395461083,0.0003,0.0067394096,139.9136869430542,0.38992005586624146,61.331756591796875,0.001171875,-1.9175893262028694
121,8704,43.50666745,60.0,17,71,160,0.2,-0.007891105755697935,0.0003,0.00530632,254.56978216171265,0.3070792555809021,102.44563293457031,0.0,-1.782831883430481
128,9216,53.29751898000001,60.0,18,71,170,0.2,-0.011713583971140907,0.0003,0.009158094,127.7674165725708,0.4311092495918274,51.959415435791016,0.02578125,-1.6447884529829024
135,9728,54.04808574,60.0,19,71,180,0.2,-0.0008903433285013307,0.0003,0.00018488267,689.9983604431152,0.17185771465301514,299.8648376464844,0.0,-1.6240342527627945
142,10240,56.08753585,60.0,20,71,190,0.2,-0.0018629134574439377,0.0003,0.0047042975,313.13472118377683,0.21559447050094604,68.62857055664062,0.0001953125,-1.6425448581576347
149,10752,56.31337758000001,60.0,21,71,200,0.2,-0.0028368160157697274,0.0003,0.0018092282,79.45810031890869,0.5589549839496613,26.672082901000977,0.0,-1.689153529703617
156,11264,56.81554516,60.0,22,71,210,0.2,-0.004223860870115459,0.0003,0.0018101373,359.83012561798097,0.4433223009109497,153.24130249023438,0.0,-1.6613996595144271
164,11776,58.38810384000001,60.0,23,71,220,0.2,-0.0030793677433393896,0.0003,0.0012085694,186.89927129745485,0.3587198853492737,61.95685577392578,0.003515625,-1.6442019313573837
171,12288,62.583586190000005,60.0,24,71,230,0.2,-0.004602051642723382,0.0003,0.0035345366,211.79750995635987,0.4387877583503723,80.97630310058594,0.009375,-1.6137365639209746
178,12800,64.60109584,60.0,25,71,240,0.2,-0.004523145878920332,0.0003,0.0030213858,521.7632583618164,0.28006988763809204,309.99365234375,0.0,-1.6153885111212731
185,13312,66.60040731999999,60.0,26,71,250,0.2,-0.011279721959726884,0.0003,0.0050444426,211.1229739189148,0.4501124620437622,96.0223617553711,0.0189453125,-1.5304823786020278
192,13824,69.88753598,60.0,27,71,260,0.2,-0.0010691094561479987,0.0003,0.0005800793,407.7820140838623,0.3328986167907715,243.3137664794922,0.0,-1.5148828953504563
200,14336,70.02288777,60.0,28,71,270,0.2,-0.0014322227274533362,0.0003,0.0010836124,221.8595314025879,0.448009729385376,110.24752044677734,0.0,-1.5741983011364937
207,14848,72.66180169,60.0,29,71,280,0.2,-0.001839187421137467,0.0003,0.0005355604,287.56611614227296,0.4690224528312683,99.2090072631836,0.0,-1.5610002726316452
215,15360,71.86598643,60.0,30,71,290,0.2,-0.0011763201560825109,0.0003,0.0014593005,99.41348972320557,0.6384009420871735,55.416954040527344,0.0,-1.5510644525289536
222,15872,74.53148537999999,60.0,31,71,300,0.2,-0.003286847216077149,0.0003,0.0008262136,637.9638534545899,0.45541876554489136,220.05328369140625,0.0,-1.5199860796332358
