r,l,t,cum_timesteps,success_proxy
-22.350746,60,2.948092,60,False
-10.868105,60,2.948092,120,False
-20.733313,60,2.954086,180,False
-18.185972,60,2.956062,240,False
-16.107558,60,5.730048,300,False
-13.105946,60,5.731047,360,False
-16.101816,60,5.734589,420,False
-16.584427,60,5.735596,480,False
-18.553949,60,10.247656,540,False
-12.442221,60,10.249029,600,False
-10.630522,60,10.249732,660,False
-8.240202,60,10.250731,720,False
-10.860741,60,13.098861,780,False
-17.179594,60,13.099861,840,False
-12.583002,60,13.103855,900,False
-11.223666,60,13.110324,960,False
-8.702705,60,16.813337,1020,False
-8.369586,60,16.815333,1080,False
-6.162643,60,16.815333,1140,False
-6.102975,60,16.817336,1200,False
-6.937367,60,19.500493,1260,False
-10.113848,60,19.505489,1320,False
-12.287717,60,19.507488,1380,False
-9.253703,60,19.510486,1440,False
-12.303699,60,23.21274,1500,False
-7.214007,60,23.214739,1560,False
-9.17256,60,23.216743,1620,False
-8.369737,60,23.218739,1680,False
-10.391007,60,25.984241,1740,False
-14.24276,60,25.98524,1800,False
-10.118633,60,25.988251,1860,False
-8.759629,60,25.991251,1920,False
-6.037787,60,29.645465,1980,False
-6.980586,60,29.647459,2040,False
-10.66024,60,29.647459,2100,False
-6.308029,60,29.650462,2160,False
-7.160146,60,32.531674,2220,False
-8.26582,60,32.531674,2280,False
-12.143158,60,32.540657,2340,False
-6.064153,60,32.542649,2400,False
-6.432563,60,36.127765,2460,False
-8.795954,60,36.12876,2520,False
-7.071914,60,36.136755,2580,False
-6.272258,60,36.137754,2640,False
-8.552121,60,39.104665,2700,False
-6.132529,60,39.105665,2760,False
-7.003452,60,39.110226,2820,False
-6.280203,60,39.114212,2880,False
-6.11632,60,42.780285,2940,False
-6.35731,60,42.780557,3000,False
-6.991598,60,42.785586,3060,False
-8.092318,60,42.790585,3120,False
-6.764805,60,45.620196,3180,False
-8.225998,60,45.620196,3240,False
-6.541754,60,45.620391,3300,False
-6.395017,60,45.625459,3360,False
-6.34663,60,49.300955,3420,False
-6.148129,60,49.300955,3480,False
-8.549832,60,49.301955,3540,False
-7.244427,60,49.304951,3600,False
-6.596215,60,52.080017,3660,False
-6.616768,60,52.080019,3720,False
-6.219707,60,52.082024,3780,False
-8.136626,60,52.086019,3840,False
-6.363595,60,54.923001,3900,False
-7.00742,60,54.924,3960,False
-6.425448,60,54.929,4020,False
-6.31565,60,54.932994,4080,False
-6.401608,60,58.487113,4140,False
-6.689488,60,58.489065,4200,False
-6.176705,60,58.493065,4260,False
-7.112709,60,58.495068,4320,False
-8.583639,60,61.249516,4380,False
-6.050219,60,61.251549,4440,False
-6.127634,60,61.253627,4500,False
-6.750134,60,61.260585,4560,False
-6.921058,60,65.212604,4620,False
-6.503082,60,65.214603,4680,False
-6.892381,60,65.2156,4740,False
-6.375565,60,65.216599,4800,False
-7.287664,60,68.144397,4860,False
-6.025321,60,68.144436,4920,False
-8.132152,60,68.147579,4980,False
-5.914657,60,68.148602,5040,False
-8.484609,60,71.914643,5100,False
-6.224773,60,71.915645,5160,False
-6.804946,60,71.919639,5220,False
-6.923059,60,71.919651,5280,False
-6.121146,60,74.651786,5340,False
-6.195986,60,74.652785,5400,False
-8.694348,60,74.652785,5460,False
-6.413959,60,74.6538,5520,False
-7.560514,60,78.413434,5580,False
-6.106937,60,78.415441,5640,False
-6.180689,60,78.418388,5700,False
-6.49272,60,78.419387,5760,False
-6.694534,60,81.261573,5820,False
-8.548745,60,81.266708,5880,False
-6.947141,60,81.268755,5940,False
-6.317431,60,81.271336,6000,False
-6.385026,60,85.002472,6060,False
-8.273028,60,85.003468,6120,False
-8.519681,60,85.00347,6180,False
-6.059142,60,85.007464,6240,False
-6.411884,60,87.836167,6300,False
-6.661789,60,87.838166,6360,False
-6.603118,60,87.843165,6420,False
-6.014209,60,87.844165,6480,False
-8.280278,60,91.535316,6540,False
-6.385947,60,91.535319,6600,False
-6.689927,60,91.538317,6660,False
-6.029295,60,91.539322,6720,False
-6.497938,60,94.809318,6780,False
-6.372758,60,94.810317,6840,False
-8.624709,60,94.815825,6900,False
-6.226697,60,94.816828,6960,False
-6.026027,60,98.620575,7020,False
-7.324526,60,98.621582,7080,False
-6.463604,60,98.625568,7140,False
-6.183023,60,98.626567,7200,False
-5.879458,60,101.368138,7260,False
-6.229551,60,101.37014,7320,False
-6.755002,60,101.372138,7380,False
-6.182838,60,101.375131,7440,False
-6.840967,60,104.091908,7500,False
-5.930869,60,104.091913,7560,False
-6.496612,60,104.09491,7620,False
-5.880218,60,104.096904,7680,False
-5.832262,60,107.738983,7740,False
-6.226787,60,107.738988,7800,False
-8.249231,60,107.739982,7860,False
-6.734607,60,107.741962,7920,False
-6.666701,60,110.528087,7980,False
-5.585027,60,110.529072,8040,False
-7.099166,60,110.531075,8100,False
-6.241527,60,110.531075,8160,False
-5.942436,60,114.403831,8220,False
-6.048778,60,114.405821,8280,False
-6.072296,60,114.410844,8340,False
-7.129482,60,114.410844,8400,False
-6.101851,60,117.169737,8460,False
-6.253618,60,117.169737,8520,False
-6.393374,60,117.175226,8580,False
-5.893312,60,117.176225,8640,False
-7.193772,60,120.856257,8700,False
-6.181205,60,120.856257,8760,False
-5.883969,60,120.861249,8820,False
-7.440358,60,120.862547,8880,False
-6.068993,60,123.892431,8940,False
-6.483108,60,123.895435,9000,False
-6.480983,60,123.898428,9060,False
-7.015106,60,123.929434,9120,False
-5.984511,60,128.770319,9180,False
-5.942846,60,128.773318,9240,False
-6.041653,60,128.773321,9300,False
-5.938267,60,128.77432,9360,False
-6.320052,60,131.748131,9420,False
-6.148724,60,131.748159,9480,False
-7.193144,60,131.753957,9540,False
-6.031209,60,131.755955,9600,False
-7.068443,60,135.423514,9660,False
-5.957424,60,135.424513,9720,False
-8.013693,60,135.433555,9780,False
-6.08986,60,135.434554,9840,False
-6.702385,60,138.326134,9900,False
-5.949886,60,138.331112,9960,False
-6.212203,60,138.332111,10020,False
-6.331674,60,138.33611,10080,False
-5.798605,60,142.159695,10140,False
-6.010069,60,142.166705,10200,False
-5.759985,60,142.169703,10260,False
-5.85805,60,142.171699,10320,False
-6.125202,60,145.162378,10380,False
-6.462814,60,145.162378,10440,False
-5.955225,60,145.16338,10500,False
-7.131896,60,145.165373,10560,False
-5.749658,60,150.009836,10620,False
-5.859987,60,150.012831,10680,False
-6.74836,60,150.012833,10740,False
-6.558083,60,150.01383,10800,False
-6.037728,60,153.182288,10860,False
-6.122337,60,153.183287,10920,False
-6.126883,60,153.195297,10980,False
-5.929517,60,153.196499,11040,False
-5.747543,60,156.892392,11100,False
-7.468389,60,156.893391,11160,False
-5.519061,60,156.893391,11220,False
-6.407361,60,156.895394,11280,False
-6.341297,60,159.851247,11340,False
-5.804894,60,159.852243,11400,False
-6.066523,60,159.852262,11460,False
-5.496445,60,159.861485,11520,False
-6.467019,60,162.638146,11580,False
-6.342665,60,162.640152,11640,False
-5.979867,60,162.64213,11700,False
-6.996473,60,162.64213,11760,False
-6.415246,60,166.6189,11820,False
-5.961963,60,166.621903,11880,False
-5.714944,60,166.622904,11940,False
-5.93715,60,166.623893,12000,False
-5.706995,60,169.530283,12060,False
-7.360583,60,169.531555,12120,False
-7.379376,60,169.532556,12180,False
-6.901747,60,169.534548,12240,False
-7.135832,60,173.189152,12300,False
-6.229521,60,173.190164,12360,False
-6.637954,60,173.195146,12420,False
-5.910573,60,173.197146,12480,False
-6.494522,60,176.078257,12540,False
-5.442146,60,176.079247,12600,False
-6.205012,60,176.081238,12660,False
-6.214197,60,176.081246,12720,False
-5.692707,60,179.837365,12780,False
-7.011326,60,179.838344,12840,False
-5.46272,60,179.849336,12900,False
-7.248085,60,179.850335,12960,False
