#{"t_start": 1785164451.6241639, "env_id": "None"}
r,l,t
-18.185972,60,2.956062
-16.101816,60,5.734589
-12.442221,60,10.249029
-10.860741,60,13.098861
-6.162643,60,16.815333
-6.937367,60,19.500493
-9.17256,60,23.216743
-10.118633,60,25.988251
-10.66024,60,29.647459
-8.26582,60,32.531674
-8.795954,60,36.12876
-7.003452,60,39.110226
-6.991598,60,42.785586
-8.225998,60,45.620196
-6.148129,60,49.300955
-6.616768,60,52.080019
-7.00742,60,54.924
-6.401608,60,58.487113
-8.583639,60,61.249516
-6.503082,60,65.214603
-8.132152,60,68.147579
-6.224773,60,71.915645
-6.413959,60,74.6538
-6.49272,60,78.419387
-6.947141,60,81.268755
-6.059142,60,85.007464
-6.603118,60,87.843165
-8.280278,60,91.535316
-6.372758,60,94.810317
-7.324526,60,98.621582
-6.182838,60,101.375131
-5.930869,60,104.091913
-8.249231,60,107.739982
-7.099166,60,110.531075
-5.942436,60,114.403831
-5.893312,60,117.176225
-7.193772,60,120.856257
-6.068993,60,123.892431
-5.984511,60,128.770319
-7.193144,60,131.753957
-5.957424,60,135.424513
-5.949886,60,138.331112
-5.759985,60,142.169703
-6.462814,60,145.162378
-6.74836,60,150.012833
-6.126883,60,153.195297
-6.407361,60,156.895394
-6.341297,60,159.851247
-5.979867,60,162.64213
-5.714944,60,166.622904
-5.706995,60,169.530283
-7.135832,60,173.189152
-6.214197,60,176.081246
-5.692707,60,179.837365
-5.148477,60,183.409109
-6.90898,60,187.43224
-6.719248,60,190.622308
-5.970742,60,194.675838
-6.782484,60,197.60256
-5.993873,60,201.279732
-6.38861,60,204.566121
-5.744797,60,208.837888
-6.268437,60,212.333663
-5.898865,60,215.237977
-7.122199,60,218.943706
-8.415015,60,221.855882
-6.512313,60,225.512983
-5.923915,60,228.256801
-6.414914,60,231.834746
-6.45089,60,234.536071
-6.298075,60,238.107738
-6.777632,60,240.720871
-6.886786,60,244.361609
-5.811407,60,247.149219
-6.791205,60,250.981741
-6.860118,60,253.687973
-6.364323,60,257.337699
-5.500537,60,260.005006
-6.345838,60,263.743341
-6.36093,60,266.470762
-5.818479,60,269.194553
-6.003998,60,272.880538
-6.399327,60,275.70221
-6.781714,60,279.354416
-6.851563,60,281.97335
-6.549817,60,287.196056
-6.085582,60,293.442564
-7.246185,60,298.772701
-6.355393,60,302.173408
-6.653041,60,306.574137
-5.783479,60,309.866271
-6.088245,60,314.088382
-7.831998,60,317.451419
-7.177067,60,321.682195
-7.135747,60,325.242711
-6.195805,60,328.55439
-6.652113,60,332.847632
-5.816514,60,336.291614
-6.771114,60,340.798091
-7.590862,60,345.623208
-5.75492,60,351.327559
-6.707672,60,356.184909
-6.890624,60,363.591477
-7.025748,60,367.29909
-6.873799,60,371.806245
-6.953673,60,375.644723
-7.188622,60,380.202654
-7.270498,60,383.382172
-6.511644,60,387.981981
-6.888826,60,391.448799
-6.550607,60,396.12628
-6.139175,60,399.784574
-6.129583,60,403.958232
-6.933519,60,409.630123
-6.322433,60,414.404417
-5.891035,60,421.153358
-7.072219,60,426.351808
-6.571376,60,430.836442
-6.580415,60,433.964947
-6.912752,60,438.819656
-6.64243,60,442.392333
-5.662451,60,446.200174
-6.717775,60,449.259972
-7.324755,60,453.615216
-7.623983,60,456.680031
-6.650962,60,460.505207
-6.461423,60,463.408792
-6.40015,60,466.714152
-5.968285,60,470.685259
-6.612162,60,474.531113
-7.355456,60,479.926858
-5.911177,60,483.522798
-5.775355,60,487.319728
-6.005281,60,490.13594
-6.715202,60,493.933303
-5.710225,60,497.234537
-6.664206,60,500.928174
-5.775463,60,503.805114
-6.368048,60,507.556442
-7.504891,60,510.563659
-7.821812,60,515.073949
-6.506745,60,518.495121
-6.214813,60,523.9529
-7.260068,60,527.290464
-7.043941,60,530.530037
-5.941687,60,534.770723
-6.358701,60,537.83943
-7.729645,60,541.563291
-6.462851,60,544.488085
-6.476577,60,548.328772
-6.86211,60,551.16357
-5.956181,60,554.862757
-6.314899,60,557.933492
-6.510186,60,561.568034
-7.138908,60,564.468207
-6.183278,60,568.221268
-6.995867,60,571.004781
-5.869077,60,574.605493
-7.123589,60,577.367019
-7.008874,60,580.122801
-7.227213,60,583.797796
-5.807432,60,586.597513
-5.324911,60,590.243807
-7.563461,60,593.207541
-6.164491,60,596.899226
-6.418009,60,599.629498
-5.95434,60,603.362308
-5.777149,60,606.094223
