time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance
1,512,6,-16.754735375,60.0,73,,,,,,,,,,
2,1024,14,-14.73448625,60.0,70,-2.4772315680980683,5.877788986265659,0.015088372,0.0003,0.173828125,10,-0.03554466919740662,0.2,1.2807998657226562,-0.010289669036865234
3,1536,20,-12.653430166666666,60.0,73,-2.4551086515188216,1.8187670163810252,0.014831995,0.0003,0.076953125,20,-0.02154644526890479,0.2,1.0225683450698853,0.013238668441772461
4,2048,27,-12.007948625000001,60.0,73,-2.4198638945817947,0.94282196611166,0.010524654,0.0003,0.0876953125,30,-0.016315153578761964,0.2,0.48477140069007874,0.07417142391204834
5,2560,34,-11.196856875,60.0,74,-2.3987505197525025,0.7837409920990467,0.012663892,0.0003,0.0798828125,40,-0.017756852737511507,0.2,0.43311524391174316,0.08566915988922119
6,3072,41,-10.5086514375,60.0,74,-2.381008726358414,0.3513826118782163,0.011949224,0.0003,0.0904296875,50,-0.018748058308847248,0.2,0.07838442921638489,0.5105977952480316
7,3584,48,-9.998221232142855,60.0,74,-2.3464501947164536,0.11361540639773011,0.009888027,0.0003,0.087890625,60,-0.014721453713718802,0.2,0.020783334970474243,0.7983807772397995
8,4096,55,-9.439277,60.0,73,-2.3363261103630064,0.10775581849738955,0.010307923,0.0003,0.0974609375,70,-0.01513687225524336,0.2,-0.0015113241970539093,0.8111299723386765
9,4608,62,-9.15477594736842,60.0,73,-2.308817195892334,0.05638555851764977,0.010711395,0.0003,0.060546875,80,-0.01283120111329481,0.2,-0.047709785401821136,0.8289831280708313
10,5120,69,-8.926367285714285,60.0,73,-2.290057197213173,0.05803094706498087,0.017137367,0.0003,0.2162109375,90,-0.026365185191389175,0.2,-0.023895639926195145,0.7161647379398346
11,5632,76,-8.757366065217388,60.0,73,-2.2478405475616454,0.06841812033671886,0.01740495,0.0003,0.2884765625,100,-0.029740381287410855,0.2,-0.0596790537238121,0.6652891635894775
12,6144,83,-8.605263890000002,60.0,73,-2.2351456731557846,0.10667620245367289,0.013550529,0.0003,0.121484375,110,-0.018988581886515022,0.2,0.01174149475991726,0.5081150531768799
13,6656,90,-7.81416383,60.0,73,-2.2124720573425294,0.14911064938642085,0.01772857,0.0003,0.233984375,120,-0.02813739669509232,0.2,-0.022546302527189255,0.4551447033882141
14,7168,97,-7.348100349999998,60.0,73,-2.1874195754528047,0.0767282382817939,0.015987415,0.0003,0.107421875,130,-0.017419713572598992,0.2,9.124353528022766e-05,0.7035838067531586
15,7680,104,-7.060121830000001,60.0,73,-2.2227819561958313,0.05227558087790385,0.01173359,0.0003,0.1697265625,140,-0.019756039141793736,0.2,-0.03774886578321457,0.8006438612937927
16,8192,111,-6.8514882,60.0,73,-2.1372509211301804,0.013781898911111057,0.013524493,0.0003,0.1333984375,150,-0.017075570207089184,0.2,-0.048112958669662476,0.8773278817534447
17,8704,118,-6.72778001,60.0,73,-2.1373083144426346,0.06753939046757296,0.013282448,0.0003,0.080078125,160,-0.00987990575376898,0.2,-0.027733685448765755,0.6417716145515442
18,9216,126,-6.699996439999999,60.0,73,-2.1820591121912,0.01405641935998574,0.01779449,0.0003,0.175390625,170,-0.024188705399865285,0.2,-0.05343934893608093,0.8750855550169945
19,9728,133,-6.63383458,60.0,72,-2.0737823069095613,0.019652893778402358,0.00949146,0.0003,0.0568359375,180,-0.00773002922651358,0.2,-0.02913297340273857,0.7873261570930481
