r,l,t,cum_timesteps,success_proxy
-10.868105,60,2.924207,60,False
-18.185972,60,2.925206,120,False
-22.350746,60,2.930206,180,False
-20.733313,60,2.935202,240,False
-13.105946,60,5.712091,300,False
-16.107558,60,5.71309,360,False
-16.584427,60,5.714091,420,False
-16.101816,60,5.714091,480,False
-8.240202,60,9.445908,540,False
-12.442221,60,9.448904,600,False
-10.630522,60,9.45277,660,False
-18.553949,60,9.453281,720,False
-10.860741,60,12.224226,780,False
-13.185546,60,12.224226,840,False
-17.179594,60,12.228224,900,False
-12.583002,60,12.232224,960,False
-10.692462,60,15.972287,1020,False
-6.102975,60,15.973286,1080,False
-6.158641,60,15.976277,1140,False
-8.356194,60,15.977272,1200,False
-8.917667,60,18.690755,1260,False
-12.09584,60,18.691741,1320,False
-9.218832,60,18.691741,1380,False
-12.287717,60,18.693747,1440,False
-10.377469,60,22.458127,1500,False
-12.365063,60,22.458131,1560,False
-7.204478,60,22.458131,1620,False
-9.338519,60,22.458131,1680,False
-8.681648,60,25.320812,1740,False
-10.395801,60,25.322794,1800,False
-10.103336,60,25.323796,1860,False
-14.23259,60,25.323796,1920,False
-10.649539,60,29.003376,1980,False
-7.216948,60,29.003376,2040,False
-6.262452,60,29.003377,2100,False
-6.044847,60,29.004376,2160,False
-12.170209,60,31.883717,2220,False
-8.042796,60,31.883717,2280,False
-8.259334,60,31.885715,2340,False
-9.094682,60,31.886716,2400,False
-8.439883,60,35.528337,2460,False
-12.808191,60,35.528369,2520,False
-8.286415,60,35.533757,2580,False
-6.848641,60,35.533757,2640,False
-6.278411,60,38.402369,2700,False
-8.554778,60,38.405356,2760,False
-6.173828,60,38.409346,2820,False
-8.88843,60,38.410343,2880,False
-10.101336,60,42.086216,2940,False
-6.348929,60,42.087216,3000,False
-9.127368,60,42.089212,3060,False
-10.093447,60,42.091211,3120,False
-6.740351,60,44.864576,3180,False
-6.378155,60,44.867608,3240,False
-8.183002,60,44.867608,3300,False
-6.612339,60,44.867608,3360,False
-8.646314,60,48.543831,3420,False
-6.325983,60,48.544094,3480,False
-7.238196,60,48.545094,3540,False
-6.158863,60,48.546133,3600,False
-6.543331,60,51.44753,3660,False
-6.583353,60,51.448528,3720,False
-8.095839,60,51.45306,3780,False
-6.44343,60,51.455055,3840,False
-6.444758,60,54.255002,3900,False
-6.994908,60,54.256991,3960,False
-6.31663,60,54.26601,4020,False
-6.451345,60,54.268001,4080,False
-8.161543,60,57.959424,4140,False
-8.431931,60,57.959424,4200,False
-6.843037,60,57.964189,4260,False
-7.131832,60,57.965188,4320,False
-6.756748,60,60.797297,4380,False
-6.184864,60,60.7973,4440,False
-6.112343,60,60.798296,4500,False
-8.51865,60,60.803282,4560,False
-8.473367,60,64.437797,4620,False
-6.875222,60,64.439788,4680,False
-6.514712,60,64.441799,4740,False
-6.834728,60,64.443795,4800,False
-7.260162,60,68.498735,4860,False
-6.173086,60,68.501283,4920,False
-6.123818,60,68.508311,4980,False
-6.084493,60,68.512112,5040,False
-8.540791,60,73.050443,5100,False
-6.178115,60,73.051442,5160,False
-6.844542,60,73.060039,5220,False
-7.035697,60,73.062038,5280,False
-6.386048,60,75.752864,5340,False
-10.676376,60,75.756142,5400,False
-6.101015,60,75.759141,5460,False
-6.098912,60,75.765149,5520,False
-6.57926,60,79.535882,5580,False
-6.147967,60,79.537665,5640,False
-7.26295,60,79.54574,5700,False
-6.128471,60,79.547358,5760,False
-6.715667,60,82.501192,5820,False
-6.239305,60,82.502191,5880,False
-8.614066,60,82.508185,5940,False
-6.69721,60,82.510187,6000,False
-8.518238,60,86.263064,6060,False
-8.264816,60,86.264064,6120,False
-6.375182,60,86.27305,6180,False
-6.300375,60,86.27305,6240,False
-6.685508,60,89.054114,6300,False
-6.836263,60,89.056114,6360,False
-6.060042,60,89.065109,6420,False
-6.370181,60,89.065109,6480,False
-6.638369,60,92.917615,6540,False
-8.547111,60,92.918615,6600,False
-6.174518,60,92.930601,6660,False
-6.396786,60,92.931601,6720,False
-6.457771,60,95.838285,6780,False
-6.395633,60,95.839288,6840,False
-6.708665,60,95.847289,6900,False
-8.755984,60,95.865288,6960,False
