time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance
1,512,6,-16.754735375,60.0,76,,,,,,,,,,
2,1024,13,-14.85710375,60.0,75,-2.4773571342229843,5.877802565693855,0.014525579,0.0003,0.1716796875,10,-0.035487204673700035,0.2,1.1822657585144043,-0.010289669036865234
3,1536,20,-12.980999500000001,60.0,75,-2.4568129271268844,1.8579349100589753,0.01139009,0.0003,0.081640625,20,-0.022006588242948055,0.2,0.9043359756469727,0.013127744197845459
4,2048,27,-12.320090375,60.0,75,-2.4340462505817415,1.118443862348795,0.01164644,0.0003,0.0720703125,30,-0.018195428024046122,0.2,0.5155869722366333,0.06633007526397705
5,2560,33,-11.549592475,60.0,75,-2.4094298452138903,0.8183656163513661,0.015302095,0.0003,0.098046875,40,-0.01832058378495276,0.2,0.34982651472091675,0.10535949468612671
6,3072,40,-11.005464083333331,60.0,75,-2.3773027271032334,0.6789100650697947,0.010431606,0.0003,0.0875,50,-0.016869097028393298,0.2,0.13240227103233337,0.3998570442199707
7,3584,47,-10.56870005357143,60.0,75,-2.3464681625366213,0.21102455947548152,0.012368152,0.0003,0.076953125,60,-0.017525799898430706,0.2,-0.03785862773656845,0.7423142194747925
8,4096,55,-9.913090485294116,60.0,74,-2.3526440143585203,0.27263933010399344,0.01548725,0.0003,0.1203125,70,-0.01928623631829396,0.2,-0.10937252640724182,0.6077618300914764
9,4608,61,-9.634619749999999,60.0,74,-2.3511035799980164,0.07753530354239047,0.009838732,0.0003,0.0630859375,80,-0.013097862270660699,0.2,-0.145179882645607,0.812743529677391
10,5120,70,-9.363936773809524,60.0,72,-2.343077740073204,0.13312606122344733,0.015392845,0.0003,0.156640625,90,-0.020930799120105804,0.2,-0.08729252219200134,0.661972165107727
11,5632,77,-9.17861070652174,60.0,72,-2.3498104393482206,0.07484600709285587,0.012037957,0.0003,0.155859375,100,-0.018847286840900777,0.2,-0.1315079927444458,0.797453910112381
12,6144,84,-8.98817081,60.0,72,-2.3284034937620164,0.16817091032862663,0.014347495,0.0003,0.1443359375,110,-0.021910536685027182,0.2,-0.041549257934093475,0.5185884237289429
13,6656,91,-8.20189803,60.0,72,-2.3282523185014723,0.14523658510297538,0.01580958,0.0003,0.1361328125,120,-0.020388073957292363,0.2,-0.11375104635953903,0.5788168907165527
14,7168,98,-7.725888629999999,60.0,72,-2.3171099692583086,0.06878856914117933,0.010213606,0.0003,0.046484375,130,-0.010600364359561354,0.2,-0.09930109232664108,0.7738901078701019
15,7680,105,-7.385272649999999,60.0,72,-2.3090320497751238,0.05182683099992573,0.013634823,0.0003,0.1736328125,140,-0.023156054713763297,0.2,-0.14466793835163116,0.796502485871315
16,8192,112,-7.164432670000001,60.0,72,-2.285674998164177,0.06978393751196563,0.01065114,0.0003,0.1265625,150,-0.01591636413359083,0.2,-0.12847678363323212,0.711181640625
17,8704,119,-6.91836534,60.0,72,-2.2641840249300005,0.014141887053847313,0.012984429,0.0003,0.16484375,160,-0.02089324173866771,0.2,-0.14683377742767334,0.9170100912451744
18,9216,126,-6.795377020000001,60.0,72,-2.2592374831438065,0.011736975086387247,0.013287375,0.0003,0.1056640625,170,-0.015659157559275626,0.2,-0.1390528529882431,0.8946342170238495
19,9728,133,-6.72580701,60.0,72,-2.2387672662734985,0.022366399643942714,0.011297837,0.0003,0.0869140625,180,-0.012690041583846323,0.2,-0.10549357533454895,0.6604962944984436
20,10240,140,-6.73038185,60.0,72,-2.206742614507675,0.07293979118112474,0.014881581,0.0003,0.1865234375,190,-0.02606515830848366,0.2,-0.12290365993976593,0.6704942584037781
21,10752,147,-6.649433139999998,60.0,72,-2.1669107139110566,0.009577496055862866,0.012584474,0.0003,0.1388671875,200,-0.018905268743401392,0.2,-0.1286194920539856,0.8862654566764832
22,11264,154,-6.59833305,60.0,73,-2.168879383802414,0.013685240753693506,0.016654648,0.0003,0.1994140625,210,-0.021988943184260278,0.2,-0.10057269781827927,0.8571690618991852
23,11776,161,-6.52725529,60.0,72,-2.069820836186409,0.033658543089404705,0.014697658,0.0003,0.1279296875,220,-0.022513684013392776,0.2,-0.11018916964530945,0.7246813774108887
24,12288,168,-6.468090270000002,60.0,72,-2.1008080363273622,0.018985572480596603,0.012564659,0.0003,0.1001953125,230,-0.012528055656002835,0.2,-0.09094381332397461,0.8208829164505005
25,12800,175,-6.4388467700000005,60.0,72,-2.1526248067617417,0.015047592122573405,0.010880021,0.0003,0.081640625,240,-0.00890871895244345,0.2,-0.15402467548847198,0.867122545838356
26,13312,182,-6.41002753,60.0,72,-2.187593179941177,0.010144813032820822,0.011248089,0.0003,0.116796875,250,-0.015475258603692055,0.2,-0.11472435295581818,0.8912219703197479
27,13824,189,-6.38366872,60.0,72,-2.1710898518562316,0.010423641739180312,0.012414891,0.0003,0.1216796875,260,-0.019632448686752468,0.2,-0.1289341300725937,0.854574590921402
28,14336,196,-6.40457793,60.0,72,-2.156430408358574,0.013629442953970283,0.008191339,0.0003,0.077734375,270,-0.011500007507856935,0.2,-0.09645504504442215,0.837689995765686
29,14848,203,-6.42575469,60.0,72,-2.186488002538681,0.07021534538362176,0.0148769,0.0003,0.137890625,280,-0.015866708051180466,0.2,-0.1384386420249939,0.4950079917907715
30,15360,211,-6.4345503,60.0,72,-2.1675046384334564,0.02308878112817183,0.011619563,0.0003,0.123828125,290,-0.017226196301635355,0.2,-0.12311165779829025,0.8003989458084106
31,15872,218,-6.424559680000001,60.0,72,-2.147676020860672,0.0637976333964616,0.0109856,0.0003,0.093359375,300,-0.01668701065937057,0.2,-0.10761280357837677,0.6886434257030487
32,16384,231,-6.47783365,60.0,70,-2.1988583117723466,0.06039105417439714,0.013580686,0.0003,0.1576171875,310,-0.01537467550369911,0.2,-0.10268201678991318,0.6533719897270203
33,16896,242,-6.468609940000001,60.0,69,-2.2233457803726195,0.030870604375377298,0.010530708,0.0003,0.0671875,320,-0.013247747279820032,0.2,-0.093203604221344,0.75944884121418
34,17408,251,-6.494052700000001,60.0,69,-2.187494605779648,0.008297955919988453,0.013589043,0.0003,0.19140625,330,-0.026062713866122068,0.2,-0.10921168327331543,0.9355637580156326
35,17920,259,-6.503439589999999,60.0,69,-2.1882009744644164,0.06320681378711016,0.013861372,0.0003,0.130859375,340,-0.015337135666050017,0.2,-0.11046644300222397,0.6435781717300415
36,18432,267,-6.51514766,60.0,68,-2.201806777715683,0.06240797328646295,0.012325375,0.0003,0.082421875,350,-0.011994448688346893,0.2,-0.11292660236358643,0.6834852695465088
