r,l,t,cum_timesteps,success_proxy
-6.868105,60,4.291157,60,False
-6.185972,60,4.296165,120,False
-6.733313,60,4.296165,180,False
-6.350746,60,4.299179,240,False
-6.107558,60,8.302763,300,False
-6.101816,60,8.306959,360,False
-6.584427,60,8.309047,420,False
-7.105946,60,8.309047,480,False
-6.443964,60,13.59544,540,False
-6.244124,60,13.597438,600,False
-6.587822,60,13.600021,660,False
-6.633712,60,13.605055,720,False
-7.227859,60,17.49491,780,False
-7.289255,60,17.497209,840,False
-6.466482,60,17.497793,900,False
-6.770446,60,17.499029,960,False
-6.103463,60,22.748939,1020,False
-6.36409,60,22.748939,1080,False
-6.614324,60,22.751947,1140,False
-6.128683,60,22.751947,1200,False
-6.742206,60,26.570152,1260,False
-6.920561,60,26.572151,1320,False
-6.077604,60,26.573149,1380,False
-6.390456,60,26.57415,1440,False
-6.265589,60,31.755326,1500,False
-7.100094,60,31.756325,1560,False
-6.365148,60,31.757325,1620,False
-7.222461,60,31.757325,1680,False
-6.680653,60,35.707143,1740,False
-6.094753,60,35.707143,1800,False
-6.204482,60,35.707143,1860,False
-6.20029,60,35.708142,1920,False
-7.147956,60,42.150752,1980,False
-6.26124,60,42.151706,2040,False
-6.05676,60,42.154705,2100,False
-6.640163,60,42.155706,2160,False
-6.13786,60,46.51903,2220,False
-6.06596,60,46.51903,2280,False
-7.294941,60,46.521033,2340,False
-6.268328,60,46.523062,2400,False
-6.440654,60,52.175122,2460,False
-6.426636,60,52.178121,2520,False
-6.437331,60,52.178121,2580,False
-6.806026,60,52.179121,2640,False
-5.950184,60,56.291077,2700,False
-6.501095,60,56.293081,2760,False
-6.32747,60,56.293081,2820,False
-7.377627,60,56.295078,2880,False
-7.046515,60,61.455503,2940,False
-6.304463,60,61.4575,3000,False
-6.097422,60,61.458523,3060,False
-6.072586,60,61.463412,3120,False
-6.815575,60,65.362012,3180,False
-6.36379,60,65.364008,3240,False
-6.105652,60,65.369538,3300,False
-6.726958,60,65.369538,3360,False
-6.290759,60,70.42933,3420,False
-7.175101,60,70.43133,3480,False
-6.110728,60,70.43133,3540,False
-6.589033,60,70.43333,3600,False
-6.49126,60,74.45708,3660,False
-6.289897,60,74.45708,3720,False
-6.645002,60,74.45708,3780,False
-6.111067,60,74.459205,3840,False
-6.273219,60,78.691406,3900,False
-6.205995,60,78.693403,3960,False
-6.331406,60,78.699403,4020,False
-7.09864,60,78.701404,4080,False
-6.747963,60,84.810748,4140,False
-7.033719,60,84.810748,4200,False
-6.072873,60,84.813784,4260,False
-6.372395,60,84.816803,4320,False
-6.178433,60,88.702783,4380,False
-6.099444,60,88.702783,4440,False
-6.622163,60,88.703784,4500,False
-6.611085,60,88.704783,4560,False
-6.434016,60,93.898692,4620,False
-6.445035,60,93.899729,4680,False
-7.217583,60,93.903415,4740,False
-6.792768,60,93.903415,4800,False
-7.101409,60,97.86521,4860,False
-5.961436,60,97.867201,4920,False
-6.007717,60,97.867201,4980,False
-6.032655,60,97.868202,5040,False
-6.78446,60,102.986689,5100,False
-6.855721,60,102.986689,5160,False
-6.081293,60,102.995685,5220,False
-6.46544,60,102.996684,5280,False
-6.234009,60,106.724103,5340,False
-6.095217,60,106.724103,5400,False
-6.13544,60,106.728734,5460,False
-6.620788,60,106.729253,5520,False
-7.590459,60,111.672119,5580,False
-6.176103,60,111.680556,5640,False
-6.174324,60,111.682554,5700,False
-6.382056,60,111.683554,5760,False
-6.671178,60,115.410473,5820,False
-6.274763,60,115.41147,5880,False
-6.522793,60,115.416465,5940,False
-6.786618,60,115.419472,6000,False
-6.325236,60,120.255764,6060,False
-6.379146,60,120.255764,6120,False
-6.497977,60,120.255764,6180,False
-6.184081,60,120.259017,6240,False
-6.593595,60,123.982313,6300,False
-6.498651,60,123.982313,6360,False
-6.052244,60,123.985313,6420,False
-6.389682,60,123.986315,6480,False
-6.650226,60,128.850926,6540,False
-6.557871,60,128.856441,6600,False
-6.167416,60,128.856441,6660,False
-6.501849,60,128.857456,6720,False
-6.587846,60,132.677965,6780,False
-6.391559,60,132.681703,6840,False
-6.615243,60,132.684765,6900,False
-6.213427,60,132.685823,6960,False
-6.460622,60,137.493342,7020,False
-7.644893,60,137.494353,7080,False
-6.237343,60,137.502566,7140,False
-6.051927,60,137.503565,7200,False
-6.120041,60,141.174218,7260,False
-6.838656,60,141.178234,7320,False
-6.144691,60,141.178234,7380,False
-6.167306,60,141.179241,7440,False
-6.865467,60,144.822807,7500,False
-6.529285,60,144.82512,7560,False
-6.004742,60,144.828121,7620,False
-6.13722,60,144.829487,7680,False
-5.90446,60,149.63487,7740,False
-6.744469,60,149.63487,7800,False
-6.224959,60,149.640188,7860,False
-6.20923,60,149.641188,7920,False
-6.179598,60,153.379663,7980,False
-6.68832,60,153.379663,8040,False
-7.109442,60,153.388074,8100,False
-6.258673,60,153.388074,8160,False
-7.086168,60,158.307588,8220,False
-5.979424,60,158.308585,8280,False
-6.017555,60,158.315587,8340,False
-5.916154,60,158.318587,8400,False
-6.032733,60,161.981126,8460,False
-5.855882,60,161.981126,8520,False
-6.140031,60,161.983122,8580,False
-6.245053,60,161.983122,8640,False
-6.191114,60,166.829275,8700,False
-7.218765,60,166.830276,8760,False
-7.503343,60,166.832275,8820,False
-5.963449,60,166.832275,8880,False
-6.405315,60,170.575871,8940,False
-6.391772,60,170.579907,9000,False
-7.018978,60,170.580902,9060,False
-6.466257,60,170.5869,9120,False
-6.064811,60,175.374821,9180,False
-5.944353,60,175.374821,9240,False
-5.765779,60,175.374821,9300,False
-5.838218,60,175.37582,9360,False
-7.269876,60,179.111044,9420,False
-6.150935,60,179.112092,9480,False
-6.522011,60,179.112092,9540,False
-5.979228,60,179.11409,9600,False
-5.819617,60,183.988001,9660,False
