#{"t_start": 1785166315.9621024, "env_id": "None"}
r,l,t
-6.868105,60,4.291157
-7.105946,60,8.309047
-6.244124,60,13.597438
-7.227859,60,17.49491
-6.614324,60,22.751947
-6.390456,60,26.57415
-6.365148,60,31.757325
-6.680653,60,35.707143
-6.26124,60,42.151706
-7.294941,60,46.521033
-6.426636,60,52.178121
-6.32747,60,56.293081
-6.097422,60,61.458523
-6.726958,60,65.369538
-6.290759,60,70.42933
-6.111067,60,74.459205
-6.331406,60,78.699403
-6.747963,60,84.810748
-6.611085,60,88.704783
-6.434016,60,93.898692
-7.101409,60,97.86521
-6.46544,60,102.996684
-6.620788,60,106.729253
-6.176103,60,111.680556
-6.671178,60,115.410473
-6.497977,60,120.255764
-6.498651,60,123.982313
-6.650226,60,128.850926
-6.615243,60,132.684765
-6.051927,60,137.503565
-6.838656,60,141.178234
-6.004742,60,144.828121
-6.20923,60,149.641188
-6.258673,60,153.388074
-6.017555,60,158.315587
-6.032733,60,161.981126
-5.963449,60,166.832275
-6.466257,60,170.5869
-5.944353,60,175.374821
-6.150935,60,179.112092
-5.981624,60,183.994001
-6.148529,60,187.702131
-5.879125,60,192.571674
-7.206263,60,196.267541
-5.7485,60,201.231702
-6.079185,60,204.946858
-5.597002,60,209.846686
-5.575817,60,213.548859
-6.983033,60,217.290518
-6.05711,60,222.090158
-7.361738,60,225.812148
-6.223305,60,230.683282
-5.823124,60,234.397462
-7.293341,60,239.230344
-7.168293,60,243.151716
-6.587029,60,247.933424
-7.154539,60,251.637901
-7.138398,60,256.406708
-6.348003,60,260.18271
-6.760005,60,265.081429
-7.322743,60,268.748782
-5.343819,60,273.520379
-6.375179,60,277.22822
-6.809617,60,280.875736
-7.593088,60,285.649463
-5.97933,60,289.340308
-7.452405,60,294.231725
-7.760873,60,297.891948
-5.963214,60,302.757102
-5.878839,60,306.636834
-7.401238,60,311.396568
-7.124233,60,315.093709
-5.717729,60,319.989432
-5.957163,60,323.690278
-5.847475,60,328.368407
-7.203929,60,332.1082
-7.431581,60,336.996479
-6.20357,60,341.264491
-6.860978,60,346.195688
-6.703794,60,350.28609
-5.684143,60,353.978871
-5.911304,60,358.983864
-5.811159,60,362.632369
-7.556046,60,367.372388
-6.824932,60,371.042775
-7.654331,60,375.844303
-6.745323,60,379.507537
-6.0505,60,384.370662
-7.5518,60,387.913525
-7.007711,60,392.833173
-6.625443,60,396.466092
-7.21624,60,401.174741
-7.334333,60,404.878307
-7.685111,60,409.759913
-6.366084,60,413.374122
-6.976769,60,416.9671
-6.718558,60,421.847127
-5.850276,60,425.533128
-5.8737,60,430.373067
-6.069765,60,434.025434
-5.873725,60,438.902137
-6.187825,60,442.60174
-7.007809,60,447.348454
-7.359648,60,451.029915
-6.196568,60,455.76516
-6.974831,60,459.518329
-6.43855,60,464.192525
-7.502848,60,467.803622
-7.073457,60,472.625753
-6.336336,60,476.296782
-6.04389,60,481.069174
-6.299796,60,484.936751
-6.906517,60,488.821376
-6.405,60,494.429662
-7.324197,60,498.863693
-7.026313,60,503.656763
-7.537921,60,507.319573
-6.134144,60,512.153337
-6.400991,60,515.899029
-6.276876,60,521.233816
-5.673071,60,525.152279
-6.625423,60,529.917731
-7.220574,60,533.602302
-7.183293,60,538.340973
-6.11324,60,541.943498
-7.170141,60,546.68899
-6.65647,60,550.347292
-7.214372,60,554.016979
-6.831285,60,558.848854
-6.062675,60,562.504416
-6.042746,60,567.300595
-6.334896,60,570.945904
-7.059398,60,575.779051
-5.869606,60,579.453571
-6.39769,60,584.215024
-5.959558,60,587.907259
-7.092234,60,592.669099
-7.287889,60,596.369736
-7.118361,60,601.14531
-5.696399,60,604.680063
-5.905249,60,609.279152
-6.172311,60,612.832776
-6.713536,60,617.476254
-7.984046,60,621.0199
-7.064024,60,624.62336
-6.451336,60,629.343534
-5.705775,60,632.873111
-7.316358,60,637.584006
-5.85974,60,641.106912
-6.291112,60,645.850571
-5.899835,60,649.487366
-6.54726,60,654.168218
-7.486039,60,657.749834
-6.496834,60,662.38646
-7.366856,60,666.01055
-7.351106,60,670.679239
-5.633328,60,674.287099
-6.640426,60,678.930873
-6.057012,60,682.501722
-6.14417,60,686.052376
-6.549821,60,690.720491
-6.434211,60,694.329818
-6.604838,60,698.995467
-6.003876,60,702.470504
-6.337517,60,707.187814
-6.891915,60,710.718015
-6.243307,60,715.399772
-5.320405,60,718.847248
