r,l,t,cum_timesteps,success_proxy
-6.733313,60,10.146467,60,False
-6.868105,60,10.160042,120,False
-6.185972,60,10.167067,180,False
-6.350746,60,10.171066,240,False
-6.107558,60,13.489037,300,False
-6.101816,60,13.499623,360,False
-7.105946,60,13.500622,420,False
-6.584427,60,13.501622,480,False
-6.633712,60,17.981349,540,False
-6.443964,60,17.984936,600,False
-6.587822,60,17.984936,660,False
-6.244124,60,17.996044,720,False
-6.558802,60,21.367985,780,False
-6.770446,60,21.378571,840,False
-7.289255,60,21.384573,900,False
-7.227859,60,21.389579,960,False
-6.099422,60,25.756772,1020,False
-6.371467,60,25.76436,1080,False
-6.151684,60,25.76436,1140,False
-6.607864,60,25.768357,1200,False
-6.082229,60,29.040997,1260,False
-6.742206,60,29.054574,1320,False
-6.324564,60,29.057583,1380,False
-7.085921,60,29.064602,1440,False
-6.265833,60,33.372892,1500,False
-6.37516,60,33.38446,1560,False
-7.0478,60,33.388834,1620,False
-7.234015,60,33.390831,1680,False
-6.20029,60,36.621768,1740,False
-6.765801,60,36.627338,1800,False
-6.09539,60,36.629335,1860,False
-6.213379,60,36.640266,1920,False
-6.057094,60,41.083912,1980,False
-7.211044,60,41.088497,2040,False
-6.26124,60,41.088497,2100,False
-6.641138,60,41.097495,2160,False
-6.139692,60,44.363767,2220,False
-6.268328,60,44.373352,2280,False
-7.183243,60,44.377349,2340,False
-6.076623,60,44.380357,2400,False
-6.43708,60,48.710261,2460,False
-6.440995,60,48.720847,2520,False
-6.420961,60,48.720847,2580,False
-6.638571,60,48.722846,2640,False
-6.114565,60,52.232331,2700,False
-6.263393,60,52.237907,2760,False
-6.522867,60,52.244913,2820,False
-7.211723,60,52.246876,2880,False
-6.304378,60,56.644511,2940,False
-6.885654,60,56.65409,3000,False
-6.110487,60,56.65409,3060,False
-6.071254,60,56.655097,3120,False
-6.893932,60,60.05394,3180,False
-6.735119,60,60.064525,3240,False
-6.346077,60,60.070637,3300,False
-6.134272,60,60.070637,3360,False
-6.591597,60,64.3379,3420,False
-7.304419,60,64.349489,3480,False
-6.363559,60,64.351484,3540,False
-6.145072,60,64.351484,3600,False
-6.662198,60,67.636206,3660,False
-6.115209,60,67.639821,3720,False
-6.146293,60,67.639821,3780,False
-6.435504,60,67.646791,3840,False
-6.330213,60,70.886376,3900,False
-6.284713,60,70.890358,3960,False
-6.799641,60,70.892312,4020,False
-6.327681,60,70.89634,4080,False
-6.1417,60,75.193035,4140,False
-6.557355,60,75.203621,4200,False
-6.329507,60,75.205627,4260,False
-6.971814,60,75.208622,4320,False
-6.201251,60,78.485476,4380,False
-6.646905,60,78.496062,4440,False
-6.636279,60,78.497062,4500,False
-6.076131,60,78.498056,4560,False
-7.034793,60,82.936725,4620,False
-6.43751,60,82.940308,4680,False
-7.252895,60,82.942314,4740,False
-6.541113,60,82.944314,4800,False
-6.055179,60,86.174942,4860,False
-6.065582,60,86.190857,4920,False
-7.12488,60,86.192044,4980,False
-6.113311,60,86.196144,5040,False
-6.910651,60,90.628501,5100,False
-6.845415,60,90.640092,5160,False
-6.117005,60,90.641085,5220,False
-6.664959,60,90.642016,5280,False
-6.101114,60,93.840208,5340,False
-6.383728,60,93.846069,5400,False
-6.616266,60,93.846069,5460,False
-6.061392,60,93.848061,5520,False
-6.209551,60,98.180411,5580,False
-6.194266,60,98.187176,5640,False
-6.449083,60,98.193832,5700,False
-7.49649,60,98.196108,5760,False
-6.267861,60,101.505551,5820,False
-6.842929,60,101.510131,5880,False
-6.566435,60,101.514128,5940,False
-6.415985,60,101.517225,6000,False
-6.256186,60,105.946376,6060,False
-6.426695,60,105.953962,6120,False
-6.513381,60,105.957962,6180,False
-6.2552,60,105.966957,6240,False
-6.397517,60,109.390633,6300,False
-6.416575,60,109.401219,6360,False
-6.041793,60,109.4022,6420,False
-6.710126,60,109.4022,6480,False
-6.669306,60,113.688147,6540,False
-6.483622,60,113.688554,6600,False
-6.602173,60,113.689141,6660,False
-6.16994,60,113.69414,6720,False
-6.54845,60,117.102941,6780,False
-6.387443,60,117.116565,6840,False
-6.322967,60,117.117556,6900,False
-6.536081,60,117.118536,6960,False
-6.525737,60,121.373033,7020,False
-6.040087,60,121.382654,7080,False
-7.573081,60,121.38466,7140,False
-6.263566,60,121.386618,7200,False
-6.167747,60,124.635355,7260,False
-6.755052,60,124.644938,7320,False
-6.19985,60,124.647938,7380,False
-6.312142,60,124.648887,7440,False
-6.70936,60,127.767591,7500,False
-5.862443,60,127.779172,7560,False
-6.507791,60,127.780176,7620,False
-6.151653,60,127.782172,7680,False
-5.873852,60,132.126433,7740,False
-6.237965,60,132.131578,7800,False
-6.794559,60,132.132582,7860,False
-6.20282,60,132.136026,7920,False
-6.290937,60,135.371816,7980,False
-7.086336,60,135.380405,8040,False
-6.128013,60,135.384398,8100,False
-6.689937,60,135.385397,8160,False
-6.032691,60,139.73256,8220,False
-5.987451,60,139.735982,8280,False
-5.997872,60,139.738566,8340,False
-7.084232,60,139.739564,8400,False
-5.939307,60,143.003267,8460,False
-5.948563,60,143.008851,8520,False
-5.867682,60,143.011857,8580,False
-5.952803,60,143.020852,8640,False
-7.396874,60,147.344631,8700,False
-7.250194,60,147.355217,8760,False
-6.383905,60,147.361357,8820,False
-6.066031,60,147.36236,8880,False
-6.442167,60,150.61149,8940,False
-7.030101,60,150.626083,9000,False
-6.469462,60,150.627077,9060,False
-6.767129,60,150.634024,9120,False
-6.065859,60,154.997588,9180,False
-5.976028,60,155.005174,9240,False
-5.883422,60,155.007171,9300,False
-5.713225,60,155.015202,9360,False
-6.64626,60,158.475458,9420,False
-7.35423,60,158.478121,9480,False
-6.153674,60,158.480087,9540,False
-6.000948,60,158.483584,9600,False
-6.076403,60,163.621587,9660,False
-5.971145,60,163.624174,9720,False
