#{"t_start": 1785168994.73639, "env_id": "None"}
r,l,t
-6.733313,60,10.146467
-6.107558,60,13.489037
-6.633712,60,17.981349
-6.558802,60,21.367985
-6.099422,60,25.756772
-6.082229,60,29.040997
-6.265833,60,33.372892
-6.20029,60,36.621768
-6.057094,60,41.083912
-6.139692,60,44.363767
-6.43708,60,48.710261
-6.114565,60,52.232331
-6.304378,60,56.644511
-6.893932,60,60.05394
-6.591597,60,64.3379
-6.662198,60,67.636206
-6.284713,60,70.890358
-6.1417,60,75.193035
-6.201251,60,78.485476
-7.034793,60,82.936725
-6.055179,60,86.174942
-6.910651,60,90.628501
-6.101114,60,93.840208
-6.209551,60,98.180411
-6.267861,60,101.505551
-6.256186,60,105.946376
-6.397517,60,109.390633
-6.483622,60,113.688554
-6.54845,60,117.102941
-6.525737,60,121.373033
-6.167747,60,124.635355
-6.70936,60,127.767591
-5.873852,60,132.126433
-6.290937,60,135.371816
-5.987451,60,139.735982
-5.939307,60,143.003267
-7.396874,60,147.344631
-6.442167,60,150.61149
-6.065859,60,154.997588
-6.64626,60,158.475458
-6.076403,60,163.621587
-6.737121,60,166.889506
-5.532204,60,171.189551
-6.146298,60,174.505547
-5.856098,60,179.456327
-6.149514,60,182.733657
-5.744312,60,187.065663
-6.086562,60,190.450135
-6.589181,60,193.74942
-6.410158,60,198.073191
-7.417118,60,201.271392
-6.041698,60,206.648697
-5.988439,60,210.329323
-6.038517,60,214.995692
-5.876043,60,218.255198
-6.995873,60,222.667332
-6.479316,60,225.985842
-5.878655,60,230.323084
-7.178359,60,233.642469
-6.156992,60,238.007087
-6.371437,60,241.221101
-6.088868,60,245.546922
-5.515105,60,248.849173
-6.838512,60,252.059872
-5.530923,60,256.425769
-7.486849,60,259.664648
-6.375379,60,264.047479
-7.100071,60,267.361946
-6.040716,60,271.6222
-6.362128,60,274.892329
-6.162229,60,279.150937
-6.019282,60,282.443524
-6.72011,60,286.752964
-6.582763,60,290.031338
-6.565373,60,294.329025
-6.470373,60,297.585346
-6.243426,60,301.865567
-6.751835,60,305.225321
-7.331009,60,309.497128
-6.308824,60,312.960413
-7.263229,60,316.158965
-5.843167,60,320.437979
-7.027316,60,323.815774
-6.557584,60,328.375347
-6.016167,60,331.537281
-7.148807,60,335.958278
-6.990966,60,339.210993
-6.691683,60,343.541108
-6.709028,60,346.736011
-6.452376,60,351.018411
-7.510295,60,354.368369
-7.047903,60,358.5702
-6.514146,60,361.762546
-7.162946,60,366.059707
-7.210395,60,369.809823
-6.462947,60,373.158908
-7.519804,60,377.440697
-6.17627,60,381.546646
-6.220539,60,385.896626
-6.088003,60,389.1792
-6.071219,60,393.435884
-6.471084,60,396.700385
-6.075646,60,401.032711
-6.030169,60,404.344363
-6.188418,60,408.61024
-6.095959,60,411.836251
-6.939646,60,416.144697
-6.858442,60,419.401146
-7.8907,60,423.615844
-6.194342,60,426.806679
-6.301286,60,431.081475
-6.009897,60,434.344091
-6.506917,60,437.594278
-5.955464,60,441.809876
-6.092145,60,445.138719
-6.429363,60,449.372101
-6.116946,60,452.617449
-7.239376,60,456.90474
-6.397264,60,460.163206
-6.365315,60,464.5367
-5.780159,60,467.783807
-6.173343,60,472.029265
-6.238623,60,475.383115
-6.049811,60,479.667628
-6.067724,60,482.917188
-6.419518,60,487.141982
-6.125053,60,490.463818
-5.897759,60,493.735724
-6.37389,60,498.020009
-7.45449,60,501.227707
-7.636995,60,505.598416
-6.10148,60,508.83251
-6.364008,60,513.673134
-6.660142,60,517.552036
-6.168993,60,522.39799
-6.12777,60,526.441731
-6.461502,60,531.083761
-7.413692,60,534.784233
-6.164374,60,539.788753
-7.422326,60,543.471071
-6.8666,60,549.175771
-7.033364,60,553.320246
-6.39468,60,558.27485
-7.071501,60,561.957385
-5.770903,60,566.062204
-6.386184,60,570.947609
-7.325707,60,574.77077
-7.015052,60,579.668102
-6.510644,60,583.526331
-6.837338,60,588.96887
-6.105651,60,593.391068
-5.907022,60,599.279546
-6.763275,60,603.234703
-7.430875,60,608.083346
-6.847289,60,612.132917
-7.584829,60,617.107107
-7.026971,60,620.748967
-6.585003,60,625.527174
-6.870228,60,629.25228
-7.619314,60,632.945499
-6.710064,60,637.717239
-6.676286,60,641.448268
-6.775275,60,646.291818
-6.186407,60,649.939616
-6.393944,60,654.734781
-5.758969,60,658.369498
-7.387214,60,663.19725
-6.203825,60,666.799466
