#{"t_start": 1785168994.7258043, "env_id": "None"}
r,l,t
-6.350746,60,10.171066
-6.584427,60,13.501622
-6.587822,60,17.984936
-7.289255,60,21.384573
-6.371467,60,25.76436
-7.085921,60,29.064602
-7.234015,60,33.390831
-6.213379,60,36.640266
-7.211044,60,41.088497
-6.076623,60,44.380357
-6.440995,60,48.720847
-6.522867,60,52.244913
-6.071254,60,56.655097
-6.346077,60,60.070637
-7.304419,60,64.349489
-6.146293,60,67.639821
-6.330213,60,70.886376
-6.971814,60,75.208622
-6.076131,60,78.498056
-7.252895,60,82.942314
-6.065582,60,86.190857
-6.845415,60,90.640092
-6.061392,60,93.848061
-7.49649,60,98.196108
-6.415985,60,101.517225
-6.426695,60,105.953962
-6.041793,60,109.4022
-6.16994,60,113.69414
-6.387443,60,117.116565
-6.263566,60,121.386618
-6.312142,60,124.648887
-6.507791,60,127.780176
-6.794559,60,132.132582
-6.689937,60,135.385397
-7.084232,60,139.739564
-5.952803,60,143.020852
-6.383905,60,147.361357
-7.030101,60,150.626083
-5.883422,60,155.007171
-6.000948,60,158.483584
-7.203236,60,163.631171
-6.202454,60,166.894094
-6.026738,60,171.197135
-6.196048,60,174.514251
-6.999585,60,179.47392
-5.835933,60,182.745243
-7.471086,60,187.077249
-6.03743,60,190.459724
-6.341086,60,193.765001
-5.98917,60,198.081774
-6.98042,60,201.279011
-6.257546,60,206.687282
-6.438065,60,210.338909
-6.479198,60,215.010282
-6.405403,60,218.255813
-6.196004,60,222.671395
-6.141797,60,225.996428
-5.924041,60,230.33367
-6.12105,60,233.654075
-5.713154,60,238.017673
-6.622083,60,241.232688
-6.232193,60,245.567541
-6.96486,60,248.859758
-6.781659,60,252.071455
-6.382176,60,256.440355
-5.898433,60,259.676232
-7.4702,60,264.062605
-6.682503,60,267.374534
-6.259415,60,271.632786
-6.231398,60,274.901919
-6.14847,60,279.160506
-7.215856,60,282.45411
-6.496032,60,286.755551
-6.095455,60,290.043921
-6.292992,60,294.346612
-6.335015,60,297.590784
-6.567438,60,301.876153
-7.310863,60,305.231921
-6.362294,60,309.508715
-6.304729,60,312.972001
-6.070977,60,316.161549
-5.769268,60,320.448564
-6.024649,60,323.832366
-7.740822,60,328.390932
-5.910328,60,331.546901
-7.044345,60,335.966877
-6.259525,60,339.226576
-6.869525,60,343.548696
-5.997699,60,346.742604
-5.80453,60,351.028001
-6.153276,60,354.379954
-6.743069,60,358.577785
-6.777449,60,361.773131
-6.093806,60,366.069292
-6.001602,60,369.820408
-6.289741,60,373.176498
-5.95783,60,377.450284
-5.964693,60,381.570199
-7.956089,60,385.907212
-7.386625,60,389.189786
-7.519419,60,393.444465
-6.00131,60,396.707763
-7.188784,60,401.04645
-7.121572,60,404.359432
-7.438042,60,408.621811
-7.475852,60,411.840271
-7.076726,60,416.157282
-6.229028,60,419.409728
-7.612592,60,423.629509
-6.238893,60,426.807162
-6.278755,60,431.09206
-7.1756,60,434.357676
-6.55225,60,437.606856
-6.125547,60,441.828458
-6.168163,60,445.146307
-5.971618,60,449.379741
-5.684898,60,452.636033
-7.11943,60,456.916321
-6.537844,60,460.184323
-5.852406,60,464.552268
-7.318665,60,467.792372
-6.085088,60,472.038852
-6.693168,60,475.393701
-6.055209,60,479.683174
-6.456828,60,482.930779
-6.425975,60,487.149568
-7.150125,60,490.469134
-6.393977,60,493.747449
-6.028984,60,498.030594
-6.154864,60,501.244843
-6.055269,60,505.609001
-6.681237,60,508.842091
-6.069474,60,513.679723
-5.988969,60,517.563617
-5.641325,60,522.411567
-6.441707,60,526.455317
-5.957101,60,531.095347
-7.027912,60,534.788818
-6.270998,60,539.803336
-6.575549,60,543.482652
-5.745451,60,549.182359
-5.389856,60,553.333834
-6.823462,60,558.285436
-6.296705,60,561.966968
-6.478743,60,566.076824
-5.847381,60,570.950186
-6.208797,60,574.781356
-6.710998,60,579.679688
-7.394769,60,583.536917
-7.234036,60,588.977493
-5.745933,60,593.402655
-6.054156,60,599.290752
-5.568753,60,603.250365
-5.257658,60,608.095904
-6.443629,60,612.141507
-6.158431,60,617.126343
-7.283588,60,620.765552
-5.981382,60,625.53776
-6.035251,60,629.262866
-6.565784,60,632.962089
-6.025921,60,637.738379
-7.172213,60,641.459853
-5.866924,60,646.301403
-6.681289,60,649.953201
-6.07909,60,654.744374
-5.934147,60,658.377106
-7.739902,60,663.204828
-6.569131,60,666.810052
