time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss
1,60.0,63,512,-6.504735375,8,,,,,,,,,,
2,60.0,62,1024,-6.6121166875,16,0.019622307,0.0003,-0.01912035048007965,10,0.2,0.146484375,-0.1548711061477661,0.8111316541209816,-2.475921967625618,-0.019858955149538816
3,60.0,63,1536,-6.552467666666666,24,0.013664842,0.0003,-0.11956996470689774,20,0.2,0.083984375,0.39445924758911133,0.28136090859770774,-2.4641696244478224,-0.013699050270952284
4,60.0,63,2048,-6.545527874999999,32,0.012544412,0.0003,-0.1311216801404953,30,0.2,0.090234375,0.336891770362854,0.07461587376892567,-2.460180789232254,-0.01351323090493679
5,60.0,63,2560,-6.532382349999999,40,0.011891686,0.0003,-0.12473087757825851,40,0.2,0.0763671875,-1.1634390354156494,0.05047617207746953,-2.455253353714943,-0.015240514650940895
6,60.0,63,3072,-6.5280301875,48,0.01152148,0.0003,-0.11677445471286774,50,0.2,0.0556640625,-0.9787514209747314,0.042754538625013085,-2.449747347831726,-0.009629072376992554
7,60.0,63,3584,-6.5147611071428555,56,0.011291191,0.0003,-0.1346782147884369,60,0.2,0.0677734375,0.08040815591812134,0.04066284648142755,-2.444375053048134,-0.014840018446557223
8,60.0,62,4096,-6.504892955882353,65,0.0109608555,0.0003,-0.1335899382829666,70,0.2,0.0931640625,0.5356283485889435,0.029084749915637077,-2.4478680580854415,-0.015839937585406007
9,60.0,62,4608,-6.498600828947367,73,0.013417646,0.0003,-0.12820324301719666,80,0.2,0.0787109375,0.8214444369077682,0.012729635118739679,-2.435347592830658,-0.019936913438141347
10,60.0,62,5120,-6.506177690476187,81,0.012090607,0.0003,-0.14604304730892181,90,0.2,0.1171875,0.9240786135196686,0.008436855842592194,-2.4053198426961897,-0.020482464134693144
11,60.0,63,5632,-6.502385391304347,89,0.009771569,0.0003,-0.1344001740217209,100,0.2,0.080078125,0.8988323509693146,0.010532666783547029,-2.402995651960373,-0.01399237490259111
12,60.0,63,6144,-6.50662056,97,0.0181037,0.0003,-0.17281627655029297,110,0.2,0.23203125,0.8883665204048157,0.00878982339054346,-2.4022563964128496,-0.0272120017092675
13,60.0,63,6656,-6.496416459999998,105,0.00972118,0.0003,-0.14512281119823456,120,0.2,0.04921875,0.925463430583477,0.006333607897977345,-2.405426102876663,-0.011498166096862406
14,60.0,63,7168,-6.476056439999999,113,0.009964494,0.0003,-0.11712378263473511,130,0.2,0.083984375,0.9464661739766598,0.004798902038601227,-2.3932162672281265,-0.01263084280944895
15,60.0,62,7680,-6.46285988,122,0.010829237,0.0003,-0.1410396695137024,140,0.2,0.07578125,0.9364202544093132,0.006267917109653354,-2.3822552472352982,-0.018076258775545286
16,60.0,63,8192,-6.46145031,129,0.009587267,0.0003,-0.14170975983142853,150,0.2,0.079296875,0.9419218339025974,0.0057626502675702795,-2.3644716322422026,-0.015327994164545089
17,60.0,63,8704,-6.43350139,137,0.01158849,0.0003,-0.15970459580421448,160,0.2,0.1294921875,0.9255995377898216,0.00751449772506021,-2.3396664768457414,-0.019340507290326058
18,60.0,63,9216,-6.45671681,145,0.01333712,0.0003,-0.10119058936834335,170,0.2,0.1130859375,0.8748855292797089,0.013412463280837983,-2.321552774310112,-0.020819797547301278
19,60.0,63,9728,-6.429512800000001,154,0.008409942,0.0003,-0.13795782625675201,180,0.2,0.041015625,0.7086969912052155,0.019648614746984094,-2.3172104567289353,-0.008641430886927991
20,60.0,62,10240,-6.4241150099999995,162,0.01447371,0.0003,-0.15677233040332794,190,0.2,0.10546875,0.8859918713569641,0.009367340273456648,-2.2789169758558274,-0.01725605355168227
21,60.0,62,10752,-6.402296950000001,171,0.010602162,0.0003,-0.14570766687393188,200,0.2,0.0640625,0.8232053369283676,0.01117561741557438,-2.2188026756048203,-0.012902287009637803
22,60.0,62,11264,-6.372952549999999,179,0.011990474,0.0003,-0.14514094591140747,210,0.2,0.087890625,0.8673458695411682,0.012932605191599578,-2.1691604137420653,-0.01757863031234592
23,60.0,62,11776,-6.34484506,188,0.014796636,0.0003,-0.1368662416934967,220,0.2,0.12109375,0.839122548699379,0.01357753022457473,-2.17681128680706,-0.01053005075082183
24,60.0,62,12288,-6.34896123,196,0.009269368,0.0003,-0.0991806909441948,230,0.2,0.06171875,0.858200192451477,0.013170596823329106,-2.218935579061508,-0.014387299783993512
25,60.0,62,12800,-6.337802330000001,205,0.014327011,0.0003,-0.15477247536182404,240,0.2,0.1484375,0.872634083032608,0.01100420979782939,-2.2795397132635116,-0.01585390311665833
26,60.0,62,13312,-6.329628200000001,213,0.01385963,0.0003,-0.13993017375469208,250,0.2,0.0904296875,0.8537566661834717,0.011308997019659728,-2.290518042445183,-0.015958430705359204
27,60.0,62,13824,-6.329547570000001,221,0.010511346,0.0003,-0.12811799347400665,260,0.2,0.1244140625,0.7598103135824203,0.013390874164178968,-2.2687097787857056,-0.020168604352511464
28,60.0,62,14336,-6.33093401,229,0.010274317,0.0003,-0.11255645751953125,270,0.2,0.1005859375,0.8936000540852547,0.008378004084806889,-2.253929430246353,-0.018256480735726655
29,60.0,62,14848,-6.354755610000001,237,0.012445817,0.0003,-0.14232765138149261,280,0.2,0.1033203125,0.8903816416859627,0.008276174345519393,-2.2291016817092895,-0.017942391452379525
30,60.0,62,15360,-6.3287492400000005,246,0.013364382,0.0003,-0.1442968100309372,290,0.2,0.110546875,0.7705201655626297,0.023104084411170334,-2.2374202430248262,-0.015731889655580745
31,60.0,62,15872,-6.337111719999999,254,0.012578046,0.0003,-0.11443661153316498,300,0.2,0.1115234375,0.801835760474205,0.0184336916427128,-2.2756275326013564,-0.015057352301664651
32,60.0,62,16384,-6.400367109999999,262,0.014212152,0.0003,-0.14639879763126373,310,0.2,0.165234375,0.8209391534328461,0.018124001228716224,-2.326050826907158,-0.019818280229810626
33,60.0,62,16896,-6.38559158,270,0.011317654,0.0003,-0.07611740380525589,320,0.2,0.1185546875,0.8145428597927094,0.0232477618730627,-2.3450459450483323,-0.0197120193275623
34,60.0,62,17408,-6.411739669999999,277,0.0119058415,0.0003,-0.17389072477817535,330,0.2,0.0931640625,0.9348765537142754,0.007608804688788951,-2.3162448406219482,-0.020689012756338342
35,60.0,62,17920,-6.418788770000001,285,0.015821772,0.0003,-0.1650020182132721,340,0.2,0.1328125,0.8198543041944504,0.017351702461019157,-2.3382002115249634,-0.016861181164858862
36,60.0,62,18432,-6.4142472,293,0.013454967,0.0003,-0.13668109476566315,350,0.2,0.11484375,0.9612280838191509,0.0032524882088182496,-2.3256507962942123,-0.019048349233344197
37,60.0,62,18944,-6.441261820000001,301,0.013207029,0.0003,-0.14106325805187225,360,0.2,0.1255859375,0.9388875477015972,0.006871361981029622,-2.294133350253105,-0.019604895875090733
38,60.0,62,19456,-6.45302432,310,0.013091177,0.0003,-0.13473007082939148,370,0.2,0.1095703125,0.9333791807293892,0.008448355313157662,-2.2757855623960497,-0.019353322649840264
39,60.0,62,19968,-6.444279429999999,318,0.013222944,0.0003,-0.13946186006069183,380,0.2,0.1384765625,0.9305327162146568,0.008654600783484057,-2.2284708857536315,-0.02339124622521922
