r,l,t,cum_timesteps,success_proxy
-20.733313,60,11.918624,60,False
-18.185972,60,11.982414,120,False
-22.350746,60,11.984413,180,False
-10.868105,60,11.988398,240,False
-16.107558,60,15.584901,300,False
-16.101816,60,15.650637,360,False
-16.584427,60,15.660664,420,False
-13.105946,60,15.660664,480,False
-10.630522,60,20.866203,540,False
-8.240202,60,20.932345,600,False
-18.553949,60,20.934451,660,False
-12.442221,60,20.940039,720,False
-12.583002,60,24.407165,780,False
-11.223666,60,24.470945,840,False
-10.860741,60,24.480947,900,False
-17.179594,60,24.482946,960,False
-6.102406,60,29.483238,1020,False
-6.162643,60,29.552018,1080,False
-8.369586,60,29.553015,1140,False
-8.702705,60,29.554017,1200,False
-10.113848,60,33.82639,1260,False
-9.222758,60,33.897169,1320,False
-6.937367,60,33.898144,1380,False
-12.287717,60,33.90214,1440,False
-12.423289,60,39.701376,1500,False
-9.105526,60,39.767154,1560,False
-6.356873,60,39.772156,1620,False
-7.214007,60,39.773155,1680,False
-10.391007,60,43.654826,1740,False
-10.114445,60,43.727603,1800,False
-14.233562,60,43.727609,1860,False
-8.794904,60,43.729602,1920,False
-6.037787,60,48.373809,1980,False
-6.9277,60,48.442607,2040,False
-10.685772,60,48.443592,2100,False
-6.279654,60,48.445591,2160,False
-10.126619,60,51.70722,2220,False
-6.064153,60,51.777999,2280,False
-6.232945,60,51.777999,2340,False
-7.067334,60,51.780989,2400,False
-6.887263,60,56.003369,2460,False
-8.667677,60,56.07215,2520,False
-6.446202,60,56.074148,2580,False
-6.436488,60,56.075658,2640,False
-6.183939,60,59.451843,2700,False
-6.897102,60,59.51763,2760,False
-8.568465,60,59.525621,2820,False
-6.277534,60,59.525621,2880,False
-6.336513,60,64.095393,2940,False
-8.910851,60,64.169178,3000,False
-8.106801,60,64.170174,3060,False
-6.098422,60,64.170174,3120,False
-6.752083,60,68.675774,3180,False
-6.372133,60,68.729545,3240,False
-6.708552,60,68.738552,3300,False
-6.166403,60,68.74555,3360,False
-6.549819,60,74.136423,3420,False
-6.333932,60,74.204635,3480,False
-6.113007,60,74.208198,3540,False
-7.465635,60,74.209192,3600,False
-6.638487,60,77.964906,3660,False
-6.601652,60,78.034687,3720,False
-8.120804,60,78.035685,3780,False
-6.274026,60,78.037679,3840,False
-6.383871,60,81.002936,3900,False
-7.025749,60,81.076714,3960,False
-6.297855,60,81.076774,4020,False
-6.419271,60,81.078712,4080,False
-6.139236,60,85.309866,4140,False
-6.674815,60,85.377872,4200,False
-6.471118,60,85.381135,4260,False
-7.092396,60,85.38573,4320,False
-6.192168,60,88.263076,4380,False
-6.100761,60,88.334856,4440,False
-8.470571,60,88.335863,4500,False
-6.709284,60,88.336858,4560,False
-6.904041,60,91.911545,4620,False
-6.369779,60,91.982324,4680,False
-6.563988,60,91.992362,4740,False
-6.800319,60,91.99436,4800,False
-6.132216,60,94.905821,4860,False
-6.126354,60,94.978626,4920,False
-7.432565,60,94.979628,4980,False
-6.039764,60,94.980624,5040,False
-7.078371,60,99.057482,5100,False
-6.175136,60,99.116992,5160,False
-8.58745,60,99.119986,5220,False
-6.809269,60,99.130309,5280,False
-6.107747,60,101.701634,5340,False
-6.48119,60,101.770414,5400,False
-8.650583,60,101.773497,5460,False
-6.372172,60,101.773497,5520,False
-6.155827,60,105.478525,5580,False
-6.416237,60,105.544866,5640,False
-6.224771,60,105.552353,5700,False
-7.48453,60,105.554332,5760,False
-6.293585,60,108.449828,5820,False
-6.911196,60,108.510601,5880,False
-8.510808,60,108.512599,5940,False
-6.715068,60,108.52299,6000,False
-8.261626,60,112.180804,6060,False
-6.340022,60,112.244584,6120,False
-8.496328,60,112.245593,6180,False
-6.256011,60,112.249584,6240,False
-6.38022,60,115.006934,6300,False
-6.630818,60,115.073691,6360,False
-6.054141,60,115.075717,6420,False
-6.685553,60,115.079713,6480,False
-6.488977,60,118.827132,6540,False
-6.092208,60,118.894324,6600,False
-6.671416,60,118.8956,6660,False
-8.604219,60,118.8971,6720,False
-6.58084,60,121.779645,6780,False
-6.593537,60,121.848425,6840,False
-6.321249,60,121.855901,6900,False
-6.587405,60,121.8569,6960,False
-6.500176,60,125.52106,7020,False
-6.03408,60,125.584841,7080,False
-7.164051,60,125.584842,7140,False
-6.077527,60,125.594841,7200,False
-6.031194,60,128.364407,7260,False
-6.084361,60,128.424141,7320,False
-6.299039,60,128.424142,7380,False
-6.736609,60,128.430146,7440,False
-6.91151,60,131.118436,7500,False
-6.071725,60,131.17665,7560,False
-5.959185,60,131.178648,7620,False
-6.47328,60,131.187678,7680,False
-5.866432,60,134.746526,7740,False
-8.183951,60,134.815307,7800,False
-6.721134,60,134.815313,7860,False
-6.227981,60,134.817305,7920,False
-5.446034,60,137.628508,7980,False
-7.117132,60,137.687294,8040,False
-6.224656,60,137.687301,8100,False
-6.636427,60,137.694285,8160,False
-6.066508,60,141.337299,8220,False
-5.933363,60,141.408065,8280,False
-6.046081,60,141.412062,8340,False
-7.182118,60,141.415058,8400,False
-6.354236,60,144.198187,8460,False
-6.12331,60,144.268966,8520,False
-5.892604,60,144.27159,8580,False
-6.075191,60,144.273589,8640,False
-7.476575,60,147.942155,8700,False
-5.912731,60,148.012934,8760,False
-5.789694,60,148.017946,8820,False
-7.256167,60,148.019939,8880,False
-6.49272,60,150.825259,8940,False
-6.720068,60,150.887548,9000,False
-6.474775,60,150.887549,9060,False
-7.034739,60,150.892549,9120,False
-6.007251,60,154.52808,9180,False
-5.981462,60,154.584872,9240,False
-5.808051,60,154.585812,9300,False
-5.543205,60,154.598859,9360,False
-6.478779,60,157.517113,9420,False
-5.993898,60,157.579893,9480,False
-6.160241,60,157.579893,9540,False
-7.362721,60,157.587894,9600,False
-7.856439,60,161.247748,9660,False
-7.996372,60,161.311539,9720,False
-7.086291,60,161.315533,9780,False
-5.940872,60,161.323527,9840,False
-6.730136,60,164.012215,9900,False
-5.984807,60,164.075006,9960,False
-6.17942,60,164.076001,10020,False
-5.846961,60,164.082994,10080,False
-5.356335,60,167.809584,10140,False
-5.914138,60,167.871368,10200,False
-5.88755,60,167.876362,10260,False
-6.003743,60,167.881361,10320,False
-6.141219,60,170.549984,10380,False
-6.464946,60,170.614768,10440,False
-6.199174,60,170.618767,10500,False
-7.395555,60,170.627138,10560,False
-5.817158,60,174.328271,10620,False
-6.793185,60,174.392055,10680,False
-5.755958,60,174.394053,10740,False
-7.347986,60,174.39905,10800,False
-6.08113,60,177.019802,10860,False
-6.105269,60,177.089592,10920,False
-6.168033,60,177.090572,10980,False
-5.931495,60,177.092571,11040,False
-5.78486,60,180.548646,11100,False
-7.547988,60,180.62569,11160,False
-6.401924,60,180.626687,11220,False
-5.502135,60,180.62968,11280,False
-6.0792,60,183.320535,11340,False
-5.89835,60,183.389344,11400,False
-6.329623,60,183.39031,11460,False
-5.618251,60,183.39331,11520,False
-6.461601,60,186.11908,11580,False
-6.010002,60,186.186861,11640,False
-7.007904,60,186.18886,11700,False
-6.342872,60,186.189859,11760,False
-6.395641,60,189.75231,11820,False
-5.863522,60,189.814093,11880,False
-6.06176,60,189.818088,11940,False
-5.875345,60,189.821093,12000,False
-7.463868,60,192.543759,12060,False
-6.925951,60,192.613539,12120,False
-5.259753,60,192.617539,12180,False
-7.37762,60,192.619537,12240,False
-5.906949,60,196.1898,12300,False
-7.248293,60,196.25358,12360,False
-6.788071,60,196.255579,12420,False
-6.298953,60,196.266802,12480,False
-6.541344,60,199.760607,12540,False
-5.66374,60,199.832387,12600,False
-6.318397,60,199.836401,12660,False
-6.524308,60,199.842036,12720,False
-5.498681,60,204.35355,12780,False
-6.964833,60,204.424329,12840,False
-5.737162,60,204.431471,12900,False
-7.284485,60,204.431593,12960,False
-5.753941,60,207.813423,13020,False
-5.491507,60,207.881208,13080,False
-7.499135,60,207.885207,13140,False
-6.0118,60,207.886203,13200,False
-7.112749,60,211.693902,13260,False
-5.717528,60,211.765674,13320,False
-6.83276,60,211.766669,13380,False
-6.516601,60,211.767672,13440,False
-6.40782,60,215.07949,13500,False
-6.748685,60,215.145271,13560,False
-5.581601,60,215.147269,13620,False
-7.173749,60,215.148273,13680,False
-5.908006,60,220.148369,13740,False
-7.177529,60,220.224165,13800,False
-5.943413,60,220.224242,13860,False
-5.928676,60,220.230505,13920,False
-7.126797,60,223.443669,13980,False
-5.631304,60,223.51245,14040,False
-6.804674,60,223.518443,14100,False
-6.350592,60,223.522442,14160,False
-6.500769,60,227.295134,14220,False
-6.002893,60,227.359921,14280,False
-6.764972,60,227.360917,14340,False
-5.674862,60,227.367906,14400,False
-6.349232,60,230.144425,14460,False
-6.433699,60,230.213206,14520,False
-7.270308,60,230.215204,14580,False
-6.588697,60,230.215204,14640,False
-5.747579,60,233.860571,14700,False
-5.368387,60,233.928462,14760,False
-5.816296,60,233.931377,14820,False
-6.238522,60,233.938369,14880,False
-7.579601,60,236.672956,14940,False
-7.079717,60,236.743736,15000,False
-6.527236,60,236.745245,15060,False
-6.276887,60,236.745287,15120,False
-6.844563,60,239.467125,15180,False
-6.802025,60,239.539908,15240,False
-5.952176,60,239.542895,15300,False
-6.841817,60,239.543896,15360,False
-5.586441,60,243.215662,15420,False
-7.134648,60,243.277451,15480,False
-7.527697,60,243.281455,15540,False
-6.380848,60,243.283452,15600,False
-7.526453,60,246.041873,15660,False
-6.430456,60,246.103619,15720,False
-5.748658,60,246.103621,15780,False
-5.628887,60,246.106615,15840,False
-6.047772,60,249.792578,15900,False
-6.497764,60,249.861359,15960,False
-7.38086,60,249.864363,16020,False
-7.388956,60,249.865359,16080,False
-7.199759,60,252.647914,16140,False
-5.984517,60,252.711619,16200,False
-7.207506,60,252.713618,16260,False
-7.772,60,252.719686,16320,False
-5.425694,60,256.360628,16380,False
-6.203379,60,256.430301,16440,False
-6.427258,60,256.431469,16500,False
-5.872028,60,256.433467,16560,False
-6.830947,60,259.209462,16620,False
-5.903715,60,259.273223,16680,False
-6.285557,60,259.273223,16740,False
-6.122852,60,259.275249,16800,False
-6.278666,60,262.881388,16860,False
-7.322588,60,262.946058,16920,False
-6.119014,60,262.946058,16980,False
-6.318647,60,262.948061,17040,False
-5.921101,60,265.642396,17100,False
-6.99433,60,265.715404,17160,False
-6.789915,60,265.715468,17220,False
-7.446674,60,265.717466,17280,False
-6.506884,60,269.395015,17340,False
-5.733757,60,269.465795,17400,False
-6.848342,60,269.47083,17460,False
-6.533733,60,269.475192,17520,False
-6.574822,60,272.203981,17580,False
-6.069881,60,272.268329,17640,False
-5.701904,60,272.271363,17700,False
-6.021201,60,272.27776,17760,False
-6.612758,60,275.855105,17820,False
-6.428359,60,275.916864,17880,False
-6.826501,60,275.916868,17940,False
-5.944829,60,275.923885,18000,False
-6.466994,60,278.905915,18060,False
-7.455255,60,278.971691,18120,False
-6.819101,60,278.971699,18180,False
-6.314867,60,278.973697,18240,False
-5.63544,60,282.642799,18300,False
-6.446242,60,282.704857,18360,False
-6.66674,60,282.706855,18420,False
-7.519603,60,282.710434,18480,False
-7.105078,60,285.48055,18540,False
-5.743885,60,285.545347,18600,False
-6.231495,60,285.545353,18660,False
-7.440425,60,285.550343,18720,False
-7.540334,60,289.183808,18780,False
-6.428859,60,289.246565,18840,False
-6.400146,60,289.246569,18900,False
-6.922632,60,289.248567,18960,False
-6.285614,60,292.07273,19020,False
-6.362264,60,292.14151,19080,False
-6.789776,60,292.142512,19140,False
-6.162087,60,292.142512,19200,False
-7.420675,60,294.868196,19260,False
-5.896276,60,294.931842,19320,False
-6.156631,60,294.934969,19380,False
-5.916768,60,294.934969,19440,False
-5.778689,60,298.607284,19500,False
-6.077176,60,298.674071,19560,False
-5.865589,60,298.679061,19620,False
-5.563735,60,298.686138,19680,False
-7.060769,60,301.365248,19740,False
-6.358357,60,301.421737,19800,False
-5.9547,60,301.424732,19860,False
-5.851499,60,301.434031,19920,False
-6.622736,60,305.491958,19980,False
-7.539306,60,305.558734,20040,False
-7.662559,60,305.558734,20100,False
-6.790956,60,305.560739,20160,False
-5.690282,60,308.686605,20220,False
-6.921286,60,308.755385,20280,False
-5.466728,60,308.756385,20340,False
-6.817483,60,308.756385,20400,False
-7.227082,60,312.452102,20460,False
-6.55011,60,312.519881,20520,False
-7.580685,60,312.524881,20580,False
-7.118153,60,312.528882,20640,False
-7.101798,60,315.323017,20700,False
-5.941104,60,315.391798,20760,False
-6.755815,60,315.398792,20820,False
-6.166946,60,315.399786,20880,False
-6.725667,60,319.051516,20940,False
-5.785981,60,319.120309,21000,False
-7.253377,60,319.123286,21060,False
-7.163959,60,319.125284,21120,False
-7.19866,60,321.824717,21180,False
-6.121458,60,321.897511,21240,False
-7.508312,60,321.897511,21300,False
-6.380642,60,321.900502,21360,False
-6.458786,60,325.58882,21420,False
-6.733698,60,325.653596,21480,False
-6.990378,60,325.657604,21540,False
-6.201494,60,325.65859,21600,False
-7.389593,60,328.489898,21660,False
-5.946003,60,328.550679,21720,False
-6.615886,60,328.552678,21780,False
-6.176259,60,328.562674,21840,False
-7.265204,60,332.15099,21900,False
-7.074342,60,332.217777,21960,False
-6.775945,60,332.21877,22020,False
-6.07934,60,332.219771,22080,False
-6.459299,60,335.018335,22140,False
-7.845761,60,335.082636,22200,False
-7.187663,60,335.086598,22260,False
-7.263608,60,335.087596,22320,False
-7.14824,60,338.93434,22380,False
-7.204301,60,338.998128,22440,False
-7.757426,60,338.99913,22500,False
-6.027276,60,339.004124,22560,False
-7.214839,60,341.773403,22620,False
-7.130354,60,341.843188,22680,False
-6.453567,60,341.844182,22740,False
-5.696919,60,341.847182,22800,False
-6.024675,60,344.647778,22860,False
-6.968612,60,344.710576,22920,False
-6.31191,60,344.711562,22980,False
-5.832304,60,344.715552,23040,False
-7.723292,60,348.406597,23100,False
-6.76656,60,348.47138,23160,False
-5.46089,60,348.47138,23220,False
-6.632299,60,348.475378,23280,False
-6.029785,60,351.241608,23340,False
-5.677008,60,351.310389,23400,False
-5.948295,60,351.314383,23460,False
-5.509789,60,351.315391,23520,False
-6.162373,60,354.983006,23580,False
-6.721868,60,355.051787,23640,False
-5.953905,60,355.054783,23700,False
-7.833865,60,355.054783,23760,False
-5.179685,60,357.760911,23820,False
-5.566759,60,357.823715,23880,False
-7.55474,60,357.825696,23940,False
-7.301363,60,357.827694,24000,False
-6.013935,60,361.45631,24060,False
-5.606957,60,361.525091,24120,False
-5.884109,60,361.5261,24180,False
-7.380434,60,361.529095,24240,False
-6.227908,60,364.309425,24300,False
-6.18978,60,364.375167,24360,False
-6.723272,60,364.380208,24420,False
-5.627844,60,364.385205,24480,False
-6.326144,60,368.054619,24540,False
-6.955049,60,368.1204,24600,False
-7.183749,60,368.121387,24660,False
-7.435423,60,368.122388,24720,False
-5.737062,60,370.920316,24780,False
-6.937794,60,370.979104,24840,False
-6.931747,60,370.982096,24900,False
-7.340158,60,370.991095,24960,False
-6.09594,60,374.529898,25020,False
-6.900905,60,374.597678,25080,False
-7.571569,60,374.597685,25140,False
-6.50353,60,374.600677,25200,False
-5.488273,60,377.323706,25260,False
-7.107674,60,377.391487,25320,False
-6.989908,60,377.392493,25380,False
-7.801359,60,377.394485,25440,False
-7.199602,60,381.007065,25500,False
-7.169158,60,381.075845,25560,False
-6.209384,60,381.087839,25620,False
-7.025512,60,381.087839,25680,False
-6.880338,60,383.825027,25740,False
-6.046482,60,383.895806,25800,False
-7.329894,60,383.895813,25860,False
-7.453603,60,383.896811,25920,False
-7.750725,60,387.573409,25980,False
-6.518719,60,387.633187,26040,False
-7.046795,60,387.638173,26100,False
-7.762016,60,387.645182,26160,False
-6.75791,60,390.433604,26220,False
-7.161057,60,390.498395,26280,False
-5.854595,60,390.498399,26340,False
-6.015008,60,390.498399,26400,False
-6.16334,60,394.074002,26460,False
-6.401241,60,394.142783,26520,False
-5.891457,60,394.144781,26580,False
-6.343881,60,394.144781,26640,False
-5.50029,60,396.843942,26700,False
-5.843965,60,396.909733,26760,False
-7.196739,60,396.911731,26820,False
-6.231046,60,396.914721,26880,False
-6.659958,60,399.767617,26940,False
-6.568226,60,399.840388,27000,False
-5.704544,60,399.843395,27060,False
-6.871615,60,399.847402,27120,False
-5.181904,60,403.487599,27180,False
-7.214627,60,403.55638,27240,False
-6.414319,60,403.563401,27300,False
-6.076366,60,403.565386,27360,False
-5.889937,60,406.320742,27420,False
-6.710439,60,406.382506,27480,False
-7.415419,60,406.384505,27540,False
-6.070994,60,406.394514,27600,False
-6.339598,60,410.051533,27660,False
-6.204782,60,410.116349,27720,False
-5.536468,60,410.118347,27780,False
-7.309625,60,410.118347,27840,False
-5.935904,60,412.77563,27900,False
-5.438098,60,412.849415,27960,False
-7.462219,60,412.851412,28020,False
-7.575059,60,412.85341,28080,False
-7.423036,60,416.561101,28140,False
-6.261837,60,416.62886,28200,False
-6.642223,60,416.632894,28260,False
-7.409344,60,416.635886,28320,False
-6.519365,60,419.37391,28380,False
-6.143203,60,419.44469,28440,False
-6.496687,60,419.446067,28500,False
-6.633303,60,419.447064,28560,False
-6.507159,60,423.106827,28620,False
-7.139754,60,423.1696,28680,False
-6.334201,60,423.169604,28740,False
-5.610751,60,423.173601,28800,False
-5.634058,60,425.933336,28860,False
-6.661941,60,426.002116,28920,False
-6.745223,60,426.010114,28980,False
-7.193397,60,426.010114,29040,False
-5.613497,60,429.611016,29100,False
-5.760593,60,429.676798,29160,False
-6.012048,60,429.677798,29220,False
-6.639501,60,429.680804,29280,False
-6.243031,60,432.484949,29340,False
-6.714115,60,432.550746,29400,False
-7.10379,60,432.552745,29460,False
-6.717471,60,432.556731,29520,False
-5.987435,60,436.14582,29580,False
-7.20325,60,436.215622,29640,False
-7.382432,60,436.220911,29700,False
-6.070706,60,436.225909,29760,False
-5.406143,60,438.980422,29820,False
-5.452019,60,439.051201,29880,False
-7.622837,60,439.054358,29940,False
-6.475541,60,439.055192,30000,False
-6.573079,60,442.720302,30060,False
-6.638078,60,442.790093,30120,False
-6.674718,60,442.791081,30180,False
-6.243151,60,442.792092,30240,False
-6.006173,60,445.520701,30300,False
-6.482432,60,445.584488,30360,False
-6.656154,60,445.586486,30420,False
-7.316897,60,445.595474,30480,False
-5.962948,60,448.38998,30540,False
-6.384638,60,448.455327,30600,False
-7.152061,60,448.457325,30660,False
-6.103771,60,448.460759,30720,False
-6.254032,60,452.390868,30780,False
-5.511469,60,452.456653,30840,False
-5.733358,60,452.459649,30900,False
-7.323544,60,452.460647,30960,False
-7.410994,60,455.83709,31020,False
-6.662659,60,455.898729,31080,False
-6.07163,60,455.907869,31140,False
-6.850828,60,455.909001,31200,False
-7.553323,60,461.706607,31260,False
-7.311738,60,461.776387,31320,False
-6.365649,60,461.777386,31380,False
-6.09111,60,461.778386,31440,False
-5.648623,60,465.672973,31500,False
-6.418082,60,465.736741,31560,False
-6.366515,60,465.740748,31620,False
-6.640314,60,465.741747,31680,False
-6.200546,60,470.035275,31740,False
-7.461391,60,470.103064,31800,False
-5.833459,60,470.104056,31860,False
-6.047135,60,470.112049,31920,False
-6.710454,60,472.910582,31980,False
-6.110394,60,472.980362,32040,False
-5.871945,60,472.981361,32100,False
-5.103324,60,472.983358,32160,False
-6.169796,60,476.774156,32220,False
-6.415943,60,476.846932,32280,False
-5.759233,60,476.847934,32340,False
-6.642485,60,476.848961,32400,False
-6.154594,60,479.95857,32460,False
