#{"t_start": 1785163639.666173, "env_id": "None"}
r,l,t
-20.733313,60,11.918624
-16.107558,60,15.584901
-10.630522,60,20.866203
-12.583002,60,24.407165
-6.102406,60,29.483238
-10.113848,60,33.82639
-12.423289,60,39.701376
-10.391007,60,43.654826
-6.037787,60,48.373809
-10.126619,60,51.70722
-6.887263,60,56.003369
-6.183939,60,59.451843
-6.336513,60,64.095393
-6.752083,60,68.675774
-6.549819,60,74.136423
-6.638487,60,77.964906
-6.383871,60,81.002936
-6.139236,60,85.309866
-6.192168,60,88.263076
-6.904041,60,91.911545
-6.132216,60,94.905821
-7.078371,60,99.057482
-6.107747,60,101.701634
-6.155827,60,105.478525
-6.293585,60,108.449828
-8.261626,60,112.180804
-6.38022,60,115.006934
-6.488977,60,118.827132
-6.58084,60,121.779645
-6.500176,60,125.52106
-6.031194,60,128.364407
-6.91151,60,131.118436
-5.866432,60,134.746526
-5.446034,60,137.628508
-6.066508,60,141.337299
-6.354236,60,144.198187
-7.476575,60,147.942155
-6.49272,60,150.825259
-6.007251,60,154.52808
-6.478779,60,157.517113
-7.856439,60,161.247748
-6.730136,60,164.012215
-5.356335,60,167.809584
-6.141219,60,170.549984
-5.817158,60,174.328271
-6.08113,60,177.019802
-5.78486,60,180.548646
-6.0792,60,183.320535
-6.461601,60,186.11908
-6.395641,60,189.75231
-7.463868,60,192.543759
-5.906949,60,196.1898
-6.541344,60,199.760607
-5.498681,60,204.35355
-5.753941,60,207.813423
-7.112749,60,211.693902
-6.40782,60,215.07949
-5.908006,60,220.148369
-7.126797,60,223.443669
-6.500769,60,227.295134
-6.349232,60,230.144425
-5.747579,60,233.860571
-7.579601,60,236.672956
-6.844563,60,239.467125
-5.586441,60,243.215662
-7.526453,60,246.041873
-6.047772,60,249.792578
-7.199759,60,252.647914
-5.425694,60,256.360628
-6.830947,60,259.209462
-6.278666,60,262.881388
-5.921101,60,265.642396
-6.506884,60,269.395015
-6.574822,60,272.203981
-6.612758,60,275.855105
-6.466994,60,278.905915
-5.63544,60,282.642799
-7.105078,60,285.48055
-7.540334,60,289.183808
-6.285614,60,292.07273
-7.420675,60,294.868196
-5.778689,60,298.607284
-7.060769,60,301.365248
-6.622736,60,305.491958
-5.690282,60,308.686605
-7.227082,60,312.452102
-7.101798,60,315.323017
-6.725667,60,319.051516
-7.19866,60,321.824717
-6.458786,60,325.58882
-7.389593,60,328.489898
-7.265204,60,332.15099
-6.459299,60,335.018335
-7.14824,60,338.93434
-7.214839,60,341.773403
-6.024675,60,344.647778
-7.723292,60,348.406597
-6.029785,60,351.241608
-6.162373,60,354.983006
-5.179685,60,357.760911
-6.013935,60,361.45631
-6.227908,60,364.309425
-6.326144,60,368.054619
-5.737062,60,370.920316
-6.09594,60,374.529898
-5.488273,60,377.323706
-7.199602,60,381.007065
-6.880338,60,383.825027
-7.750725,60,387.573409
-6.75791,60,390.433604
-6.16334,60,394.074002
-5.50029,60,396.843942
-6.659958,60,399.767617
-5.181904,60,403.487599
-5.889937,60,406.320742
-6.339598,60,410.051533
-5.935904,60,412.77563
-7.423036,60,416.561101
-6.519365,60,419.37391
-6.507159,60,423.106827
-5.634058,60,425.933336
-5.613497,60,429.611016
-6.243031,60,432.484949
-5.987435,60,436.14582
-5.406143,60,438.980422
-6.573079,60,442.720302
-6.006173,60,445.520701
-5.962948,60,448.38998
-6.254032,60,452.390868
-7.410994,60,455.83709
-7.553323,60,461.706607
-5.648623,60,465.672973
-6.200546,60,470.035275
-6.710454,60,472.910582
-6.169796,60,476.774156
-6.154594,60,479.95857
-6.479625,60,483.999454
-7.377446,60,486.977272
-6.427527,60,490.924734
-7.501452,60,493.846831
-7.059618,60,497.556664
-7.437427,60,500.405752
-6.589497,60,504.744243
-6.990721,60,507.746849
-5.951925,60,510.701326
-6.669469,60,514.573566
-7.453282,60,517.391473
-6.996417,60,521.651799
-6.664413,60,524.488727
-7.036786,60,528.349804
-6.021251,60,531.363559
-6.194355,60,535.057529
-6.716523,60,538.009796
-7.49955,60,541.630176
-6.819595,60,544.425453
-7.573107,60,548.111033
-6.897925,60,550.959377
-6.723468,60,554.632198
-6.85098,60,557.375334
-7.484367,60,560.215476
-6.65819,60,563.903289
-6.650204,60,566.71547
-6.82363,60,570.400531
-5.949898,60,573.145133
-6.61964,60,576.815139
-6.42742,60,579.811354
-7.441735,60,583.593599
-5.287203,60,586.353987
