#{"t_start": 1785163639.5973923, "env_id": "None"}
r,l,t
-18.185972,60,11.982414
-16.101816,60,15.650637
-12.442221,60,20.940039
-10.860741,60,24.480947
-6.162643,60,29.552018
-6.937367,60,33.898144
-9.105526,60,39.767154
-10.114445,60,43.727603
-10.685772,60,48.443592
-6.232945,60,51.777999
-8.667677,60,56.07215
-6.897102,60,59.51763
-8.910851,60,64.169178
-6.166403,60,68.74555
-6.113007,60,74.208198
-6.601652,60,78.034687
-7.025749,60,81.076714
-6.471118,60,85.381135
-8.470571,60,88.335863
-6.563988,60,91.992362
-6.126354,60,94.978626
-6.175136,60,99.116992
-6.48119,60,101.770414
-6.416237,60,105.544866
-6.911196,60,108.510601
-6.256011,60,112.249584
-6.685553,60,115.079713
-8.604219,60,118.8971
-6.593537,60,121.848425
-7.164051,60,125.584842
-6.084361,60,128.424141
-6.071725,60,131.17665
-8.183951,60,134.815307
-7.117132,60,137.687294
-5.933363,60,141.408065
-5.892604,60,144.27159
-7.256167,60,148.019939
-6.720068,60,150.887548
-5.981462,60,154.584872
-7.362721,60,157.587894
-7.996372,60,161.311539
-5.984807,60,164.075006
-5.914138,60,167.871368
-6.464946,60,170.614768
-6.793185,60,174.392055
-6.168033,60,177.090572
-6.401924,60,180.626687
-6.329623,60,183.39031
-6.010002,60,186.186861
-5.863522,60,189.814093
-5.259753,60,192.617539
-7.248293,60,196.25358
-6.318397,60,199.836401
-5.737162,60,204.431471
-5.491507,60,207.881208
-6.83276,60,211.766669
-6.748685,60,215.145271
-5.943413,60,220.224242
-6.804674,60,223.518443
-6.002893,60,227.359921
-6.433699,60,230.213206
-5.816296,60,233.931377
-6.276887,60,236.745287
-5.952176,60,239.542895
-7.134648,60,243.277451
-6.430456,60,246.103619
-6.497764,60,249.861359
-5.984517,60,252.711619
-6.427258,60,256.431469
-6.122852,60,259.275249
-6.318647,60,262.948061
-6.789915,60,265.715468
-6.848342,60,269.47083
-5.701904,60,272.271363
-6.826501,60,275.916868
-6.819101,60,278.971699
-6.446242,60,282.704857
-5.743885,60,285.545347
-6.400146,60,289.246569
-6.362264,60,292.14151
-5.896276,60,294.931842
-6.077176,60,298.674071
-6.358357,60,301.421737
-6.790956,60,305.560739
-6.921286,60,308.755385
-6.55011,60,312.519881
-5.941104,60,315.391798
-7.253377,60,319.123286
-6.380642,60,321.900502
-6.733698,60,325.653596
-5.946003,60,328.550679
-6.07934,60,332.219771
-7.845761,60,335.082636
-7.204301,60,338.998128
-7.130354,60,341.843188
-6.31191,60,344.711562
-6.632299,60,348.475378
-5.677008,60,351.310389
-6.721868,60,355.051787
-7.55474,60,357.825696
-5.606957,60,361.525091
-6.723272,60,364.380208
-7.435423,60,368.122388
-6.937794,60,370.979104
-6.900905,60,374.597678
-7.107674,60,377.391487
-7.169158,60,381.075845
-7.329894,60,383.895813
-6.518719,60,387.633187
-7.161057,60,390.498395
-6.401241,60,394.142783
-5.843965,60,396.909733
-5.704544,60,399.843395
-7.214627,60,403.55638
-6.710439,60,406.382506
-6.204782,60,410.116349
-7.462219,60,412.851412
-6.642223,60,416.632894
-6.496687,60,419.446067
-7.139754,60,423.1696
-6.661941,60,426.002116
-5.760593,60,429.676798
-6.714115,60,432.550746
-7.382432,60,436.220911
-7.622837,60,439.054358
-6.638078,60,442.790093
-6.482432,60,445.584488
-6.384638,60,448.455327
-5.511469,60,452.456653
-6.662659,60,455.898729
-7.311738,60,461.776387
-6.418082,60,465.736741
-5.833459,60,470.104056
-6.110394,60,472.980362
-6.642485,60,476.848961
-6.289751,60,480.028353
-7.056603,60,484.06923
-5.592286,60,487.054024
-6.365845,60,490.990516
-7.439148,60,493.911289
-7.927332,60,497.632427
-6.934142,60,500.478685
-6.143466,60,504.813024
-7.245699,60,507.810464
-7.078871,60,510.773105
-6.015454,60,514.636348
-6.380435,60,517.453274
-7.588372,60,521.722895
-6.261809,60,524.549508
-6.511296,60,528.416535
-6.869776,60,531.432339
-6.071622,60,535.124313
-6.190409,60,538.08158
-6.500118,60,541.700955
-7.095041,60,544.494233
-6.404167,60,548.171824
-6.868323,60,551.021445
-6.009242,60,554.696986
-7.215115,60,557.44511
-7.004383,60,560.278266
-7.373311,60,563.96702
-5.932542,60,566.78425
-6.13152,60,570.462939
-7.499667,60,573.209924
-6.26326,60,576.89413
-6.463566,60,579.882133
-5.84118,60,583.659383
-6.108965,60,586.416774
