time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance
1,512,9,-16.754735375,60.0,54,,,,,,,,,,
2,1024,18,-14.73448625,60.0,55,-2.477197015285492,5.877792336046696,0.015342662,0.0003,0.1744140625,10,-0.03555279566207901,0.2,1.3056645393371582,-0.010289669036865234
3,1536,28,-12.652117083333332,60.0,54,-2.454679769277573,1.8195676542818546,0.015566494,0.0003,0.0837890625,20,-0.021542125166160987,0.2,1.0472489595413208,0.013227462768554688
4,2048,38,-11.94638821875,60.0,53,-2.4191686868667603,0.9034610651433468,0.01151295,0.0003,0.0888671875,30,-0.017595947749214247,0.2,0.5029048919677734,0.08069449663162231
5,2560,46,-11.042659675,60.0,55,-2.394025632739067,0.7772194370627403,0.012897443,0.0003,0.089453125,40,-0.0165529778576456,0.2,0.43824613094329834,0.07118093967437744
6,3072,54,-10.376480354166667,60.0,55,-2.3843313068151475,0.23747216472402216,0.013031615,0.0003,0.0982421875,50,-0.016716524248477072,0.2,0.05382085219025612,0.5609027147293091
7,3584,65,-9.884335982142858,60.0,54,-2.3572086542844772,0.1883939079940319,0.011952558,0.0003,0.122265625,60,-0.01841469652717933,0.2,0.057741694152355194,0.698102205991745
8,4096,74,-9.319807691176472,60.0,55,-2.325839126110077,0.03191819182829932,0.014585888,0.0003,0.1666015625,70,-0.018801750673446804,0.2,0.029994254931807518,0.932203009724617
9,4608,81,-9.04733252631579,60.0,56,-2.293250468373299,0.05165525139309466,0.013579933,0.0003,0.1125,80,-0.016592191788367926,0.2,-0.02195705473423004,0.7899156957864761
10,5120,88,-8.809122595238094,60.0,57,-2.2719896525144576,0.055545466963667425,0.013938546,0.0003,0.188671875,90,-0.022487831499893217,0.2,-9.017717093229294e-05,0.6872437596321106
11,5632,95,-8.65465452173913,60.0,58,-2.2247513234615326,0.012884435488376766,0.014481692,0.0003,0.1458984375,100,-0.018745166226290168,0.2,-0.03829680383205414,0.9193760380148888
12,6144,102,-8.50940238,60.0,59,-2.2196426033973693,0.11189656318165361,0.017822837,0.0003,0.2158203125,110,-0.029205006523989142,0.2,0.013860376551747322,0.41758084297180176
13,6656,109,-7.72007074,60.0,60,-2.2196616739034654,0.1586487589403987,0.014411673,0.0003,0.1767578125,120,-0.02464100201614201,0.2,0.04354216903448105,0.459178626537323
14,7168,116,-7.242330279999999,60.0,61,-2.209196370840073,0.0745150809874758,0.015137175,0.0003,0.115234375,130,-0.014805685804458336,0.2,0.008100364357233047,0.7257441878318787
15,7680,124,-6.975770400000001,60.0,61,-2.1891214817762377,0.015940045105526223,0.015720654,0.0003,0.1599609375,140,-0.016278226999565958,0.2,0.0013538887724280357,0.9188721626996994
16,8192,130,-6.76535956,60.0,62,-2.1529361426830294,0.012815411703195423,0.008966215,0.0003,0.0677734375,150,-0.00923133900796529,0.2,-0.022820983082056046,0.8519173711538315
17,8704,137,-6.6828068599999995,60.0,63,-2.0834380984306335,0.06203158379066735,0.013305927,0.0003,0.1341796875,160,-0.01666111850645393,0.2,0.004510719329118729,0.6783064007759094
18,9216,144,-6.640585279999999,60.0,63,-2.1248803704977037,0.011915177950868383,0.013416453,0.0003,0.0994140625,170,-0.012461453885771334,0.2,-0.026485104113817215,0.8923415839672089
19,9728,151,-6.609325719999999,60.0,64,-2.1017833590507506,0.03324233987368643,0.013977119,0.0003,0.0736328125,180,-0.01177244518767111,0.2,0.0073833102360367775,0.5740058720111847
20,10240,158,-6.607921550000001,60.0,64,-2.0557569324970246,0.07678210807498545,0.015775738,0.0003,0.1869140625,190,-0.02121392204426229,0.2,-0.029544509947299957,0.6375329792499542
21,10752,165,-6.563044659999999,60.0,65,-2.010489873588085,0.01209369771531783,0.015083589,0.0003,0.1814453125,200,-0.021678534912643953,0.2,-0.013680664822459221,0.8454990386962891
22,11264,171,-6.539356540000001,60.0,65,-1.9864465683698653,0.022679091279860585,0.009867923,0.0003,0.1033203125,210,-0.015097715306910686,0.2,-0.005706824362277985,0.804683580994606
23,11776,179,-6.463770809999999,60.0,65,-1.9594526395201683,0.01414292780100368,0.012987241,0.0003,0.1435546875,220,-0.014667515887413173,0.2,-0.022862907499074936,0.8323858976364136
24,12288,185,-6.398158970000001,60.0,66,-1.877124474942684,0.013624617701862008,0.012624318,0.0003,0.0861328125,230,-0.012160027056233957,0.2,-0.032756414264440536,0.8553062379360199
25,12800,193,-6.3749839999999995,60.0,66,-1.8646556571125985,0.01796511939028278,0.008240817,0.0003,0.04765625,240,-0.008478608378209174,0.2,-0.03748775273561478,0.8170315027236938
26,13312,201,-6.3588107900000015,60.0,65,-1.8131222695112228,0.02713667645584792,0.009119129,0.0003,0.090234375,250,-0.010667185217607766,0.2,-0.00810894463211298,0.6809089779853821
27,13824,210,-6.37405669,60.0,65,-1.7740411743521691,0.04651966590899974,0.007161066,0.0003,0.094921875,260,-0.013928200950613246,0.2,0.006997792050242424,0.5619973540306091
28,14336,218,-6.358529129999999,60.0,65,-1.7192724883556365,0.02891269305255264,0.010195382,0.0003,0.1349609375,270,-0.013979266455862671,0.2,0.0054328544065356255,0.6638825535774231
29,14848,224,-6.377649340000001,60.0,66,-1.602044178545475,0.013890138873830438,0.008704998,0.0003,0.07421875,280,-0.011474176461342722,0.2,0.013781365007162094,0.8575266301631927
30,15360,232,-6.383423019999999,60.0,66,-1.5698848128318788,0.03132129391888157,0.007072567,0.0003,0.083984375,290,-0.009019339963560923,0.2,-0.0017619077116250992,0.6782442033290863
31,15872,239,-6.354307769999999,60.0,66,-1.3852358609437943,0.09781491865869611,0.009282174,0.0003,0.114453125,300,-0.01519863196008373,0.2,0.0306643545627594,0.5279967486858368
32,16384,246,-6.430068209999999,60.0,66,-1.5355454802513122,0.03380681414855644,0.010587317,0.0003,0.11875,310,-0.00862783232005313,0.2,-0.003360537812113762,0.7422448992729187
33,16896,252,-6.401630700000001,60.0,66,-1.5774729296565055,0.04304813332855702,0.009875524,0.0003,0.1009765625,320,-0.009012900880770757,0.2,0.00711006298661232,0.7112389802932739
34,17408,259,-6.438311710000001,60.0,67,-1.4581855818629266,0.028034656948875636,0.014526366,0.0003,0.097265625,330,-0.010864011428202503,0.2,-0.019024178385734558,0.7750828862190247
35,17920,266,-6.44073892,60.0,67,-1.5107120990753173,0.028715576499234886,0.0069978517,0.0003,0.0515625,340,-0.006897398293949664,0.2,-0.008194345980882645,0.8268667459487915
36,18432,273,-6.45719096,60.0,67,-1.4275694906711578,0.009768537105992436,0.009426776,0.0003,0.090625,350,-0.013652440073201433,0.2,-0.012313184328377247,0.9124421700835228
37,18944,280,-6.472179489999999,60.0,67,-1.5434616073966025,0.028928438283037393,0.0047133537,0.0003,0.044140625,360,-0.0059059338178485635,0.2,0.002637399360537529,0.814589723944664
38,19456,287,-6.490788289999999,60.0,67,-1.4098655223846435,0.027755573694594204,0.010414999,0.0003,0.09296875,370,-0.01136352655594237,0.2,-0.005484495311975479,0.8566848784685135
39,19968,294,-6.46719864,60.0,67,-1.3828349485993385,0.026905890135094524,0.009985988,0.0003,0.11015625,380,-0.011722776445094497,0.2,0.004789397120475769,0.792827770113945
40,20480,302,-6.493743370000001,60.0,67,-1.3021287024021149,0.017681448021903634,0.006478863,0.0003,0.044140625,390,-0.00949344299151562,0.2,-0.025529278442263603,0.8702984750270844
41,20992,309,-6.5400331000000005,60.0,67,-1.192834310233593,0.020697676157578827,0.0041310573,0.0003,0.0328125,400,-0.006644034851342439,0.2,-0.0002872887998819351,0.8079580813646317
42,21504,316,-6.54237344,60.0,68,-1.2760854005813598,0.014815213298425079,0.0037814751,0.0003,0.043359375,410,-0.0052637241722550245,0.2,-0.0020338213071227074,0.8424745053052902
43,22016,322,-6.54785353,60.0,68,-1.2615785226225853,0.03016457534395158,0.007183848,0.0003,0.08984375,420,-0.011595280852634459,0.2,0.008308709599077702,0.8100096136331558
44,22528,329,-6.552573810000001,60.0,68,-1.340399432182312,0.0287039530929178,0.0080131255,0.0003,0.1181640625,430,-0.010334804467856885,0.2,-0.011712531559169292,0.8060848712921143
45,23040,337,-6.599174590000001,60.0,68,-1.2875777766108514,0.03787405958864838,0.005781817,0.0003,0.0681640625,440,-0.01086216267431155,0.2,0.012005757540464401,0.8046088516712189
46,23552,344,-6.568906409999999,60.0,68,-1.2378979966044426,0.02884082425152883,0.004372953,0.0003,0.0166015625,450,-0.005147535499418154,0.2,0.008305104449391365,0.8661658316850662
47,24064,351,-6.58984944,60.0,68,-1.2569416537880898,0.04005135619081557,0.0063641914,0.0003,0.048046875,460,-0.00788727350300178,0.2,0.013992631807923317,0.7132846713066101
48,24576,358,-6.553149409999999,60.0,68,-1.2833359271287919,0.036710403370670976,0.004099311,0.0003,0.058984375,470,-0.007399227394489572,0.2,-0.0008487123996019363,0.757300466299057
49,25088,364,-6.563492130000001,60.0,68,-1.3659768864512443,0.028020892676431687,0.007485811,0.0003,0.077734375,480,-0.006445222231559455,0.2,0.016010086983442307,0.7259918749332428
50,25600,371,-6.598182800000001,60.0,68,-1.3445250898599626,0.024383947858586906,0.008747259,0.0003,0.055859375,490,-0.010678457346512005,0.2,-0.015191229991614819,0.8078543692827225
51,26112,378,-6.666217390000002,60.0,68,-1.4201012223958969,0.026034908299334348,0.01237278,0.0003,0.150390625,500,-0.012422452826285735,0.2,-0.0016090292483568192,0.8445852249860764
52,26624,385,-6.679772280000001,60.0,69,-1.542377370595932,0.028078190993983298,0.016956132,0.0003,0.1357421875,510,-0.014476238918723539,0.2,-0.014895021915435791,0.8506660759449005
53,27136,392,-6.6198285299999995,60.0,69,-1.6155529990792274,0.024644415872171522,0.012800665,0.0003,0.1369140625,520,-0.01499472830328159,0.2,-0.011493803933262825,0.7780446410179138
54,27648,399,-6.5936343000000015,60.0,69,-1.5489969328045845,0.012241461279336363,0.016676374,0.0003,0.1728515625,530,-0.01628673595841974,0.2,0.0006747022271156311,0.9007669612765312
55,28160,406,-6.5784261100000005,60.0,69,-1.4474941208958625,0.03191521686967462,0.01336599,0.0003,0.12890625,540,-0.01409777574299369,0.2,-0.024907398968935013,0.6132607758045197
56,28672,413,-6.544780349999999,60.0,69,-1.4492868527770042,0.04527822281233966,0.006958278,0.0003,0.0490234375,550,-0.007553667214233428,0.2,-0.0011256830766797066,0.6802450716495514
57,29184,420,-6.546713389999999,60.0,69,-1.405830617249012,0.01771913521224633,0.0045277965,0.0003,0.0169921875,560,-0.003082810388877988,0.2,0.014440733008086681,0.8333619385957718
58,29696,426,-6.557274669999999,60.0,69,-1.3764120236039161,0.036010522535070776,0.0070372205,0.0003,0.07109375,570,-0.009961686522001401,0.2,-0.00729641318321228,0.7100035846233368
59,30208,433,-6.55053272,60.0,69,-1.488586027920246,0.022076887416187675,0.013218992,0.0003,0.1658203125,580,-0.011599668383132667,0.2,-0.00227569043636322,0.830299511551857
60,30720,441,-6.55692768,60.0,69,-1.5232469469308854,0.03383817814756185,0.0069743847,0.0003,0.0998046875,590,-0.013513271883130073,0.2,-0.008830716833472252,0.7734270244836807
61,31232,449,-6.53492577,60.0,69,-1.504235590994358,0.015387158963130787,0.0056370073,0.0003,0.04140625,600,-0.006443191668950021,0.2,-0.009985735639929771,0.8739381432533264
62,31744,459,-6.508970610000001,60.0,69,-1.5738356873393058,0.029247979179490357,0.006325284,0.0003,0.0712890625,610,-0.010928743204567581,0.2,0.012343678623437881,0.7985949963331223
63,32256,466,-6.434471370000001,60.0,69,-1.603584697842598,0.045242407452315093,0.009526973,0.0003,0.109375,620,-0.011702900734962895,0.2,0.006882302463054657,0.6525768935680389
64,32768,474,-6.432884539999999,60.0,69,-1.6160158768296242,0.01896890711504966,0.008065733,0.0003,0.124609375,630,-0.015426047332584857,0.2,-0.029308753088116646,0.7835974842309952
65,33280,481,-6.471866399999999,60.0,69,-1.524077843129635,0.035708778887055814,0.013075395,0.0003,0.1052734375,640,-0.012655499915126711,0.2,0.030439432710409164,0.6835492253303528
66,33792,488,-6.500571470000001,60.0,69,-1.3529721200466156,0.038174115144647656,0.0123352595,0.0003,0.081640625,650,-0.00938537933398038,0.2,0.029432930052280426,0.6778436899185181
67,34304,495,-6.519836149999999,60.0,69,-1.2810144677758217,0.04304715748876333,0.005568001,0.0003,0.040625,660,-0.007606704364297912,0.2,0.011175904422998428,0.7456908822059631
68,34816,503,-6.531263909999999,60.0,69,-1.224750167131424,0.029157583601772785,0.004058478,0.0003,0.051171875,670,-0.007836428220616653,0.2,-0.004296273924410343,0.8251512944698334
69,35328,510,-6.53025172,60.0,69,-1.2134238317608834,0.04066002587787807,0.0046691564,0.0003,0.042578125,680,-0.008467686764197424,0.2,-0.007992027327418327,0.8143865913152695
70,35840,518,-6.5638584899999985,60.0,69,-1.1696082442998885,0.03597896192222834,0.007028291,0.0003,0.06171875,690,-0.005489307176321745,0.2,0.018765565007925034,0.7814919799566269
71,36352,525,-6.582238739999999,60.0,69,-1.2072581768035888,0.10152885431889444,0.0050443145,0.0003,0.08671875,700,-0.010233433629036882,0.2,0.04400160536170006,0.5239660739898682
72,36864,532,-6.568339080000002,60.0,69,-1.2587015628814697,0.023254480364266784,0.00524131,0.0003,0.071875,710,-0.00989937232225202,0.2,0.01623019576072693,0.8059420138597488
73,37376,538,-6.5847425500000005,60.0,69,-1.2561249554157257,0.0369198425905779,0.0059955595,0.0003,0.0603515625,720,-0.008950749668292702,0.2,-0.0003384659066796303,0.6815166473388672
74,37888,545,-6.60946646,60.0,69,-1.1256664976477624,0.024055140337441116,0.013060421,0.0003,0.10390625,730,-0.013858463166980074,0.2,-0.01820516400039196,0.8303558528423309
75,38400,553,-6.650891099999999,60.0,69,-1.0822651162743568,0.048186796437948945,0.0041283453,0.0003,0.03515625,740,-0.005188678536796942,0.2,0.0077886199578642845,0.7303783297538757
76,38912,559,-6.65602346,60.0,69,-1.0816561847925186,0.018347830267157406,0.0038647242,0.0003,0.047265625,750,-0.0067755869764368985,0.2,0.004960839170962572,0.8950861319899559
77,39424,566,-6.63344303,60.0,69,-1.1118695184588432,0.017459818453062326,0.0029766713,0.0003,0.014453125,760,-0.0026733282080385833,0.2,-0.006809744518250227,0.8808111995458603
78,39936,573,-6.591391980000001,60.0,69,-1.158263398706913,0.0208354206639342,0.006297883,0.0003,0.1099609375,770,-0.010630775429308414,0.2,-0.018014270812273026,0.8098082542419434
79,40448,580,-6.57964649,60.0,69,-1.0617025680840015,0.025896576582454145,0.005352254,0.0003,0.0646484375,780,-0.008904554811306298,0.2,0.013775995932519436,0.8278902471065521
