r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps,d_mm
8.867865,1,1.654474,True,True,0.000286372644501,1.8836850749719367,1,0.28637264450100003
1.016261,2,2.877168,True,True,0.0004894453787289,15.692779091406155,3,0.48944537872890004
4.593596,3,4.006535,True,True,0.0031169115997217,9.404840800619953,6,3.1169115997217
5.446756,6,5.085187,True,True,0.001082802144765,7.630656654203316,12,1.082802144765
7.76435,8,6.234492,True,True,0.0003064327959085,2.289108035602569,20,0.3064327959085
2.166222,5,7.425147,True,True,0.0047275302373571,13.621952523102204,25,4.7275302373571
4.620251,4,8.767402,True,True,0.009487853553049,7.775861949081336,29,9.487853553049
2.236947,15,9.927777,True,True,0.0014825260764962,12.266031743687307,44,1.4825260764962
0.286806,22,9.937747,True,True,0.0048307697726755,12.363286669097509,66,4.830769772675501
-2.48927,24,11.870502,True,True,0.0006914505249928,15.355732865583294,90,0.6914505249928
4.87652,35,13.358267,True,True,0.0047666145509704,3.30165239536592,125,4.7666145509704005
6.333145,15,14.338883,True,True,0.002392543261902,3.788596128982939,140,2.392543261902
-16.869587,60,15.55779,False,True,0.0209981103897025,68.93132057756371,200,20.9981103897025
2.620756,7,16.670226,True,True,0.0094443704646131,9.710125872233233,207,9.444370464613101
3.711509,3,17.615838,True,True,5.3929133728147776e-11,10.841645620234578,210,5.3929133728147776e-08
-0.190166,17,18.870699,True,True,0.0051491519954646,15.091208344036932,227,5.1491519954645995
2.182034,3,20.048477,True,True,7.468560561663117e-10,13.641696150723307,230,7.468560561663117e-07
-23.256798,60,21.146281,False,True,0.0114537352765334,56.76813818779213,290,11.4537352765334
8.052615,20,22.283831,True,True,0.0074219870873846,2.194664770375712,310,7.4219870873846
3.155367,3,23.438539,True,True,0.0046585475913339,11.00472047956318,313,4.6585475913339005
7.053882,15,24.717116,True,True,0.0048131630244888,3.6779293061608818,328,4.813163024488801
2.980164,3,25.888109,True,True,0.0001527906257966,12.262796137297151,331,0.15279062579660002
0.560307,24,27.700206,True,True,0.0067473616558092,11.752374603410331,355,6.7473616558091996
-19.47059,60,28.775286,False,True,0.0114515309116455,17.769422935400968,415,11.4515309116455
4.579235,3,30.673949,True,True,0.0024625775750159,9.329952759809892,418,2.4625775750159
4.952846,8,31.99389,True,True,0.0005601588269704,6.378315338134386,426,0.5601588269704
-7.834156,60,31.998896,False,True,0.0072663149653421,17.88768149035015,486,7.2663149653421
3.597913,19,33.225623,True,True,7.148115731915009e-05,5.140898895135858,505,0.07148115731915008
-13.098004,60,34.401916,False,True,0.0136765276446116,51.94625187798712,565,13.6765276446116
1.525969,14,35.47611,True,True,0.0046616333607477,9.826922986826393,579,4.6616333607477
-1.360102,10,36.619068,True,True,0.0042648035119464,15.90151131782424,589,4.2648035119464005
2.208877,4,37.755392,True,True,6.129463807321225e-06,14.946521803757904,593,0.006129463807321225
3.719334,13,38.961236,True,True,0.0103940261237246,6.571619729924611,606,10.3940261237246
0.66661,10,40.028109,True,True,0.0022772063738962,12.469647394836036,616,2.2772063738962
6.356628,5,41.08003,True,True,7.424967452297499e-05,5.60374937810851,621,0.07424967452297498
7.459788,3,42.230442,True,True,1.1648439862389956e-05,4.175664679614468,624,0.011648439862389956
2.113812,16,43.285768,True,True,0.002537524008963,9.505490946285056,640,2.537524008963
1.411663,32,43.302736,True,True,0.0080853323066946,10.277721406820818,672,8.0853323066946
5.739366,3,44.485775,True,True,0.00024275859868,7.392542496724602,675,0.24275859868
2.114208,9,45.741073,True,True,0.0051497669070498,10.489890179767215,684,5.1497669070498
3.187299,5,46.925347,True,True,0.004584466869788,8.412442142388333,689,4.584466869788
3.320509,2,47.981661,True,True,0.0039352678864144,11.178662653119732,691,3.9352678864144
4.891016,20,49.12592,True,True,0.0043943349042991,5.315258910261543,711,4.394334904299099
2.285824,2,50.211908,True,True,2.8066794027781224e-09,13.640395942376966,713,2.8066794027781224e-06
-0.109642,14,51.742313,True,True,0.00735535964605,12.229350964821156,727,7.355359646049999
8.976126,1,52.86082,True,True,0.0002178965448263,1.6879914924424089,728,0.2178965448263
-0.112602,11,54.240839,True,True,6.110199499143043e-11,16.06258013181157,739,6.110199499143043e-08
-17.428114,60,55.867768,False,True,0.0116910287211471,33.51882245191581,799,11.691028721147099
-12.212351,60,57.047736,False,True,0.0200853587059899,23.72997867331268,859,20.0853587059899
-12.786701,60,58.434327,False,True,0.0035403099238477,67.85173307401702,919,3.5403099238477
-5.293157,44,61.039634,True,True,0.0110981935061821,17.449308457610943,963,11.0981935061821
-10.386658,60,61.051622,False,True,0.022594514198684,36.2019222010948,1023,22.594514198684
4.173112,1,62.313129,True,True,0.0023033911818403,10.360767710061523,1024,2.3033911818402997
8.888338,29,63.308517,True,True,6.991580563003343e-05,1.6173218292682223,1053,0.06991580563003343
2.555963,6,64.609792,True,True,0.0006069309279973,11.02727113953068,1059,0.6069309279973
-16.872737,60,66.187513,False,True,0.0149487170035854,24.676764348900846,1119,14.948717003585399
6.26423,14,67.34889,True,True,6.273201518648599e-05,4.234146849848043,1133,0.062732015186486
-20.786964,60,69.536435,False,True,0.0440405958603384,23.10975491934731,1193,44.0405958603384
-14.881978,60,70.698019,False,True,0.0261019631119364,33.372436492400006,1253,26.1019631119364
-12.52892,60,72.229785,False,True,0.0025494230394597,6.961859050882139,1313,2.5494230394597
-11.121761,60,73.306714,False,True,0.0100141577626268,69.07895948349024,1373,10.0141577626268
-0.270968,22,73.316704,True,True,0.0072472425354403,13.59506405070316,1395,7.2472425354403
5.496381,2,74.572335,True,True,0.0047363688878651,7.843520483326323,1397,4.7363688878651
8.478952,3,75.572909,True,True,0.0006298539795488,1.7099806119127106,1400,0.6298539795488001
6.043061,2,76.704793,True,True,0.0009871013040466,7.989883198502657,1402,0.9871013040465999
4.35321,10,77.789435,True,True,0.0001641106688051,8.539382574927906,1412,0.1641106688051
-1.966347,6,78.956091,True,True,0.0031811676157942,16.6731335773889,1418,3.1811676157942
9.057082,10,80.136743,True,True,1.5967818917969438e-06,1.6006970900945194,1428,0.0015967818917969438
2.039794,16,81.302432,True,True,0.0119995758107369,10.66727230493375,1444,11.9995758107369
4.79595,7,82.407093,True,True,0.0024171184838553,7.692030568698988,1451,2.4171184838552997
2.404332,5,83.461736,True,True,0.000186228187893,11.308843785885797,1456,0.186228187893
2.143221,2,84.491862,True,True,0.0001461132070093,12.142486330527902,1458,0.1461132070093
3.465588,3,85.501487,True,True,0.002785397637213,10.94578426644336,1461,2.785397637213
5.140903,11,87.463715,True,True,0.0047725460140007,7.875937057978611,1472,4.772546014000699
-21.936122,60,88.705362,False,True,0.034320688739375,15.26362077274564,1532,34.320688739375
-1.810064,12,89.81606,True,True,0.0114102576516877,15.426238034563267,1544,11.4102576516877
7.998969,6,91.024862,True,True,0.0045083440357439,2.6127974767953197,1550,4.5083440357439
2.086569,3,92.149791,True,True,0.0028550051293348,13.327128008554295,1553,2.8550051293348
8.517861,16,93.27599,True,True,0.0026748536407246,3.1669434531352136,1569,2.6748536407246
4.453249,2,94.318556,True,True,0.0001685671145586,9.722634749734755,1571,0.1685671145586
3.350254,5,94.336539,True,True,9.118607952052216e-11,11.250385786372396,1576,9.118607952052216e-08
6.40382,5,95.626291,True,True,0.0001840673984747,6.001079435377533,1581,0.18406739847470002
8.626846,2,96.784005,True,True,0.0031451953313694,2.4545239222616924,1583,3.1451953313694
2.382219,8,97.900244,True,True,0.000165879411326,13.031995570609816,1591,0.165879411326
-1.206041,4,98.997678,True,True,7.631649716764353e-06,15.382266001580174,1595,0.007631649716764353
0.620225,5,99.008669,True,True,0.0091844320270235,14.632925031210709,1600,9.184432027023501
0.548306,6,100.43947,True,True,0.0094950411970332,16.210069697933218,1606,9.4950411970332
-15.637797,60,101.546349,False,True,0.0047908183497715,9.002654650785361,1666,4.7908183497715
0.293219,10,102.558164,True,True,0.0037837085339754,15.823235876351792,1676,3.7837085339754
6.589543,4,103.724797,True,True,0.0005963968658989,6.488116970488457,1680,0.5963968658989001
-15.455183,60,104.708783,False,True,0.0202356016738709,37.357231438483545,1740,20.2356016738709
-0.480183,11,105.828602,True,True,0.0020498721355837,14.184312626435792,1751,2.0498721355837
-0.094352,14,107.081244,True,True,0.005187832879072,17.94859957675012,1765,5.187832879072
4.639393,12,108.143666,True,True,0.0072460733560421,8.193715457498,1777,7.2460733560421
0.860342,4,109.279064,True,True,0.0046466838095036,17.06541015611387,1781,4.6466838095036
4.446655,20,110.452215,True,True,0.0074434459895123,6.958710553051786,1801,7.4434459895123
0.797848,6,111.5058,True,True,0.0072512804633736,15.912824793622216,1807,7.251280463373599
9.255256,2,112.623714,True,True,0.0119146888344119,1.053818133639206,1809,11.9146888344119
1.953656,19,113.813854,True,True,0.0067737848883434,12.045021133131536,1828,6.773784888343401
3.13612,6,115.088634,True,True,0.0005858150425903,11.69121086270514,1834,0.5858150425903
1.687927,9,116.419281,True,True,0.0001928418358088,14.269474144632436,1843,0.19284183580880002
-13.80487,60,118.186382,False,True,0.0068730474049245,33.03495708132965,1903,6.873047404924501
2.442282,5,119.503717,True,True,0.0027982054344184,12.843516203182734,1908,2.7982054344183998
-1.791698,30,120.688793,True,True,0.0018964477226985,16.572099642699246,1938,1.8964477226985
-29.064228,60,122.622849,False,True,0.0314868983506402,19.75968756996861,1998,31.486898350640196
2.365776,14,123.659642,True,True,0.0016766386027552,11.897420236252056,2012,1.6766386027552
9.809934,2,124.659908,True,True,0.0009929718054709,0.6549764599977134,2014,0.9929718054709001
-30.595087,60,125.744117,False,True,0.0055558515547212,31.96078032094884,2074,5.5558515547212
1.215937,11,125.759105,True,True,0.0028773875663944,14.471839147881395,2085,2.8773875663944
6.499768,7,127.075291,True,True,0.0044500032651663,4.805830214810441,2092,4.450003265166299
2.535085,10,128.132676,True,True,0.0033937455259321,12.383367301884917,2102,3.3937455259321
7.755668,6,129.220178,True,True,1.2403960786734592e-05,3.609247336781464,2108,0.012403960786734593
-0.453412,20,130.387801,True,True,0.0070975281603339,12.422513465837914,2128,7.0975281603339
6.637169,10,131.490245,True,True,0.0003488165771558,4.469806529726838,2138,0.3488165771558
-2.598364,5,131.503234,True,True,0.0044477252387107,17.22915846636054,2143,4.4477252387107
6.408529,3,132.737468,True,True,0.0020719648784185,4.972954353406977,2146,2.0719648784185
-2.965887,30,133.923285,True,True,0.0023855521429305,14.810424938212702,2176,2.3855521429305
6.974538,15,135.249721,True,True,0.0003240962653165,5.110472240916131,2191,0.3240962653165
0.210168,14,136.389803,True,True,0.0021574031851743,15.36979373365442,2205,2.1574031851743
0.627625,32,137.507849,True,True,0.0102170344844503,12.4486769993845,2237,10.217034484450298
1.602718,19,138.734299,True,True,8.751253525904161e-05,12.092696414621336,2256,0.08751253525904161
