#{"t_start": 1785355578.7749774, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
1.10532,2,9.710848,True,True,0.004233615719637059,15.777586209529476
4.754024,8,15.87692,True,True,0.005240243786382312,7.684280752628247
6.029755,5,17.32682,True,True,0.004986468086320515,6.880021206616553
7.006343,4,18.882586,True,True,0.0038028903506045555,3.4188714075056716
-16.099391,60,35.808259,False,True,0.014040738444958263,10.230066312230463
3.066262,6,37.29355,True,True,0.006542911045761224,10.99432216655559
7.165674,3,40.092197,True,True,0.0030749065067405684,4.5515217462841555
3.26532,3,41.412607,True,True,0.010551250328094139,11.961810337551883
5.010784,4,44.170399,True,True,0.006004267134159508,7.653554625767281
-2.012691,52,58.884714,True,True,0.010856731029238759,12.960284360706401
3.600044,14,61.8244,True,True,0.0024078046740860894,10.88584986280426
8.478958,5,64.622807,True,True,3.901524658900257e-10,2.53856884041848
3.636264,20,67.763628,True,True,0.00413543829391851,8.315948386701576
-15.824759,60,80.809276,False,True,0.015678677483265152,10.325420808728952
1.50332,29,87.720102,True,True,0.0012661297728952942,10.586394177489442
6.178729,6,89.237242,True,True,0.0002995165416165013,6.084998303672216
3.119646,14,93.463727,True,True,0.004993006866455767,12.30570947791338
-12.860954,60,104.199523,False,True,0.013001827627923823,80.0574971879351
-20.164109,60,120.810591,False,True,0.033223843305773666,88.50034924085155
8.049671,2,122.060542,True,True,0.0001878124565953222,2.65376825253624
-18.893475,60,130.989875,False,True,0.023381081303381554,4.394014915448074
-13.849203,60,145.07862,False,True,0.014816691150160474,50.79618099166897
7.072547,3,146.278009,True,True,0.0020712191338952963,4.842418765464402
7.719083,5,147.671435,True,True,0.0009292885104963504,3.5666654326414005
-0.937676,17,150.632683,True,True,0.002114107307603321,15.273690286747708
7.626794,23,158.62966,True,True,0.0011489584170224659,1.8441983149853405
7.808284,3,159.903635,True,True,0.004240232787788567,3.4341238741638853
5.410997,13,164.115605,True,True,0.0003614471177635615,5.863185290117617
9.029027,3,165.405549,True,True,0.001557971792873521,1.6478977148832485
-22.908501,60,178.172178,False,True,0.03557608161484194,9.37126515957594
6.255301,2,179.52614,True,True,0.00533018618264855,6.144082324766743
4.017877,7,180.977995,True,True,0.005889594914230605,8.109134767779816
-0.239187,7,184.761964,True,True,0.006732034685493445,17.53272329675583
7.000022,4,186.245512,True,True,0.00501987070266977,4.6099421736242805
-16.589678,60,204.898143,False,True,0.0014773182424392649,24.5201049230043
9.209556,8,207.791503,True,True,2.8509523908315515e-09,0.23357097133112112
2.945842,30,218.531402,True,True,0.0031198462402748936,8.284072664777355
7.55274,24,225.628062,True,True,0.005340427773200426,3.2352452970140293
8.189557,6,229.669749,True,True,0.0037676281939221625,2.031674787341522
1.004832,7,231.702276,True,True,0.00239072504582143,14.256363813875485
5.473199,9,233.264732,True,True,0.0028086250519607555,7.00623065940905
3.948081,1,234.54591,True,True,0.005660712884079352,10.769092684881267
-23.55272,60,242.7863,False,True,0.036975078598101396,21.779900961896267
7.083424,1,244.077655,True,True,0.001310530516993808,5.107120629979196
8.955414,4,245.37841,True,True,0.00048242982303039745,1.3146734815684598
4.570532,31,254.456615,True,True,0.009809490206280401,5.00353502551795
3.600552,11,259.746155,True,True,0.010660050284877307,9.17820371527823
8.147746,9,261.365067,True,True,0.007381067788963388,1.7046923504359865
4.741123,13,263.015761,True,True,0.004928399935738917,7.6207929892519015
3.376978,12,265.884029,True,True,0.011947018971200684,11.034835151382152
6.157227,12,267.621091,True,True,0.00964572972357522,3.6275014413991458
6.99547,4,268.960154,True,True,0.002264658111088097,4.308296118557298
7.270345,7,272.987271,True,True,0.0016434585223618363,3.090496186592825
1.810787,16,276.064284,True,True,1.249984972546652e-10,12.009558745112106
3.123869,12,278.840144,True,True,0.00040784198930200706,10.127825311777382
-4.038758,10,282.432581,True,True,0.009544782370216432,15.668492906494752
5.122592,1,283.827164,True,True,0.006022190432294711,8.650747056567768
2.161889,1,285.067718,True,True,0.0033394650881351275,13.98875446632985
6.777053,3,286.385167,True,True,0.0023592280032749373,4.878484224052873
6.960061,17,291.873232,True,True,0.008186964733482498,3.0240698863210236
1.912103,7,296.331814,True,True,0.008181360311230026,13.321444053295085
6.313391,25,306.622368,True,True,0.009388275457517423,3.235079744575866
-6.782252,31,321.689903,True,True,0.00912473249549199,17.49023700240168
1.592055,8,324.385884,True,True,0.005245871002523557,14.587318908533039
6.607025,10,328.328366,True,True,0.008808017322479877,3.6572008075519595
5.44666,5,332.116999,True,True,0.00381759671071049,7.5430195114261345
0.341053,11,339.275831,True,True,0.0034267467049305528,15.553239015266069
5.909039,8,347.042498,True,True,0.005649255626230663,5.263003186113316
2.252589,5,349.686425,True,True,0.0009150613887883383,14.296601314337392
-5.98378,32,354.752446,True,True,0.002616194414526993,15.231925081987722
4.273569,23,365.795075,True,True,0.011044385548210106,4.570189733438027
4.462994,6,368.498941,True,True,0.007645966133627835,8.693604070640193
6.54591,4,369.960933,True,True,0.011085276810695517,2.860950988988255
8.394195,2,371.319664,True,True,0.008302222917756941,2.31332700362932
