#{"t_start": 1785355578.767168, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
7.615595,1,7.651972,True,True,0.0009495575571629763,4.146425198973241
5.923573,6,13.862177,True,True,0.0003379339644409862,4.367743311892351
3.908728,15,20.252871,True,True,0.0022935414700068456,6.29457394383093
9.330487,4,21.687294,True,True,0.011552968714257254,0.6311799236575399
3.157471,2,23.535699,True,True,0.002803149409518229,12.071307478651264
5.593376,9,25.096755,True,True,0.00786919049090102,6.873430014901601
7.326249,2,26.464654,True,True,0.002259434461629461,4.526983134196513
4.34545,11,28.161532,True,True,0.002484089936525115,6.1929145135168095
2.954955,18,31.268099,True,True,0.0010866874457780473,9.663654434288294
-16.394549,60,50.481739,False,True,0.02734532862112538,40.35514290885174
2.926544,8,54.257823,True,True,0.007859896639942354,11.474331727488064
5.528327,1,55.510467,True,True,0.0014070455726879207,7.91390753230463
6.662176,6,57.43627,True,True,0.005950847213335243,4.872118052521523
-18.472813,60,70.828834,False,True,0.021291322249824135,9.823941605440371
8.00656,3,72.187856,True,True,0.008169932466888657,3.6291892096611003
0.30369,9,73.730078,True,True,0.005988400480460282,15.746197149345564
1.056956,19,76.80953,True,True,6.0686142185600866e-05,12.584153342734272
2.733284,22,82.411553,True,True,0.006335674802356863,9.534251503732754
7.531057,7,85.963642,True,True,0.006811506484046635,2.68891813095327
-24.096672,60,99.322693,False,True,0.02992149375041282,12.688739294689587
2.078453,9,100.915544,True,True,0.0007821282537104624,13.567480187104335
-0.560843,22,102.967889,True,True,0.010558501855460707,15.49455210400917
4.712295,11,106.969946,True,True,0.0036440446905649914,7.426594165716521
2.38358,2,108.237531,True,True,0.0002882804172497748,12.965446625992653
1.757656,5,109.642316,True,True,0.008312758868438701,12.767658193953368
8.757697,11,114.941091,True,True,0.003917788730930435,1.203309749290586
-22.654056,60,125.532745,False,True,0.05480325098600193,8.178846848570704
-20.258144,60,133.233053,False,True,0.004761105949687638,32.54010517975017
-12.014986,60,151.952529,False,True,0.0014569664575976582,21.62185620249509
6.232105,4,155.652205,True,True,0.0025400239993099596,5.546087281172243
-16.247727,60,168.769967,False,True,0.017162397544657884,36.97761581239734
6.042437,4,171.239219,True,True,0.008955481103112315,6.28884148210277
2.200329,43,182.195513,True,True,0.00600156591127789,6.640185634277086
6.302366,17,190.062535,True,True,0.004008343351621449,4.640419635683689
8.146911,2,191.515001,True,True,0.00550344672233437,3.042924969938004
4.852562,1,193.214157,True,True,0.004058046224916396,9.13637215777683
8.03542,4,194.660125,True,True,0.005891426498289799,2.9215852501529334
-21.05657,60,209.310682,False,True,0.0013094117760247517,34.859056835023885
9.535894,2,210.631369,True,True,0.006841155072287112,0.9815324776387655
3.601644,14,214.595774,True,True,0.0032943012094659024,11.23499383900264
8.084135,5,215.971458,True,True,0.003113067848092515,2.69931422922368
6.641006,2,217.318368,True,True,0.006541543411051532,5.39000900225671
8.896718,4,219.842007,True,True,0.0012032405203262209,2.218726937700943
-31.190057,60,237.559726,False,True,0.034034108777385365,10.427532295415544
0.941549,4,238.963531,True,True,0.00625652110185409,15.367418468887509
-21.660169,60,250.365848,False,True,0.030302501990435965,10.910045946447015
7.584957,1,251.435706,True,True,2.3855109655576273e-10,4.200688188453413
2.011795,14,253.175632,True,True,0.0071115239428947916,11.95878043310724
2.15929,6,257.067098,True,True,0.007982257921090016,13.507695365877119
0.135118,1,258.293954,True,True,0.0003789888650406769,17.6411827179796
-15.556784,60,271.662051,False,True,0.04181433798967983,18.71026156167888
-5.255373,59,290.531636,True,True,0.003374343457419658,16.674963269231405
4.052095,3,291.88304,True,True,0.0003454288468094143,10.340710898050803
3.092451,12,297.878802,True,True,0.0041543434638476075,10.355285764586807
8.61028,2,299.26033,True,True,0.002018269938169606,2.2124524547021145
3.672125,17,305.442132,True,True,0.007685119410400246,5.941174277246685
-1.53411,7,309.854349,True,True,0.0021436023421975646,17.774411148462256
-16.950116,60,340.575206,False,True,0.02907152485983527,4.930884235591407
-16.722996,60,359.985216,False,True,0.02078176829625066,21.615773064877068
7.702489,6,364.045491,True,True,0.0020930907404792132,2.6982074989523026
0.634381,24,374.347297,True,True,0.009271018487314696,4.17377051735407
9.28483,6,378.866283,True,True,0.006026670754095255,1.6898405625010164
-0.474441,21,383.655682,True,True,0.0042108806426248546,9.274922864562159
5.819138,4,386.36437,True,True,0.00018403617024545082,7.14992874968175
