r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
7.615595,1,7.651972,True,True,0.0009495575571629,4.146425198973241,1
1.10532,2,9.710848,True,True,0.004233615719637,15.777586209529476,3
6.879105,3,11.250011,True,True,0.0061212217827863,5.1308241963905,6
6.622821,3,12.604071,True,True,0.0028523161284858,5.909102971050926,9
5.923573,6,13.862177,True,True,0.0003379339644409,4.367743311892351,15
3.559189,1,13.862177,True,True,0.0021494939300264,11.468067765394318,16
4.754024,8,15.87692,True,True,0.0052402437863823,7.684280752628247,24
6.029755,5,17.32682,True,True,0.0049864680863205,6.880021206616553,29
7.006343,4,18.882586,True,True,0.0038028903506045,3.418871407505672,33
3.908728,15,20.252871,True,True,0.0022935414700068,6.29457394383093,48
9.330487,4,21.687294,True,True,0.0115529687142572,0.6311799236575399,52
4.742639,19,21.688419,True,True,0.0003576661860196,4.868112040621876,71
3.157471,2,23.535699,True,True,0.0028031494095182,12.071307478651264,73
5.593376,9,25.096755,True,True,0.007869190490901,6.873430014901601,82
7.326249,2,26.464654,True,True,0.0022594344616294,4.526983134196513,84
4.34545,11,28.161532,True,True,0.0024840899365251,6.1929145135168095,95
-11.482979,60,29.84341,False,True,0.0013290156964643,25.473463429399605,155
2.954955,18,31.268099,True,True,0.001086687445778,9.663654434288294,173
6.841322,14,32.795798,True,True,0.0024126742849976,3.8031312661669134,187
8.563251,3,34.303941,True,True,0.0064310379289357,2.3252603589024257,190
-16.099391,60,35.808259,False,True,0.0140407384449582,10.230066312230464,250
3.066262,6,37.29355,True,True,0.0065429110457612,10.99432216655559,256
-12.112605,60,38.749276,False,True,0.0318614316505998,84.6882935212134,316
7.165674,3,40.092197,True,True,0.0030749065067405,4.551521746284156,319
3.26532,3,41.412607,True,True,0.0105512503280941,11.961810337551883,322
7.958205,6,42.773965,True,True,1.2460252057622838e-10,3.263814415837467,328
5.010784,4,44.170399,True,True,0.0060042671341595,7.653554625767281,332
1.909478,9,45.754969,True,True,0.0068357216744866,9.920815092298286,341
4.360781,15,47.510948,True,True,0.0092386010438592,5.203479280747632,356
8.989989,5,48.963062,True,True,3.948630668957308e-06,1.8717673384086648,361
-16.394549,60,50.481739,False,True,0.0273453286211253,40.35514290885174,421
2.315019,8,52.69839,True,True,0.0094090146293071,13.013380510033832,429
2.926544,8,54.257823,True,True,0.0078598966399423,11.474331727488064,437
-9.405832,60,55.50648,False,True,0.0001967598877806,15.524240049001495,497
6.588408,8,55.509459,True,True,0.0057057662149841,4.450158548877233,505
5.528327,1,55.510467,True,True,0.0014070455726879,7.91390753230463,506
6.662176,6,57.43627,True,True,0.0059508472133352,4.872118052521523,512
-2.012691,52,58.884714,True,True,0.0108567310292387,12.9602843607064,564
6.505911,14,60.222244,True,True,0.0005449762018256,3.5149827327816165,578
3.600044,14,61.8244,True,True,0.002407804674086,10.88584986280426,592
2.660044,14,63.380694,True,True,0.0114079572472737,5.729256115378993,606
8.478958,5,64.622807,True,True,3.9015246589002567e-10,2.53856884041848,611
-0.347615,3,65.92099,True,True,0.0031569572302041,17.96416045790794,614
