time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates
1,512,45,13.580645161290322,11,2.964407161290323,,,,,,,,,,
2,1024,77,17.37037037037037,13,1.602070888888889,11.027012354135513,-2.478868103027344,0.0003,0.2,4.887056827545166,-0.014678597450256348,-0.026871489256154745,0.013276018,0.104296875,10
3,1536,110,19.43421052631579,13,0.6695946710526315,10.364401197433471,-2.4642272919416426,0.0003,0.2,4.915157318115234,0.07042717933654785,-0.01403209996642545,0.008270392,0.0646484375,20
4,2048,130,22.102272727272727,15,-0.4515434090909091,9.111966359615327,-2.4576657146215437,0.0003,0.2,3.904897451400757,0.3448622226715088,-0.012249842169694602,0.010549141,0.0548828125,30
5,2560,168,24.05,15,-0.7270071199999998,9.647543901205063,-2.4626513004302977,0.0003,0.2,4.35545539855957,0.12889647483825684,-0.01622455282486044,0.013471395,0.0794921875,40
6,3072,206,23.94,14,-0.94980516,17.953725945949554,-2.4528410375118255,0.0003,0.2,5.427465915679932,0.08846491575241089,-0.014814762363675982,0.009646689,0.0462890625,50
7,3584,240,22.14,14,-0.3266833300000001,10.79127886891365,-2.439128744602203,0.0003,0.2,3.846186637878418,0.43608880043029785,-0.02018959354609251,0.012355632,0.0701171875,60
8,4096,274,20.81,14,0.33272837999999977,15.424028539657593,-2.444111022353172,0.0003,0.2,7.421689987182617,0.35394287109375,-0.011821695044636727,0.0067100115,0.03515625,70
9,4608,336,16.66,13,0.9552327700000001,12.445088279247283,-2.4283913254737852,0.0003,0.2,6.245584964752197,0.2978176474571228,-0.01628699609427713,0.01267229,0.0755859375,80
10,5120,386,13.31,13,2.5981258300000003,17.245942091941835,-2.396789225935936,0.0003,0.2,4.924783706665039,-0.2468104362487793,-0.015536775236250832,0.0082720835,0.0341796875,90
