r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr,cum_timesteps,d_mm
-31.697075,121,13.189114,True,False,True,0.0272367392332203,82.8491417917731,,False,121,27.2367392332203
-29.910381,122,15.65967,True,False,True,0.0555300509405362,88.75083270731629,,True,243,55.5300509405362
-30.69491,123,18.053823,True,False,True,0.0015098962715908,88.93287252468528,,False,366,1.5098962715908
-19.47429,142,21.326035,True,False,True,0.0820181711957854,74.60724938957198,,True,508,82.0181711957854
-28.93206,123,27.579462,True,False,True,0.0130473012592479,82.86194922606137,,True,631,13.0473012592479
-25.436959,126,30.118634,True,False,True,0.0628646840745685,86.56293767354191,,False,757,62.864684074568494
-22.725725,145,35.195339,True,False,True,0.0594688360544256,64.29794452360139,,False,902,59.4688360544256
-32.752986,147,38.430273,True,False,True,0.0368189785786364,77.31305447969382,,False,1049,36.8189785786364
-26.684639,139,44.213387,True,False,True,0.098718290986665,86.75167974691296,,False,1188,98.718290986665
-26.00871,134,47.455713,True,False,True,0.0560925692542674,89.10283779379084,,False,1322,56.0925692542674
-24.363899,121,50.11134,True,False,True,0.0476566038758956,88.71941277240701,,False,1443,47.6566038758956
-38.977011,180,53.139592,False,False,True,0.0927530810305864,77.10285167408908,,False,1623,92.7530810305864
-23.950166,127,58.575817,True,False,True,0.1004997038618801,83.66667458027925,,False,1750,100.4997038618801
-23.102946,123,63.331416,True,False,True,0.030088956149844,85.72178968078201,,False,1873,30.088956149843998
-19.454337,134,66.401428,True,False,True,0.0385474867509336,88.66332239966839,,True,2007,38.5474867509336
-34.053539,127,69.273121,True,False,True,0.0893819976391155,77.30577470335696,,False,2134,89.3819976391155
-28.725854,136,75.477086,True,False,True,0.0460004275196504,85.02607650477896,,True,2270,46.0004275196504
-23.328568,170,78.553854,True,False,True,0.0320661468927088,73.60045935273459,,False,2440,32.0661468927088
-22.24133,126,81.016528,True,False,True,0.1267763184535348,86.15443139578684,,False,2566,126.7763184535348
-23.639566,140,83.478746,True,False,True,0.0533989399992284,75.8092498629992,,False,2706,53.3989399992284
-19.273787,123,91.257751,True,False,True,0.0023660478580963,80.44769038459971,,False,2829,2.3660478580963002
