#{"t_start": 1785430954.8283203, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
-29.910381,122,15.65967,True,False,True,0.055530050940536264,88.75083270731629,,True
-22.725725,145,35.195339,True,False,True,0.059468836054425635,64.29794452360139,,False
-26.00871,134,47.455713,True,False,True,0.05609256925426741,89.10283779379084,,False
-23.102946,123,63.331416,True,False,True,0.030088956149844033,85.72178968078201,,False
-28.725854,136,75.477086,True,False,True,0.04600042751965049,85.02607650477896,,True
-19.273787,123,91.257751,True,False,True,0.0023660478580963054,80.44769038459971,,False
-41.382394,180,110.06573,False,False,True,0.03412668162902933,88.7432620330902,,False
-23.652655,139,126.727922,True,False,True,0.09260485742777896,82.90343508336737,,False
-20.277658,132,138.932204,True,False,True,0.08470014698312048,72.02351658250971,,False
-19.764562,123,154.927896,True,False,True,0.024408988100159304,81.12331196757961,,False
-38.293658,180,175.31963,False,False,True,0.098028957834246,84.70752647383895,,False
-13.228232,135,188.348547,True,False,True,0.02670506215574084,75.84461516607819,,False
-18.715767,142,232.912688,True,False,True,0.04190371942690841,80.25203893492336,,False
-17.201018,131,255.410091,True,False,True,0.06202885364004149,89.8108487139232,,False
-8.010805,123,278.44032,True,False,True,0.04254800262944908,73.3639421488261,,True
-13.764915,130,296.280901,True,False,True,0.09391639934905545,84.24150732022107,,False
-13.358261,139,316.168829,True,False,True,0.0998193512863043,78.96879871452033,,True
-15.729333,124,333.129029,True,False,True,0.08509946199613266,83.66975731433509,,False
-12.602089,138,354.861745,True,False,True,0.10414688467249272,83.33794836655574,,False
-9.79899,126,370.644305,True,False,True,0.027926069994919395,72.31864893911266,,True
-12.631357,125,389.011634,True,False,True,0.0012848291646398234,88.26438836607757,,False
-7.176015,121,404.877554,True,False,True,0.04484535954874489,57.52756947246262,,True
-9.658218,123,419.953916,True,False,True,0.07377505924523543,84.40792778774193,,False
-13.598187,124,436.05259,True,False,True,0.04948795239005293,79.64675561140992,,False
-8.637663,128,454.190951,True,False,True,0.03181490249084354,62.82032616108391,,False
-7.167984,126,471.536053,True,False,True,0.07961293641015509,79.14306447464232,,False
-8.696905,125,487.574289,True,False,True,0.09588500568393402,89.04357545476775,,False
-8.847835,122,502.248904,True,False,True,0.03595783631630083,69.49391574524057,,False
-12.782229,124,524.329219,True,False,True,0.05987005314844279,79.05610809350401,,False
-6.606772,126,542.872909,True,False,True,0.02090852246096554,85.97019976303088,,False
-12.611158,121,563.246634,True,False,True,0.09035744972442095,81.66817347411273,,False
-8.845851,130,582.693025,True,False,True,0.07917975903909032,82.05464814038497,,False
-9.470751,121,599.820494,True,False,True,0.0006631846460480803,79.19207737854023,,False
-7.669408,122,618.763061,True,False,True,0.07508081200117447,85.83657162629545,,False
-8.90682,122,635.241385,True,False,True,0.009218171041279895,89.23218067814932,,False
-7.946758,128,653.920254,True,False,True,0.006840206107365482,78.8116665756638,,False
-10.196004,121,668.139562,True,False,True,0.0905393130684774,69.19316835284879,,True
-10.945077,121,683.637457,True,False,True,0.06524406895186187,78.20726305886042,,False
-10.482553,121,697.850254,True,False,True,0.007311783713726025,86.78606011261398,,True
-8.706928,122,713.204077,True,False,True,0.018935496155489125,81.98207522687211,,False
-10.114324,121,727.245728,True,False,True,0.07405915427658145,86.3352534493667,,False
-8.67959,122,742.548306,True,False,True,0.04985605833803857,88.90831058665476,,False
-6.701855,123,756.374254,True,False,True,0.027593390426953322,78.02572335330534,,False
-8.413167,124,771.56784,True,False,True,0.09988146694711932,73.65514220067794,,False
-6.704348,126,785.412193,True,False,True,0.009343888227841848,89.62913534806016,,False
-6.698362,122,801.045694,True,False,True,0.0758025213748863,83.75189932741495,,False
-55.269772,180,821.918171,False,False,True,0.07568109655838577,86.54501991885436,,False
-35.985353,180,842.871088,False,False,True,0.0626539181099167,75.44698681960375,,False
-7.553575,121,859.612362,True,False,True,0.09905633125679733,78.85176289507551,,False
-5.991722,124,872.374645,True,False,True,0.058376850161938526,86.78650870223305,,False
-9.654063,124,887.811255,True,False,True,0.015323771333511201,86.728522570003,,False
-7.888745,121,901.565472,True,False,True,0.030105526965201725,86.5371468841783,,False
