#{"t_start": 1785430954.9135122, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
-19.47429,142,21.326035,True,False,True,0.08201817119578542,74.60724938957198,,True
-32.752986,147,38.430273,True,False,True,0.03681897857863648,77.31305447969382,,False
-24.363899,121,50.11134,True,False,True,0.04765660387589565,88.71941277240701,,False
-19.454337,134,66.401428,True,False,True,0.03854748675093364,88.66332239966839,,True
-23.639566,140,83.478746,True,False,True,0.05339893999922849,75.8092498629992,,False
-19.458446,125,94.574067,True,False,True,0.08731315056548489,83.89516012251659,,False
-31.677036,180,115.937742,False,False,True,0.06354986025226984,83.33671847693175,,True
-38.673912,180,134.078593,False,False,True,0.11756514451166669,78.64817532836246,,False
-15.194414,150,148.553504,True,False,True,0.0945150267552678,86.97582290246632,,False
-39.080092,180,169.62158,False,False,True,0.1189570111966171,86.1566836265243,,True
-27.816769,180,194.164951,False,False,True,0.09331626364123917,82.25899184570936,,False
-11.937957,128,227.09386,True,False,True,0.052599763557753657,87.14285927363764,,False
-10.383402,129,251.009466,True,False,True,0.011588777449571808,88.13490275225233,,False
-13.162789,121,274.230425,True,False,True,0.026174303199939745,52.82151832737137,,False
-13.975406,130,292.992183,True,False,True,0.14010392492798088,59.03455591326466,,False
-11.320919,133,312.514235,True,False,True,0.056515627647240045,82.14621207364247,,True
-15.347847,131,329.801537,True,False,True,0.03751447557115909,80.21971550865783,,True
-7.850217,121,350.738458,True,False,True,0.05977304399726983,78.59048550227172,,False
-11.6514,131,367.084477,True,False,True,0.02456922610558768,74.70719223410894,,False
-8.072441,130,385.385144,True,False,True,0.04240363869886628,69.6294043238644,,False
-10.090169,127,401.672323,True,False,True,0.047110331991813914,56.34596780493363,,False
-32.539801,180,427.009194,False,False,True,0.07594114163290794,52.94460887213484,,False
-14.518348,128,443.522728,True,False,True,0.036112618483700766,88.75163498026471,,False
-14.28873,128,462.981233,True,False,True,0.12490503051554991,85.88057346858668,,False
-6.592039,121,477.967113,True,False,True,0.06352348675568854,63.84648384016633,,False
-6.372079,121,494.099643,True,False,True,0.03889724710112934,73.4199342978768,,False
-7.791131,121,506.469705,True,False,True,0.08797819224141201,77.89938591939918,,False
-6.594097,121,529.057653,True,False,True,0.0914813508494179,80.52721006664,,False
-6.862468,121,547.824355,True,False,True,0.019892075826480088,74.98040666321495,,False
-9.339885,121,569.789218,True,False,True,0.012893607709328736,86.47644268740967,,False
-7.822921,123,586.855864,True,False,True,0.07954166642659048,87.70960574755061,,False
-6.938956,121,605.821695,True,False,True,0.067701528438652,88.22926346405568,,False
-12.98072,121,622.394119,True,False,True,0.07400775497901238,82.5814380126279,,False
-10.253975,121,638.943741,True,False,True,0.015982845324801924,88.34890091746723,,False
-9.957767,126,657.267314,True,False,True,0.050282667307437155,79.52714444908955,,False
