#{"t_start": 1785432288.313564, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
7.353198,1,1.949445,True,False,True,0.0009495575571629763,4.620249619896472,,True
4.986338,6,6.726516,True,False,True,0.00011091304501500976,6.752419731086923,,False
3.908728,15,10.099726,True,False,True,0.0022935414700068456,6.29457394383093,,False
6.88428,4,11.891858,True,False,True,0.002084556525386097,5.039956929643706,,False
9.878965,2,14.717426,True,False,True,4.389180338626453e-11,0.002562961366601131,,False
6.861989,9,17.585873,True,False,True,0.002604938917493662,3.7622811099812683,,False
-18.798428,60,30.939078,False,False,True,0.014401710311710864,20.646426670427097,,False
5.158221,3,32.154678,True,False,True,0.002003128486359667,8.31357184577916,,False
6.848828,24,38.493738,True,False,True,0.002174106536783652,1.2956766657357641,,False
1.269864,12,41.234734,True,False,True,0.004648476057480212,12.903698837909706,,False
8.31937,1,42.492308,True,False,True,0.0009278471945489155,2.8743016724561414,,False
8.825149,6,44.353221,True,False,True,0.000639291560979402,2.550979061853433,,False
5.777987,4,45.742716,True,False,True,6.708130300624865e-05,6.972599600321023,,False
7.151624,6,48.345604,True,False,True,0.005835268857545168,4.98153642620356,,False
5.232096,16,56.541554,True,False,True,0.011330181790024638,5.115264364706865,,False
7.464138,3,58.343273,True,False,True,3.9606165569416873e-10,2.917728664045329,,False
2.799976,3,59.642357,True,False,True,0.005734146098632734,9.650745143896307,,False
4.080219,10,62.204748,True,False,True,0.009214746811126856,9.393594634247112,,False
-0.721419,21,68.792737,True,False,True,0.0072186995094233085,14.173924376468864,,False
0.783733,9,71.419401,True,False,True,0.002677646936782978,12.952751646451835,,False
-1.286552,48,80.84141,True,False,True,0.0022450401494528427,9.889002873470634,,False
4.511541,9,82.215297,True,False,True,0.006682559743744692,7.230586980827678,,False
7.622431,1,83.439957,True,False,True,7.419329091659152e-05,4.13289019340588,,False
9.251522,1,85.09829,True,False,True,7.264228149159342e-05,1.190174770892529,,False
9.1785,6,87.684216,True,False,True,0.002806043099420217,0.9722176921711008,,False
7.231691,5,89.080176,True,False,True,0.0002368582662583968,2.9954521012484157,,False
-14.761957,60,104.21614,False,False,True,0.014639457950906713,51.52853022565575,,False
-0.397508,9,105.668767,True,False,True,0.005103432537761215,16.869895578711258,,False
3.369017,18,114.512246,True,False,True,0.011899313101795818,2.034700816650147,,False
-0.092662,6,119.326408,True,False,True,0.0005654120759938531,15.585894307378414,,False
8.120611,5,121.860806,True,False,True,0.008569163793538517,1.7330217899208045,,True
8.974604,7,124.448972,True,False,True,0.0002662785673181699,3.2037331380487473,,False
1.989038,20,128.706207,True,False,True,0.004969762118576273,9.707630079704613,,True
4.678919,2,129.88241,True,False,True,2.1204640213617724e-05,9.314223638394317,,False
-19.499717,60,139.020218,False,False,True,0.009682494447560992,68.8954099968601,,False
2.548649,2,140.108943,True,False,True,3.0190849820144194e-11,13.16548637805646,,True
8.737054,4,141.949517,True,False,True,0.00033292311713111616,1.6601714360027886,,False
5.936103,6,143.339547,True,False,True,0.0030408279099024293,4.3341236636469676,,False
