rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss
14.725806451612904,1024,78,1,13,3.4346457741935486,,,,,,,,,,
16.62,2048,156,2,13,2.52203082,-0.014393629721598699,-2.482574242353439,5.189937591552734,-0.003046274185180664,10,0.1,0.0003,0.0031973694,0.13935546875,12.248836088180543
14.5,3072,252,3,12,3.16884113,-0.011480653102626092,-2.478432223200798,5.9288716316223145,0.18109679222106934,20,0.1,0.0003,0.0035590248,0.12841796875,12.093274873495101
13.29,4096,340,4,12,3.8149374700000003,-0.01250588070251979,-2.472564496099949,3.724000930786133,0.3126637935638428,30,0.1,0.0003,0.0028826455,0.119140625,10.270306265354156
12.13,5120,472,5,10,4.32544795,-0.010690330440411344,-2.46465682387352,4.784236907958984,0.3591476082801819,40,0.1,0.0003,0.0032293918,0.14296875,11.683068537712098
9.22,6144,610,6,10,4.87263486,-0.013560078962473198,-2.4548962265253067,4.645057201385498,0.43023157119750977,50,0.1,0.0003,0.004073293,0.16630859375,10.687302854657172
10.2,7168,742,7,9,3.78086999,-0.015065885850344785,-2.439399816095829,5.030015468597412,0.432966411113739,60,0.1,0.0003,0.003607912,0.20234375,9.773142549395562
8.35,8192,898,8,9,4.20064863,-0.009550530162232462,-2.4304965019226072,5.047287940979004,0.5758838057518005,70,0.1,0.0003,0.003215854,0.1419921875,12.086046409606933
8.49,9216,1037,9,8,4.44540482,-0.012228745248285123,-2.413467437028885,6.188839435577393,0.5568036437034607,80,0.1,0.0003,0.0030499366,0.1515625,16.56988731622696
10.18,10240,1164,10,8,3.8292096300000003,-0.006837786946562119,-2.4050902873277664,8.290133476257324,0.45967793464660645,90,0.1,0.0003,0.0018455866,0.074609375,22.925342696905137
8.69,11264,1319,11,8,4.0021537899999995,-0.01017043296888005,-2.396737466752529,10.447813987731934,0.5455394983291626,100,0.1,0.0003,0.0029155023,0.12255859375,20.4608931183815
9.29,12288,1452,12,8,3.9619242899999993,-0.007922723339288496,-2.36975477039814,9.973610877990723,0.514312207698822,110,0.1,0.0003,0.0021130259,0.08740234375,23.679707682132722
6.63,13312,1633,13,8,4.90724522,-0.009611589132691733,-2.372731925547123,10.313970565795898,0.512164980173111,120,0.1,0.0003,0.002850605,0.11025390625,20.610110807418824
