#{"t_start": 1785511905.7295692, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
7.353198,1,2.285057,True,True,0.0009495575571629763,4.620249619896472
4.986338,6,7.711724,True,True,0.00011091304501500976,6.752419731086923
3.908728,15,10.895413,True,True,0.0022935414700068456,6.29457394383093
6.88428,4,12.42893,True,True,0.002084556525386097,5.039956929643706
9.878965,2,14.943367,True,True,4.389180338626453e-11,0.002562961366601131
6.861989,9,17.783616,True,True,0.002604938917493662,3.7622811099812683
-18.798428,60,30.049049,False,True,0.014401710311710864,20.646426670427097
7.242654,3,31.546344,True,True,2.65372403586428e-07,4.520553768914681
2.05986,24,33.777399,True,True,0.002992759148005394,8.9911747697676
4.990107,12,35.420675,True,True,0.0011122322699930805,6.298596883808448
7.841127,1,36.628611,True,True,0.0007626700099183058,3.7389242426931193
4.810579,6,38.19845,True,True,0.000981269246391399,7.251366423077786
6.785677,4,39.666077,True,True,0.004287349290167788,4.393912768736748
5.211388,6,43.606164,True,True,0.000197513620361718,5.520861797153103
-11.009646,53,66.53034,True,True,0.005458495694658269,17.303717886799706
7.58498,9,69.299399,True,True,0.0013316869832957188,2.7223603304776347
-15.395596,60,81.85331,False,True,0.003929587400561457,38.19663975832307
1.883999,5,83.225713,True,True,0.00022257089886610747,12.990946243895516
-15.563418,60,95.38024,False,True,0.027825117039226355,14.19986934967174
0.210047,25,101.174695,True,True,0.006656361999675693,13.04360159625158
1.800839,2,102.396976,True,True,2.597429818972097e-10,15.00011211411331
6.910009,5,104.960226,True,True,0.0033731871487957346,3.642484315051919
6.571029,11,112.586602,True,True,0.010634931094565944,2.1130690673013555
8.393601,7,114.17585,True,True,0.0028374705704141134,0.9664092149193009
7.358436,20,118.556482,True,True,0.0059409068736656625,1.7527317612690407
5.850731,2,119.880779,True,True,8.819494104195669e-12,7.189546870938075
6.757123,12,121.47957,True,True,0.008446687087845465,3.4414984934866206
3.524784,10,123.012503,True,True,0.004832187565060058,7.833555930140194
-2.321419,16,128.706783,True,True,0.002719679002751021,17.178123503622185
8.009352,10,131.636294,True,True,0.005817106694714733,1.8291449953838337
